,title,view,upload_date
0,"['예쁜', '일자어깨', '승모근', '스트레칭', 'BEST3', '거북목', '굽은등', '라운드숄더', '교정']",1137만회,4년 전
2,"['거북이', '된', '몽구', '깨비안전교육', '안전맨', '몽구', '거북목', '목디스크', '스마트폰', '보는', '자세', '깨비키즈', 'KEBIKIDS']",525만회,5년 전
4,"['ENG', '하루5분', '2주완성', '효과보장', '두턱을', '없애고', '날렵한', '턱선을', '가질', '수', '있는', '운동법', '바로시작', '2:52']",285만회,3년 전
5,"['건강', '알고리즐', '거북목,', '턱으로', '진단하고', '턱으로', '고친다']",280만회,4개월 전
6,"['거북목,', '굽은', '등', '해결', '하루', '5분', '교정', '운동']",254만회,10개월 전
8,"['거북목', '교정', '루틴', '「개정판」', '시.간.이.없.어.요']",228만회,3년 전
9,"['목', '·', '어깨', '통증', '완화를', '위한', '요가', '거북목', '·', '어깨결림', '15분', '통증', '완화', '요가', '요가소년', '055']",227만회,4년 전
10,"['하루', '10분만', '하세요👌🏻목어깨가', '거짓말처럼', '편해집니다', 'l목젖힐때', '통증l일자목통증l거북목']",204만회,9개월 전
11,"['어깨가', '아픈', '줄', '알았는데', '알고보니', '목디스크', '자세만', '바꿔도', '목디스크를', '고칠', '수', '있다는데', '지금', '당장', '따라해', '보세요.', ""'허리의"", ""신'"", '정선근', '교수가', '알려주는', '목', '디스크', '치료운동']",202만회,5개월 전
12,"['거북목', '교정', '화제의', '200만뷰', '얼굴은', '포기해도', '자세만은...-', '페인랩이', '말하는', '통증', '이야기']",200만회,4년 전
13,"['딱', '10분', '거북목,', '버섯증후군이', '있다면', '이', '운동', '제발', '하셔야', '합니다', '일자목,', '거북목', '스트레칭,', '버섯증후군교정운동']",190만회,1년 전
14,"['거북목', '자가진단', '테스트']",171만회,11개월 전
15,"['매일', '15초', '“이', '자세”를', '하면', '놀라운', '신체변화가', '생겨요']",157만회,1년 전
16,"['물리치료사가', '추천하는', '쉽고', '효율적인', '거북목,', '굽은등', '교정', '루틴', '15분', '-', '목,', '어깨,', '등', '통증,', '및', '라운드', '숄더,', '두통', '완화']",145만회,1년 전
17,"['거북목', '바로', '잡고,', '두통도', '사라지는', '‘목-어깨', ""마사지'의"", '끝판왕을', '소개합니다', '-', '송영민의', '바른자세만들기', '73', '-', '목마사지,', '어깨마사지']",135만회,5개월 전
18,"['거북목', '교정운동,', '효과가', '너무', '좋아서', '공중파', '방송에도', '출연한', '피카토', '😆']",128만회,1년 전
19,"['이것만', '따라해', '보세요', '화제의', '100만뷰', '거북목', '일자목', '교정', '영상', 'Best', 'neck', 'curve', 'correction', 'exercises.']",124만회,4년 전
20,"['Balance', 'Of', 'Life', '거북목', '교정법', '이제는', '고쳐야', '한다', 'l', '나는', '몸신이다']",120만회,3년 전
21,"['거북목', '일자목', ""'이것'"", '하나만', '있으면', '목이', '편안해집니다', '-', '이경석의', '척추88', '116', '-', '넥', '스트레처']",112만회,11개월 전
22,"['초간단', '거북목', '자가교정', '스트레칭', '신의영역', '제가', '도전합니다', '승모근', '없애는', '스트레칭', '승모근', '마사지']",104만회,2년 전
23,"['힘내쇼', '51화', '의사가', '직접', '경험한', '목어깨통증잡는', '폼롤러', '운동법💪']",101만회,1년 전
24,"['수건', '한', '장으로', ""'일자목'"", '고치는', '방법', '엄지의', '제왕', '151회']",96만회,3년 전
25,"['Balance', 'Of', 'Life', '※거북목', '퇴치※', '몸신이', '알려주는', '자세', '교정법', '2가지', '나는', '몸신이다']",95만회,1년 전
26,"['가만히', '누워만', '있어도', '되는', '‘거북', '목’', '교정', '운동법', '수요일N스타일', '@좋은아침', '5083회', '20170517']",93만회,5년 전
27,"['신의영역', ""'라운드숄더+거북목'"", '제가', '도전합니다', '셀프', '근막이완', '마사지+스트레칭']",92만회,2년 전
28,"['거북목,', '굽은어깨,', '굽은등', '교정에', '좋은', '스트레칭', 'Posture', 'correction', '-', 'rounded', 'shoulders', 'workout']",87만회,4년 전
29,"['목,', '어깨,', '등', '통증', '완화', '10분', '운동법', '승모근', '스트레칭', '및', '거북목,', '라운드숄더', '완화', '물리치료사와', '함께해요']",85만회,1년 전
30,"['일자목', '&', '거북목', '교정운동', '같이해요']",79만회,5년 전
31,"['거북목', '운동,', '이거', '하나로', '끝낸다', '-', '치맥', '운동']",72만회,3년 전
32,"['재발없는', '거북목', '치료법', 'shorts']",70만회,3개월 전
33,"['거북목', '고치려다', '일자목,', '역c자목', '된다니깐요🤭', '턱당기기', '운동', '제대로', '하는법‼️']",68만회,1년 전
34,"['거북목', '스트레칭', '이거하나면', '끝', '-', '강하나', '스트레칭', '2019.02']",68만회,3년 전
35,"['일자목VS거북목', '체형교정법', 'made', 'in', 'Australia', 'eng', 'sub']",64만회,4년 전
36,"['경추베개', '말고', '이것', '쓰세요', '거북목', '일자목', '장비&베개', '추천']",63만회,2년 전
37,"['미니', '큰일', '났어요😭', '스마트폰', '많이', '했더니', '거북목', '🐢이래요', 'ㅠㅠ', '나쁜', '자세', '교정', '운동은', '어떻게', '해야', '할까요', '우리', '아이', '바른', '자세', '거북목', '라운드숄더', '교정', '-', '별난가족']",59만회,1년 전
38,"['라운드', '숄더,', '오십견,', '거북목,', '굽은', '등', '교정', '등살빼기', '일주일만', '해보세요']",58만회,10개월 전
39,"['거북목', '교정']",54만회,1년 전
40,"['99%가', '모르는', '굽은', '등,', '거북목의', '핵심', '원인,', '해결법']",54만회,2년 전
41,"['거북목', '&', '라운드숄더', '의심돼서', '검사해봤더니', '척추가', '휘었다고요', '척추측만증', '교정', '가족', '일상', '브이로그', 'vlogㅣ토깽이네']",48만회,6개월 전
42,"['MZ세대', '코어', '특징', '거북목,', '라운드숄더', '코어운동']",48만회,1개월 전
43,"['추나요법', '해드려', '봤습니다', '거북목', '어깨', '골반교정']",46만회,1년 전
44,"['아직도', ""'턱만'"", '당기시나요', '거북목', '핵심', '교정팁', '라이프에이드', '9']",44만회,1년 전
45,"['10초만', '해보세요', '거북목', '초간단', '운동법']",43만회,1년 전
46,"['목,', '어깨', '뻐근함', '풀어주는', '스트레칭', '승모근', '통증', '완화', '스트레칭']",43만회,7개월 전
47,"['월드클래스', '한의사의', '무시무시한', '거북목', '교정법']",41만회,3년 전
48,"['하루', '10초,', '거북목', '교정👌🏻너무시원해서', '정말', '놀랐습니다', 'shorts']",39만회,10개월 전
49,"['프리저', '머리', '아닙니다', '제품리뷰', '생활꿀템', '거북목베개']",37만회,1개월 전
50,"['일자목,거북목,역c자목이', '심해지면', '발생하는', '경추디스크', '목통증이', '생기는', '이유와', '스스로', '치료하는', '방법']",38만회,1년 전
51,"['거북목', '이거', '한', '번', '해보면', '압니다.', '현직', '물리치료사의', '마사지', '기법']",36만회,2년 전
52,"['일자목,', '거북목을', '쉽게', '교정하는', '목', '운동', '치료법']",35만회,2년 전
53,"['거북목,', '말린어깨', '교정에', '좋은', '소흉근', '폼롤러', '스트레칭', 'Foam', 'roller', 'stretch']",34만회,3년 전
54,"['목디스크,', '거북목', '베개', '고르는', '법과', '베개', '사용법']",34만회,3년 전
55,"['‘이', '동작’하고', '‘거북목', '교정’해서', '도수치료', '환불했다.', 'Shorts']",31만회,1년 전
56,"['강남세란의원', '일자목,', '거북목', '운동', 'Best', 'Cervical', 'Curve', 'Exercise']",29만회,9년 전
57,"['어깨가', '넓어지는', '밴드', '운동', '루틴', '굽은등,', '거북목', '교정']",29만회,3년 전
58,"['거북목', '통증', '잡는', '예방', '&', '강화', '스트레칭']",28만회,3년 전
59,"['거북목,', '목디스크를', '위한', '수면자세', '베개', '높이,', '불면증']",27만회,3년 전
60,"['AOMG', '로꼬가', '찾아왔습니다.', '전역기념으로', '거북목교정,', '필라테스', '레슨해드림']",27만회,2년 전
61,"['거북목,', '굽은등', '교정', '방법‼️', '목', '당기기,', '가슴', '펴기가', ""'아닙니다'❌""]",23만회,6개월 전
62,"['거북목', '교정', '운동', '굽은등', '세트']",22만회,3년 전
63,"['서리요가', '40', '거북목교정,', '열린어깨', '목과', '어깨', '위에', '있는', '피로', '없애는', '35분', '요가']",22만회,2년 전
65,"['거북목', '때문에', '필사적으로', '찾은', '가성비,', '휴대성,', '퀄리티', '만족시키는', '노트북', '거치대', '3종', '리뷰ㅣ내돈내산']",21만회,8개월 전
66,"['거북목,', '자라목,', '일자목,', '역C자목', '교정운동', '이', '영상', '하나로', '해결하세요.']",18만회,2년 전
67,"['미모의', '여배우가', '받은', '도수치료', '과정', '풀공개', '🐢거북목', '환자들', '주목~']",18만회,1년 전
68,"['당신의', '목을', '망치는', '❌', '👉🏻거북목', '운동👈🏻', '그만하셔야', '합니다']",18만회,2년 전
69,"['거북목의', '정석', '1편', '원인,', '평가,', '운동,', '재활', '까지', '모두', '담았습니다']",18만회,1년 전
70,"['비명소리', '만큼', '시원한', ""'거북목+라운드숄더'"", '근막이완', '루틴']",18만회,1년 전
71,"['단', '3분', '당신의', '굽은', '목,어깨를', '바로잡아줄', '교정운동법']",16만회,7개월 전
72,"['거북목', '교정운동', '3가지와', '거북목', '자가진단방법을', '자세히', '알려드립니다']",14만회,2년 전
