,title,view,upload_date
0,예쁜 일자어깨 승모근 스트레칭 BEST3 [거북목/굽은등/라운드숄더 교정],1137만회,4년 전
1,"굽은 등, 굽은 어깨 초간단 교정운동! 1분만 투자해보세요/라운드숄더 교정운동",739만회,2년 전
2,"굽은어깨 교정, 어깨비대칭, 오십견예방, 어깨결림 스트레칭! (일주일만 해보세요)",606만회,4년 전
3,50만명이 효과를 본 라운드숄더 교정루틴 A (by 호주물리치료사)  [피지컬갤러리] (eng sub),567만회,4년 전
4,[라운드 숄더/부유방 개선/붓기 빼기]누구나 할 수 있는 셀프 림프 마사지,306만회,2년 전
5,"한 번만 해도 바로 효과보는 승모근, 어깨스트레칭 ! 라운드숄더 교정 (시원함주의)",306만회,5년 전
6,어깨 펴서 상체 프레임을 넓혀주는 간단한 운동[Band Pull-Apart],253만회,1년 전
7,"말린 어깨를 펴주고, 어깨를 넓히는 가장 빠른 방법!? (feat. 라운드 숄더, 굽은 등)",226만회,1년 전
8,"[리얼후기] 5분만에 라운드 숄더, 굽은 등 펴기! | 정파카",223만회,3년 전
9,"라운드숄더, 굽은어깨 “등운동❌ 하지마세요! "" (이렇게 안하실꺼면🤦🏻‍♀️)",208만회,2년 전
10,"굽은등,라운드숄더? 이 스트레칭은 정말 엄청 시원합니다. (시원함 주의) [피지컬갤러리] (eng sub)",207만회,4년 전
11,[건강 알고리즐]그 어렵다는 라운드숄더 교정…3가지만 알면 끝! ‘편다-내린다-모은다’,166만회,1년 전
12,1주일동안 몸변화(라운드숄더) @멸치탈출연구소,146만회,1년 전
13,"물리치료사가 추천하는 쉽고 효율적인 거북목, 굽은등 교정 루틴 15분! - 목, 어깨, 등 통증, 및 라운드 숄더, 두통 완화",146만회,1년 전
14,'라운드숄더' 제가 해결해 드리겠습니다! 운동법+근막이완방법 완벽정리,132만회,2년 전
15,ENG) 라운드숄더👉🏻일자어깨! 승모근 없는 예쁜 직각어깨 만드는 방법💛 (스트레칭 + 운동 + 마사지 총정리),113만회,1년 전
16,라운드숄더에 가장 효과적인 운동! 무조건 '페이스풀' 하세요!,107만회,1년 전
17,1분만에 '라운드숄더'(굽은 어깨) 해결하는 미친꿀팁!?,100만회,3개월 전
18,이 동작이 안된다면 바로 시작하셔야 합니다 (라운드숄더 교정루틴),94만회,2년 전
19,"라운드 숄더일 때 마사지해보세요. 소흉근 마사지 : 굽은 등, 어깨 통증, 팔꿈치 통증",94만회,6개월 전
