,title,view,upload_date
0,이런 허리디스크(추간판 탈출증) 증상 아니면 집에서 치료하세요 [숫자로 보는 건강],9.1천회,1개월 전
1,허리디스크(추간판탈출증) 환자가 절대로 하지 말아야 할 앉는 자세 6가지,96만회,2년 전
2,"[닥터홍선생]#20.허리디스크, 10분만에 평생 좋아지도록 해드립니다.",152만회,1년 전
3,[#인기급상승] 사실 허리 디스크의 주원인은 '유전'이다?😭 예약 대기만 2년! 정선근 교수님이 알려주는 적절한 운동법 | #유퀴즈온더블럭,14만회,5개월 전
4,허리 디스크는 정말 완치가 안 되는 병일까? - 이경석의 척추88 #87 - 허리 디스크 치료,23만회,1년 전
5,허리디스크 증상 (초기/중기/말기/자가진단법),4.3만회,1년 전
6,10분만에 허리디스크 완치하는 방법 알려드립니다. (ft. 증상 치료 및 좋은운동),92만회,6개월 전
7,허리디스크 환자가 절대 하지 말아야 할 운동 3가지와 대신할 수 있는 운동들,75만회,2년 전
8,허리디스크 치료 진짜 핵심! #shorts,12만회,2개월 전
9,[#유퀴즈온더블럭] 💥K-직장인 집중💥 지금부터 척추의 신 교수님께서 올바른 스트레칭 방법 알려주신다! 현대인의 고질병인 디스크? 이겨내면 그만이야ㅋ | #샾잉,173만회,5개월 전
10,허리 좋아지려면 3하고 3마라! 정선근 교수가 알려주는 허리 운동법칙 | 자이홍의 건강극장 107화,86만회,2개월 전
11,"허리디스크, 시간 지나면 자연 치유된다? / SBS",14만회,5년 전
12,"[기분 좋은 날] 허리 디스크 환자를 위한 '허리 통증 잡는' 운동법 공개!, MBC 211006 방송",5.2만회,1년 전
13,바른 자세만 유지해도 허리디스크 극복 가능!!| [알맹이] 101회 | TV CHOSUN 20201129 방송,4.2천회,2년 전
14,허리디스크가 터지면 흡수되는 이유 #shorts,4.1천회,3개월 전
15,[#유퀴즈온더블럭] ※디스크로 힘든 분들 들어오세요※ 예약 대기만 2년! S대 정선근 교수님이 알려주시는 척추에 좋은 운동 | #지금꼭볼동영상,266만회,5개월 전
16,도대체 디스크가 터졌다는 게 뭘까? 그럼 터진 다음엔...,11만회,2년 전
17,아무도 알려주지 않던 허리디스크 치료법 (Rehab Exercise),106만회,2년 전
18,딱 20초면 허리통증 다리저림 확!! 줄여 드립니다. | 허리디스크 통증 해결하는 방법,210만회,11개월 전
19,허리디스크 자가진단이 따로있다? 자가진단부터 운동법까지! 모두 알려드려요😉,7.7천회,1년 전
20,[허리디스크] 수술 두려워 허리 통증 방치하다… 갑자기 '대소변' 장애 생긴다?,8.9천회,2년 전
21,"젊은 사람의 허리 디스크병, 자연치유가 되지 않는 경우가 바로 이겁니다. 모르고 평생 참지 마세요! / 우리들병원TV",2만회,1년 전
22,허리디스크의 단계별 치료법,2.4만회,2년 전
23,"척추관협착증과 허리디스크, 아침이 제일 아픈 이유와 해결 방법",5.7천회,1개월 전
24,"[닥터홍선생]#44.자면서 허리 통증 고치는 방법?! 이것만 따라해 보세요. (허리디스크, 척추관 협착증, 올바른 수면방법)",236만회,11개월 전
25,퇴행성 허리디스크와 허리디스크 탈출의 차이점에 대해 잘 알고 있어야 합니다,1.1만회,1년 전
26,제발 이 자세만은 피하세요...(허리디스크 있으신분 필수시청!!!),231만회,1년 전
27,수술 없이 다리저림 통증 해결 허리디스크 재활운동 3가지,11만회,1년 전
28,허리디스크탈출 급성기에는 어떤 운동으로도 통증을 줄일 수 없습니다. 그럼 운동은 언제 하나요?,5.5천회,1년 전
29,허리 디스크 낫게 하는 아주 쉬운 방법 한가지,251만회,1년 전
30,"허리디스크, 나는 어떤 운동을 해야할까요?(서울마디튼튼재활의학과의원 민태준)",3.4만회,스트리밍 시간: 5개월 전
31,[건강인사이드] 수술없이 허리디스크를 치료할 수 있다?!,9.4천회,1년 전
32,"허리디스크 운동 불변의 법칙, 이 법칙을 따르지 않으면 여러분의 허리는 나빠집니다",4.1천회,1개월 전
33,허리디스크에 좋은 허리 운동 (어머 이건 꼭 해야돼!),7.1만회,5년 전
34,"[심층토크] 디스크 환자, 과도한 운동 오히려 독된다 - 서울대병원 재활의학과 정선근 교수",164만회,4년 전
35,허리 아픈 사람이 아침에 반드시 챙겨야 하는 것,141만회,8개월 전
36,허리디스크수술과 시술 . 치료의 핵심을 알면 고민해결,1.9만회,1년 전
37,"허리디스크 파열, 허리디스크 터짐 왜 흡수되나요? 어떻게, 왜 흡수되는지 설명해드리겠습니다.",5.2만회,2년 전
38,허리디스크 허리통증환자는 일반 스쿼트를 하면 안 된다 #shorts,1.7만회,2주 전
39,"허리디스크와 척추관협착증은 완전히 다른 별개의 질환, 그 차이점에 대해 자세히 알아보도록 하겠습니다",8.2만회,2년 전
40,정선근 교수가 방송에서 말하지 않은 허리통증의 중요한 핵심✨ 지금 알려드립니다 | 자이홍의 건강극장 105화,20만회,2개월 전
41,[허리 질환] 허리디스크와 다른 허리 질환은 어떻게 구별하나? 너무 아플 땐 '생활습관' 점검을,2만회,2년 전
42,허리디스크 자연치유 실전편 2편 - 허리디스크 자연치유 회복기간 및 회복패턴 알기편,5.7만회,2년 전
43,허리 아픈 분들은 ‘이 운동'을 하세요!  - 이경석의 척추88 #81,44만회,1년 전
44,"내 허리디스크, 탈출, 파열된 디스크가 흡수될 확률은? 만일 흡수가 안된다면?",8.6천회,6개월 전
45,+ 추간판 탈출증(허리 디스크) 치료법,3.7만회,4년 전
46,#허리디스크 #목디스크 점점 늘어나는 척추 질환_나이가 들어도 척추를 꼿꼿이 세우고 건강하게 살 수 있는 방법 (KBS_2020.09.30 방송),36만회,1년 전
47,허리 통증은 자연 치유? 치료? 허리디스크 구분법!,8.8천회,6개월 전
48,"허리디스크 환자는 기상 후, 취침 전 이 운동을 골반운동과 같이 해주면 좋습니다 - [허리디스크 재활운동, 허리디스크 스트레칭, 고관절 스트레칭, 무릎 스트레칭]",6.4만회,2년 전
49,"도침, '허리디스크 치료 효과' 과학적 입증 / YTN",3.4만회,4년 전
50,허리디스크 걷기운동 잘못하고 있는 사람들이 많습니다 #shorts,3만회,3개월 전
51,허리디스크 수술 후 계속되는 다리저림의 원인 4가지와 해결방법,8.5천회,6개월 전
52,"허리디스크 회복기간, 회복률이 사람마다 다른 이유 8가지",3.1천회,6개월 전
53,왜 사람들이 가능하면 허리디스크 수술을 하지 말라고 할까요?,4.2만회,2년 전
54,허리디스크 자연치유가 가능한 이유? 내가 알려줄게! #shorts,2만회,5개월 전
55,허리디스크는 어떻게 협착증으로 진행되는가? 전조증상과 진행을 막는 방법,4.7천회,2개월 전
56,"허리디스크파열 환자가 꼭 알아야 하고, 매우 주의해야 하는 힘빠짐과 마비증상",4.1만회,1년 전
57,"디스크 탈출, 디스크 파열, 섬유륜 파열! 허리 디스크에 대한 모든 정보를 다 모았다! - 이경석의 척추88 허리 디스크 몰아보기",1.2만회,4개월 전
58,허리 디스크에 가장 효과적(?)이라고 알려진 내시경 디스크 제거술! 과연 그럴까요?,2.4만회,1년 전
59,"허리디스크, 척추관협착증에 좋은 거꾸리운동, 제대로 하는법!",36만회,3년 전
60,허리디스크 재활운동 10가지 중 자세히 2편 - 데스크플랭크 운동,7만회,2년 전
61,어깨가 아픈 줄 알았는데 알고보니 목디스크?! 자세만 바꿔도 목디스크를 고칠 수 있다는데 지금 당장 따라해 보세요. '허리의 신'  정선근 교수가 알려주는 목 디스크 치료운동!!,202만회,5개월 전
62,"허리, 엉덩이, 다리 통증까지...! 허리 디스크의 가장 큰 원인은?! | 나는 몸신이다 395 회",752회,3개월 전
63,[닥터 MBC] 허리디스크의 재활과 예방 (전주우리병원 김재엽 신경외과 전문의),4.1천회,2년 전
64,허리디스크 환자의 올바른 다이어트 방법을 알려드립니다. [다이어트],4.6천회,1년 전
65,허리디스크 환자가 꼭 알아야 할 허리 강화 운동10가지 중  - 급성기편,26만회,3년 전
66,"허리디스크파열 치료후기, 극심한 통증으로 걸을 수도 없었던 허리디스크파열 환자",4.6천회,3개월 전
67,2019 정선근 교수의 '백년운동' - 허리운동 편,317만회,3년 전
68,"허리 아플때, 퇴행성허리디스크, 척추관협착증에 좋은 운동 3가지",144만회,1년 전
69,"허리디스크 재활운동 중 최고의 운동, 걷기운동 제대로 하는 법!",19만회,2년 전
70,허리디스크파열 후 운동은 회복단계별 상태에 따라 그에 맞는 운동을 해줘야 합니다,3.4천회,3개월 전
71,허리 주변의 뭉친 근육만 풀어줘도 허리디스크 증상이 좋아지는 이유와 근육풀기운동,6.2천회,6개월 전
72,"허리디스크 재활에 좋은 계단오르기 운동, 제대로 배워서 매일매일 해보세요",2.3만회,2년 전
73,허리디스크 초기!! 이렇게하고나서 일주일만에 나았습니다!! 수술없이 초기에 잡는법!!,7.7천회,10개월 전
74,허리 디스크는 유전이다?! 일상에서 바른 자세를 유지해야 하는 이유#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.157 | tvN 220615 방송,1.7만회,5개월 전
75,"급성허리통증 제대로된 찜질법, 대처법 알아보기 [허리디스크]",1.3만회,1년 전
76,"허리디스크 운동이야기, 지금까지의 허리디스크 운동은 다 버려라!",22만회,2년 전
77,"허리디스크, 허리통증 환자는 스탠다드 스쿼트가 아닌 와이드 스쿼트를 해야 합니다",1.7천회,3주 전
78,허리디스크 vs 협착증 차이점 무엇일까?,6.7만회,2년 전
79,"허리디스크, 협착증 환자에게 걷기와 플랭크보다 더 중요한 숨쉬기 운동 - 호흡 훈련, 배에 힘 주기 (새길병원 정형외과 이재욱)",9.9만회,스트리밍 시간: 3개월 전
80,허리 디스크는 유전이다?! 일상에서 바른 자세를 유지해야 하는 이유#유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.157 | tvN 220615 방송,3.2천회,5개월 전
81,허리통증 퇴행성허리디스크에 좋은 운동 5가지 1편 골반운동 #shorts,14만회,6개월 전
82,"허리통증스트레칭, 허리디스크 환자도 할 수 있는 쉽고 간단한 4가지 운동법",103만회,2년 전
83,"허리신경주사, 뼈주사(스테로이드주사)에 대해 꼭 알아야 할 7가지",274만회,1년 전
84,허리통증 허리디스크 환자가 절대 하지 말아야 할 앉는 자세 6가지 #shorts,34만회,11개월 전
85,허리디스크 수술 후 유착을 예방하고 통증을 줄여주는 4가지 운동,6.5천회,8개월 전
86,허리디스크(추간판탈출증) 환자가 반드시 피해야하는 생활습관 4가지,16만회,2년 전
87,허리디스크에 도수치료 추나요법 좋나요? 어떻게 좋나요? 효과없다는 사람들은 뭐죠?,3천회,4개월 전
88,허리디스크 재활운동 10가지 중 자세히 3편 - 허리 도리도리 운동,5.5만회,2년 전
