,title,view,upload_date
0,하복부 운동 제대로 하는 꿀팁! 아랫뱃살 빼는 운동은 이렇게해야돼요.! (레그레이즈 허리통증잡기),943만회,3년 전
1,[시원함 주의] 엉덩이/허리통증에 좋은 근막이완 하는법! 맨몸+폼롤러+마사지볼,691만회,2년 전
2,허리통증에 좋은 운동법은 무엇일까? (KBS 20211117 방송),425만회,1년 전
3,하루 10분만 하세요👌🏻허리와 무릎이 거짓말처럼 편해집니다 l 고관절 내회전 운동 l 허리통증 l 무릎통증,366만회,1년 전
4,허리 좋아지는 스트레칭 BEST모음,343만회,4년 전
5,2019 정선근 교수의 '백년운동' - 허리운동 편,317만회,3년 전
6,"많이 걷거나 서있을 때 허리 통증 있으신 분, 이렇게 해보세요.",279만회,4개월 전
7,"허리신경주사, 뼈주사(스테로이드주사)에 대해 꼭 알아야 할 7가지",274만회,1년 전
8,"(요가은) 하품을 부르는! 누워서 하는 스트레칭 / 시원한 골반, 등허리 통증완화 / Lying Down Stretches, Hip and Lower Back Pain Relief",254만회,2년 전
9,몸이보내는신호(17) 등통증 : 알고보니 등통증 원인이 내과 질환?!,253만회,2년 전
10,허리 디스크 낫게 하는 아주 쉬운 방법 한가지,251만회,1년 전
11,"[닥터홍선생]#44.자면서 허리 통증 고치는 방법?! 이것만 따라해 보세요. (허리디스크, 척추관 협착증, 올바른 수면방법)",236만회,11개월 전
12,허리 통증을 없애주는 허리운동,232만회,3년 전
13,"허리통증 없이 코어는 강화하고, 허리통증에서는 벗어나는 핵심운동 3단계",214만회,2년 전
14,딱 20초면 허리통증 다리저림 확!! 줄여 드립니다. | 허리디스크 통증 해결하는 방법,210만회,11개월 전
15,"동작은 쉽지만 효과는 최강❗️ 볼록한 똥배가 👉🏻쏙👈🏻 빠지는 8분 루틴 (허리통증X, 손목부담X, 층간소음X)",208만회,1년 전
16,어깨가 아픈 줄 알았는데 알고보니 목디스크?! 자세만 바꿔도 목디스크를 고칠 수 있다는데 지금 당장 따라해 보세요. '허리의 신'  정선근 교수가 알려주는 목 디스크 치료운동!!,202만회,5개월 전
17,"허리, 엉덩이 통증 , 다리저림 (허리 디스크와  차이 알기) : 닥터U의 ' 척추관 협착증 완치훈련'",197만회,6년 전
18,"하루 10분만 하세요👌🏻 *허리,고관절* 통증잡는 기적의 운동법ㅣ고관절외회전운동ㅣ허리통증ㅣ무릎통증 | 양반다리",194만회,1년 전
19,"허리 통증, 골반 불균형 이렇게 한번 해보세요.",179만회,2개월 전
20,"허리 한쪽 통증, 이렇게 한번 해보세요.",177만회,3개월 전
21,병원 안 가고 요통 낫는 방법! 이럴 땐 가야합니다 | 서울대병원 정선근 교수,175만회,9개월 전
22,[#유퀴즈온더블럭] 💥K-직장인 집중💥 지금부터 척추의 신 교수님께서 올바른 스트레칭 방법 알려주신다! 현대인의 고질병인 디스크? 이겨내면 그만이야ㅋ | #샾잉,173만회,5개월 전
23,"99%가 모르는 “무릎, 허리 통증없는” 브릿지비법 5가지",156만회,1년 전
24,"[닥터홍선생]#20.허리디스크, 10분만에 평생 좋아지도록 해드립니다.",152만회,1년 전
25,딱 2분 이렇게 했더니 허리통증이 99% 없어 졌어요 | 허리통증 다리저림 없애는 등뼈 가동성 운동,145만회,7개월 전
26,"허리 아플때, 퇴행성허리디스크, 척추관협착증에 좋은 운동 3가지",144만회,1년 전
27,허리 아픈 사람이 아침에 반드시 챙겨야 하는 것,141만회,8개월 전
28,과학적으로 검증된 허리 스트레칭! 8분이면 그냥 끝! 허리 아프신 분들 필독!,141만회,1년 전
29,허리근육을 튼튼하게 만들고 싶다면? /우리들병원TV,136만회,1년 전
30,"척추관협착증운동 6가지, 허리통증과 다리가저려요 증상 호소한다면 하루 한번 함께 따라해주세요",135만회,7개월 전
31,허리통증의 진단과 치료,134만회,6년 전
32,"골반, 허리, 무릎 통증을 없애는 8분 고관절 스트레칭!",134만회,1년 전
33,집에서 쉽게 할 수 있는 '허리 통증 없애는 방법!' [엄지의 제왕 112회],126만회,3년 전
34,죽도록 허리 아플 때 이것만 명심하라. ‘허리 삐끗’ 요추 염좌와 허리 디스크 구별법 - 이경석의 척추88 #4,118만회,3년 전
35,"골반, 허리 통증? 이 마사지를 10초만 해보세요.",115만회,3년 전
36,"허리디스크, 좌골신경통? 이상근증후군!",114만회,3년 전
37,"허리통증스트레칭, 허리디스크 환자도 할 수 있는 쉽고 간단한 4가지 운동법",103만회,2년 전
38,"[전광남정형외과] 척추관협착증,허리통증(디스크) 더이상 수술하지 마세요! -덩어리를 깨자?",98만회,1년 전
39,복근 운동은 '복근'만 아파야합니다! 허리통증&허벅지통증 없는 복근운동 2가지,98만회,1년 전
40,허리디스크(추간판탈출증) 환자가 절대로 하지 말아야 할 앉는 자세 6가지,96만회,2년 전
41,"허리 디스크 통증 아주 쉽게 치료되는 스트레칭 운동, 소름돋는 결과 보장!",92만회,1년 전
42,10분만에 허리디스크 완치하는 방법 알려드립니다. (ft. 증상 치료 및 좋은운동),92만회,6개월 전
43,골반 교정 스트레칭 제대로 하는 법 - 이경석의 척추88 #49,87만회,2년 전
44,허리 좋아지려면 3하고 3마라! 정선근 교수가 알려주는 허리 운동법칙 | 자이홍의 건강극장 107화,86만회,2개월 전
45,허리 통증 완화를 위한 요가 스트레칭 | 15분 통증 완화 요가 | 요가소년 064,85만회,4년 전
46,5분이면 끝! 허리 통증 풀어주는 허리 스트레칭- 이고은의 시니어 홈트 #03,81만회,1년 전
47,"허리 통증, 운동으로 치료하자 Ⅰ - Q&A 허리통증의 비밀 (새길병원 정형외과 이대영)",80만회,스트리밍 시간: 1년 전
48,"병원가도 낫지 않는 목-허리 통증, 닥치고 이것부터 해라! - 이경석의 척추88 #18",76만회,2년 전
49,"'장요근 강화 운동', '기립근 운동' : 허리 통증을 줄여주는 허리근육운동 핵심 2가지",74만회,1년 전
50,질문 리퀘스트 1위! 허리 아픈 분들은 ‘이런 자세’로 주무세요! - 이경석의 척추88 #90,71만회,1년 전
51,건강한 척추를 위한 요가 (요통 · 허리통증 · 좌골신경통) | 25분 통증 완화 요가 | 요가소년 088,68만회,4년 전
52,마사지 LOMI LOMI 기법 | 휴식과 허리 통증 완화를위한 마사지,57만회,4년 전
53,허리통증에 좋은 운동｜누워서 하는 침대 스트레칭 TOP 3｜자생한방병원,56만회,2년 전
54,"허리 통증 없이 뱃살은 영원히 없애고 복근은 만드는 최고의 복근 운동 [운동 초보자 복근 운동, 중년 복근 운동, 코어 운동]",55만회,4개월 전
55,"허리 통증, 병원가기 전 점검해야하는 것들 [정형외과LIVE] #9 협착증 수술, 두번 생각하자  (새길병원 정형외과 이대영)",55만회,스트리밍 시간: 1년 전
56,허리통증 다리저림 이것 하나만 바꿔 주면 마법처럼 없애줍니다.,54만회,11개월 전
57,골반교정 허리통증에 직방! 스트레칭 배워보아요~,51만회,5년 전
58,앉아있을때 허리디스크 통증 2분만에 좋아지는 운동,49만회,6개월 전
59,허리 통증 완화 복근운동,46만회,5년 전
60,[EBS 명의] '허리의 신' 정선근 교수가 알려주는 수술 없이 허리 통증 낫는 법  (feat. 유퀴즈 출연 교수님👨‍⚕️),45만회,5개월 전
61,허리 아플 때 '이 운동'은 절대 하지 마세요!  l  허리 통증의 오해와 진실 [건강팩트체크],43만회,2년 전
62,평생 낫지 않을 것 같던 허리 통증,42만회,스트리밍 시간: 8개월 전
63,"허리통증 없애는 방법 2분 초간단 셀프힐링법 | 제오의 힐링가이드#2 허리통증, 허리디스크 예방",41만회,10개월 전
64,허리통증완화 스트레칭 + 절대로 하면 안되는 행동 & 자세 교정,41만회,3년 전
65,"척추관협착증에 좋은 운동 | 허리통증, 다리저림 있다면 꼭 해야하는 척추관협착증에 좋은 운동 | 척추관협착증, 다리저림, 허리통증, 퇴행성 디스크 | 힐링가이드 제오 |",41만회,4개월 전
66,허리가 아픈 이유는? (백년허리 기초편#2),40만회,2년 전
67,"허리 통증을 완화시켜주는 스트레칭 / 골반교정, 척추교정 스트레칭-콩필라테스",40만회,6년 전
68,20대 허리 만들기 프로젝트 | 허리통증의 원인 | 척추의 퇴행성 변화 | 코어운동,39만회,1년 전
