,아이디,댓글 내용,댓글 시간
0,  th a,경차운전자분들 힘내십시요... 참 서럽네요,5년 전
1,  RAYVEN JANG,제발 모세의 기적을 구급차 갈때 해주라고 ㅠㅠㅠ,5년 전
2,  S Lee,슈퍼카 오너를 배려하는데 아니라 슈퍼카를 배려하는겁니다.,4년 전
3,  잭키춘,빨리빨리의 국가에서 심지어 버스기사가 10초를 기다려줘.. 사람이 성공해야 하는 이유네요 파이팅입니다 다들,10개월 전
4,  달팽이민,슈퍼카 고성능이어서 빠른게 아니고 양보를 잘해줘서 속도가 빨랐던거구나.,2년 전
5,  SEUNGSEOK LEE,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이렇게도 의미가 깊고, 재미까지 겸비한 기사라니!!최고의 기사입니다!!",1년 전
6,  양영헌,앞으로 경차 많이 기다려줘야겠다 ㅜㅜ,3년 전
7,  호잡,신호 10초 기다려주는거 실화인가 ㅋㅋㅋ 대박이다,3년 전
8,  sh kim,6년전이네..그때로 돌아가고 싶다...,1년 전
9,  Chengri Lian,대한민국국민답게 모든차는 평등하게 대합시다 일차도에서 정속주행하지말고 내차보다 빨리따라오는차에 길을 양보합시다 바쁜와중에도 남을 배려해주는마인드를 가집시다 배려를받았으면 깜빡 깜빡 감사함을 표합시다 항상상대방이나라고 생각합시다,8개월 전
10,  SW K,그게 사람들이 경차 탄 사람을 무시해서라기 보단 비싼 차와 사고라도 나게 되면 금전적 부담이 커서가 아닐까요,4년 전
11,  동네힘센재메이햄,인간 존중은 두려움에서부터 나온다,11개월 전
12,  아항,슈퍼카가 앞에있으니까 안전거리 유지 오진다,4년 전
13,  김시훈,옛날에는 참 살기좋은나라였나보다.뉴스에서 이런내용도 알려주고,3년 전
14,  연필,이야 버스가 10초를 기다리네 ㅋㅋㅋ저정도면 다른차였으면 그냥 계속 기다림 ㅋㅋㅋ,2년 전
15,  어린배스,부럽다. 저런사람은 저자리까지 어떻게 올라갔을까 10년후를 기대하며 그린다 꼭 성공하기를,3년 전
16,  호밀밭의파수꾼,슈퍼카를 기다려주는 모습이 참 보기 좋고 웃음이 나는군요 슈퍼카를 배려하듯이 경차도 배려해주면 참 좋을 텐데 말이에요 경차 뿐 만 아니라 일반 차들도 이렇게 서로 배려를 주고받는다면 지금보다 훨씬 안전한 도로가 될 것이라고 생가합니다 그런데 정말 재미있는 기사네요 오랜만에 크게 웃었습니다,4개월 전
17,  윰쿄,ㅋㅋ저 슈퍼카 운전한 기자ㅋㅋ 저 순간만큼은 기분 째졌겠네 ㅋㅋ,3년 전
18,  윤기,슈퍼카도 좋지만 차별없이 운전합시다~~,4년 전
19,  June Goe,역시!~  양보는 미덕이야.. 교통예절을 사랑하는 우리국민들..-_-,3년 전
20,  hardie,버스가 10초 기다릴 정도면 말 다했음 ㅋㅋㅋ 이래서 좋은 차를 사야됨,1년 전
21,  Latte,이런걸보면서 우리가 먼저 바뀌어야한다고 생각함..,6년 전
22,  gracejedi mr,운전스킬로 상쇄할 수 있는 부분이 분명 있지만 차 등급에 따른 상대 운전자의 대우는 분명 평등하지 못하다.,1년 전
23,  상우,슈퍼카로 긴급차량 만들면 모세의 기적이 바로 일어나겠네,6년 전
24,  Gang eun Ahn,슈퍼카 차로변경할때 뒤에차 안전거리 확보하는거 왤케 귀엽지..ㅋㅋ,4년 전
25,  minhwan cho,5억에 대한 존중 ㄷㄷ,3년 전
26,  리연,6년이라는 시간이 지난 뉴스였어도 지금과 별반 다를 것 없는 것 같네요ㅋㅋㅋ,9개월 전
27,  아보카도,이 얼마나 아름다운 세상인가..!! 이 얼마나 아름다운 자본주의인가..!!,6년 전
28,  아포아프,이런거 보면씁쓸합니다  몇억차량이든  보험처리를  기본으로 만들던가 아님 사고나도 충분히 처리하게  할수있게 만들지않고있으니5억짜리차가면  피하는게상책:: :;;: 그냥 일반그지들은  피하고다녀라  이런식....,1년 전(수정됨)
29,  먼치킨,경차라고 무시하는 국민성이 잘못된거지,4년 전
30,  권승우,역쉬..슈퍼카의 간지,6년 전
31,  나루토,이건 실험자체에 결.함. 이있네요. 같은조건 같은상황에서 실행을 해야죠. 예를들어 버스가 수퍼카를 10초 기다려주었다면 경차로도 그버스앞에서 실험을 했어야했다고봅니다.,3년 전
32,  DDM,이러니 사람들이 수퍼카 탈려고 하지. 탈맛 나잖아. 매너있게 대해주고...  양보 잘해주고...,2년 전
33,  거스가 땅에 닿음,그들이 슈퍼카를 배려하는 이유는 더 오래 살기위해서이다,3년 전
34,  Pack,재미있는 관점의 뉴스네요 ㅎㅎ,1년 전
35,  척척박사에디,공교육에서 인성교육 강화 시켜야함. 좋은대학 보내는게 문제가 아님,2년 전
36,  권민혁,경차 반응을 먼저 보여주고 다음에 슈퍼카 반응을 보여줬으면 더 좋았을텐데,3년 전
37,  HS KIM,우와.... 수퍼카가 50배 가격차이가 나면 수리비도 ㄷㄷㄷㄷㄷㄷㄷ,5년 전
38,  chul kang,맞아요학원이사장  자제분이 타고 계실텐데어딜 감히 이런 생각이 들죠세력권층 자제분들 잘 모셔야  월급이 나오죠낙수효과  짱이에요,1년 전
39,  boi morning,부모님차 (제네시스. 그랜저) 몰고다니다가 모닝하나 사주셨는데 진짜 국민성 대--단하십니다 ㅋㅋㅋ 모닝타고 밖에나가기 무서울정도예요.,3년 전
40,  김동중,빨리 자율주행 되야된다.  그래야  저런 반응 없어지지.. 다 똑같은 속도로 똑같은 간격으로  같은 프로그램을 사용해서 도로위를 달리면  저런 우월감도 없어진다.,1년 전
41,  이현우,암행순찰차량을 경차로 했으면 좋겠다무시하고 들이대다가 개털리게,3년 전(수정됨)
42,  aseu bon,알고리즘도미쳤고 다른차운전자운전태도바뀌는것도 미쳤닼ㅋㅋㅋㅋㅋ,2년 전
43,  shady slim,저게 모세의 기적은 아니지만 슈퍼카가 중앙선으로 달리면 진짜 모세의 기적처럼 다 비켜줄 듯...,2년 전
44,  헤롱이,"00:53 시내버스마저도 10초 기다리게 만드는 슈퍼카,, 경차였음 2초도 안되서 경적울렸다",2년 전
45,  스리야,어쩔수없음 이건 . 모든 사회에서도 적용되는거.. VIP고객 우대고객 과 일반고객. 모두에게 친절하는게 맞지만 좀더 신경쓰일슈밖에,2년 전
46,  알로아오예,운전 거침없기로 유명한 게 특히 시내 버스 기사인데 10초나 기다리다니 ㅎㄷㄷ,9개월 전
47,  이윤근,소방차나 응급차 출발 할때 앞에 슈퍼카 하나 같이 출발하면되네,6년 전
48,  은시아(k.lisa52),"모세의기적을 구급차로봤을땐 기뻤는데,,이렇게보니 현실미가돋네,,,,수리비무섭죠,,",3년 전
49,  Something Good,수준을 보여주는 아주 좋은 내용,4년 전
50,  김동중,성격 급한 한국인이 10초 나 기다려준건...   진짜 오래 기다려준거다.,1년 전
51,  유리조각비,가끔 우울할때나 힘들때 이 영상보면 기분좋아짐ㅋㅋ,2년 전
52,  forvictory68,슈퍼카 몰고 있는 기자도 기분 째지는 건 순간이고 계속 내가 이걸 왜 했을까? 하면서 바짝 긴장했을 듯...,2년 전
53,  강재준,현실성 없는 소리긴 한데구급차 슈퍼카로 만들면 효과 지릴듯 ㅋㅋㅋㅋㅋㅋㅋㅋ,2년 전
54,  ᄍᄆᄂ,버스기사분들은 착해서 그냥 8초기다려준거지 ㅋㅋ,2년 전
55,  조경민,이때만 해도 뉴스 개꿀잼이넼ㅋㅋㅋㅋㅋ,3년 전
56,  taehyeon kim,5번 본것 같은데도 볼때마다 잼있네 ㅋㅋㅋㅋㅋㅋㅋ,1년 전
57,  안녕하세요,ㅋㅋㅋㅋㅋㅋ 차빼!!!!!경차:어따대고 반말이야 하고 마동석이 내렸으면 좋겠다 ㅋㅋㅋ,3년 전
58,  Calm,"이걸보고 또 차에 대한 환상이 ,,,,, 비싼차 사고싶다",1년 전
59,  완타치,우리나라 교통법이 말이안되서 그러지 가만히 직진하고 있다가 저런차가 핸들꺽어서 쳐박어도 내가 과실이있는데 뭔개같은 경우인지,3년 전
60,  eugene jang,이게 바로 우리나라 의식 수준이 얼마나 개차반인지 보여주는 좋은 예이다. 갑질이 좋은 건 아니지만 그것도 이런 의식이 만들어낸 산물이다,5년 전
61,  HELLOHQ,제발 엠뷸런스가 와도 저정도로 비켜줬으면..,6년 전
62,  강세랑,알고리즘이 날 이곳으로 이끌었다..,2년 전
63,  송희찬,오늘도 유튜브의 알고리즘은 우리들을 이곳으로 인도했다,3년 전
64,  ERIK kim,좋은차 타고 다녀야하는 이유다,1년 전
65,  으으동네풍성형,저런차 잘못 건들었다가 과실 조금만 인정되도  콩팥이 두개인이유를 알게되는데 당연하지,2년 전(수정됨)
66,  람머스,운전 초보들이 보통 경차타는데 이렇게 앞뒤옆에서 험하게 몰면 운전이 힘들어요 ㅜㅜ,3년 전
67,  딸하나아들하나,나 50키로대였을때랑 70키로대였을때랑 사람들 반응 정말 극과극이었지 ㅠ지금은  경차취급 받고 있지만 기다려라..곧 슈퍼카된다,2년 전(수정됨)
68,  wseoks,2020년이 되어도 변한게 없다,2년 전
69,  The is a Pen,똑같은 사람이  아니고  사람마다 다 틀리다상황은 똑같으나  뒷차에 운전자가  틀리기에  상황제현이  다를수 있다고 말하고 싶다...정말...,2년 전
70,  nudzhhh,대한민국 국민성이 잘 드러나는 뉴스 잘 봤습니다. 유익하네요.,1년 전
71,  두둠칫,"솔까 나도 그런다.  외제차 막 껴들어도 사고나면 손해보는건 ""나""니까....",6년 전
72,  nam Heo,5억 슈퍼카 vs 마동석이 창문열고 운전하는 모닝 궁금하다,6년 전
73,  시월,와 어쩌다가 자막 키고 봤는데 발음 진짜 좋으시다 자막이 완벽하네,3년 전
74,  흐구,괜히 슈퍼카 잘못건들였다간 인생이 피곤해지지..  안그래도 피곤한 인생,1년 전
75,  김홍규,사고발생시수입차도국산차기준에서보험처리할수있도록법개정해야한다,2년 전
76,  Jun’s diary’s,이래서 국민의식이 중요한거다,8개월 전
77,  운동하자,"우리나라가 이런 나라다, 국민이나 국회의원, 검찰, 경찰, 나도 포함 개판이다.",3년 전
78,  JW L,왜 이게 YTN의 수많은 영상중에 가장 조회수가 높은거지,2년 전
79,  kyujong k,물론 고가의 차량 때문일 수 있지만 똑같은 사람을 상대로 한 게 아니라 개개인의 인성 차이도 배제 못하지 경차라도 10초 기다릴 사람있고 양보해주는 사람 있을테니,3년 전
80,  김킴 ᨆ,솔직히 기자분이 슈퍼카 타보고싶어서 한거다 이건ㅋㅋ,1년 전
81,  Cloud,나는 슈퍼카가 앞에 껴들려 그러면 일부러 뒷태 보고 싶어서 그냥 양보하는데...ㅋㅋㅋ슈퍼카라서라기 보다는 그냥 멋있는 차 달리는거 바로 앞에서 보고 싶어서~,3년 전
82,  홍승표,차가 대단해서가 아니라 종합보험으로 커버가 안되기 때문일 뿐...,2년 전
83,  코빨간루돌프,응급차를 슈퍼차로바꾸면되겠다,4년 전
84,  안철산,국민의 의식수준이 아주 묘하게 들어나버리네요 ㅋㅋㅋ,3년 전
85,  yoon,ㄹㅇ 도로위의 천룡인이네,2년 전
86,  광전사지폭지술,슈퍼카는 도로위의 예술.보는것만으로도 설레이지,2년 전
87,  최대영,소방차 와도 안비키던 한국인이 외제차에는 친절합니다!,6년 전
88,  K James,슈퍼카버스 도입이 시급하네요 ㅎㅎㅎ,1년 전
