,아이디,댓글 내용,댓글 시간
0,  @user-pw8it7fr4w,와 저 여성분은 버스가 불타고있는데 안에서 도와주고 있는거잖아...존경합니다,3년 전
1,  @user-nt2nw5hn7x,저게 간호사가 당연히 해야되는 게 아니라 그냥 저 사람이 대단한거임,3년 전
2,  @user-tc5jw3dc7u,자신의 목숨이 달린 상황에서도 기사님을 구해주신 간호사분과 도움을 주신분들 참 감동입니다,3년 전
3,  @user-bg9ln8on3t,간호사분만 칭찬하시는데 렉카기사분도 칭찬 좀 해줍시다 똑같이 간호사분 렉카기사분 진정한 영웅이십니다,2년 전(수정됨)
4,  @chwpiano6070,간호사님 너무 멋있어요 ㅠㅠ,3년 전
5,  @user-tk2yc3hk3z,와 기사님 진짜 자기를 제외하고 승객들 대피할때 무슨 기분이셨을까.. ㅠㅠ 너무 다행이고 모두 감사합니다,1년 전
6,  @user-fu4zw5ce7i,버스에 불이 나고 있는 무섭고 긴급한 상황에서도 운전기사를 위해 도와준 여성분 그리고 앞에서 도움 주신 분들 다 너무 감동적이네요 ㅠ 실제로 저런 상황이 온다면 누구여도 선뜻 나서서 못할 일일거 같은데 정말 대단하십니다 ..,1년 전
7,  @user-mn9sd7fb7v,모든 간호사분들도 존경스럽지만 저 간호사분은 대단히 존경스럽네요,1년 전
8,  @user-zj3gu4tp8g,안에서 기사님은 얼마나 두려우셨을까 ..위급한 상황에서 용기내서 구해주셔서 너무 감사합니다ㅜ,3년 전
9,  @user-hy8yd3zw7u,간호사라고 다 그런건아닌데저 여성분과 렉카남성분이 훌륭하신분이네요,2년 전
10,  @hskim2946,"간호사님 대단합니다.많은 사람들이 본인 일처럼 도와주시네요.우리주위에는 아직까지 따뜻한 시민들이 많습니다.감동입니다,도와주신 분들 모두 복 많이 받으세요.",3년 전
11,  @user-ob2nf8vb4e,저런 곳에 쉽게 나서기 힘들텐데…무사해서 다행입니다,22시간 전
12,  @user-jc8yx1rc7p,간호사분진짜용감하시다,3년 전(수정됨)
13,  @belka1057,당황하지않고 상황에대처하는모습.. 당신들이 진짜 영웅입니다..,3년 전
14,  @user-th1gt9ec9m,사람을 구하신 분 너무 멋있어 보여요! 덕분에 생명 하나가 살았습니다.. 이렇게 착한 분들을 본받으면서 살아가야겠다고 다짐했습니다.,2년 전
15,  @user-qb8qn7ht1j,"저런 영상들 보면 정말 대단하다고 느껴져요,, 본인이 안전하다면 또 모르지만 본인도 위험에 처한 상황이고 그런상황에서 목숨을 걸고 남을 도울 수 있다는 것이 정말 존경스럽네여ㅠㅠ 저런분들이 많았으면 좋겠어요",1년 전
16,  @OKLDsunny,"버스기사를 구해주신 모든 분들께마음 깊이 뜨거운 박수를 올립니다..,~",2년 전
17,  @user-wr2bg6co2r,사람 생명을 귀중히 여겨서 생명을 구해주신 렉카 기사분과 간호사분의 용기에 박수를 보냅니다.,2년 전(수정됨)
18,  @keyjar2033,간호사분 정말 대단하시네요 남들은 주저하고있는데 목숨걸고 과감하게 뛰어들어가는 모습보니 감동적이고 표창장이라도 드려야되는거 아닌가 합니다,3년 전
19,  @user-ub7jy8lk3f,불타고 있으면 엄청 뜨거울텐데 그걸 버티신 버스기사분도 대단하시고 간호사분이랑 렌카 기사분도 정말 대단하시다..존경합니다,3년 전(수정됨)
20,  @LetshaveaMeal,버스가 불에 타고 있는데 거길 들어가서 구조를 돕는 간호사분 정말 존경스럽습니다 감사합니다,3년 전
21,  @tinn5649,"저기서 발 동동 구르며 한마음 한뜻으로 걱정한 사람 모두 의인이고, 외면하지 않고 본능을 이기고 달려가준 용기를 가진 분은 영웅이죠. 모두가 고생하셨습니다.",2년 전
22,  @user-rb9oz1ys7q,멜빵 언니야는 어려 보이는데 간호사라는 사명감 때문인가 남자들도 못들어 가는데 저길 들어가서 저러고 계시네 진짜 천사네 천사야,2년 전
23,  @user-ze1qx1eq2l,견인기사분이랑 간호사분 그리고 시민분 대단하시다!,3년 전(수정됨)
24,  @user-yb9gt4wm4e,너무 대단하시다 구해주신 분들 평생토록 행복하시고 건강하셨으면 좋겠어요,3년 전
25,  @user-eo8ch1xt4r,시민들 개멋져.. ㅠㅠㅠㅠㅠㅠㅠㅠ 노력한만큼 행복이 찾아오길 바랄게요,2년 전
26,  @user-fc5kn5ne7x,불이 나고 있는 상황에서 자신의 목숨도 위험한데 저렇게 사람을 구해주신게 정말 대단한일인것 같아요 간호사분 너무 멋지고 존경스러워요! 너무 감동적인 영상입니다,1년 전
27,  @s.e9343,내 목숨도 어떻게 될지 모르는 상황인데도 불구하고 자신의 직업을 살려서 기사분을 살리신 간호사분 정말 멋지십니다. 그리고 간호사분들 말고 다른 분들도 도와주셔서 너무 감사합니다!!,11개월 전
28,  @roj5820,"차에 불 붙으면 폭발할까봐 차량 근처에 가는 것도 두렵다.그런데 불 붙은 차량 속으로 들어간다는 건 보통 희생 정신으로는 불가능하다.가족을 구하러 들어갔다고 해도 너무 두려웠을 건데, 모르는 타인의 생명을 구하기 위해서  폭발위험 속으로 뛰어들다니...ㅠㅠ너무 감사하고 존경합니다.",1년 전
29,  @0807cool,평소 레카기사에게 안 좋은 인식이 있었는데 오늘 영상을 보니 훌륭하신 분도 계시군요. 자신도 위험할 수 있는 상황에서 한 생명을 구하기 위해 몸을 아끼지 않은 모든 분들에게 감사합니다.,3년 전
30,  @user-ti1gx1vx1o,와 여성분 진짜 대단하다 불타는 버스에서 혹시나 진짜 안좋은상황이면 버스가 터질수도 있는건데 멋지다,3년 전
31,  @jw3366,은근 레카가 양X치 소리도 많이 듣지만 이렇게 위급할 때 구해주시는 경우가 생각외로 많다고 하네요. 다시 봤어요.  간호사분은 대단하네요 사실 간호사 신분으로 탄 것도 아니고 모른척 할 수 있던 상황인데 무서웠을텐데요,3년 전
