,아이디,댓글 내용,댓글 시간
0,  행복하세요,극심한 생활고도 문제지만.. 살아생전 먼저 돌아가신 어머니가 얼마나 보고싶었을까.. 얼마나 외로웠을까.. 곁에 누군가라도 있었으면.. 너무나도 안타깝습니다. 좋은곳에가셔서 더이상 외롭지 않았으면 좋겠네요..,3년 전
1,  Antonio,돌아가신 어머니의 주검에 대한 기억.사고로 불구가 된 다리.찬란했던 순간의 흔적앞에 놓여진 통조림캔과 소주병.애도하려고 해도 고인의 외로움과 슬픔은 상상하기 어렵다.,2년 전(수정됨)
2,  미립,5년전 뉴스인데 지금 들어도 참 마음 아프다 ㅠㅠㅠㅠ,2년 전
3,  멥훠,7년이 지나도 변한 건 없구나... 그때만 반짝이지 아직까지도 생활고로 힘들어 극단적 선택을 하는 가정이 많던데...,13시간 전
4,  Z Jammy,너무 마음아프네... 온 국민을 기쁘게 해 준 선수를 버리다니... 개인탓으로 돌리기엔 너무 큰 공을 세운 분인데 ㅠㅠ 꽉 막힌 행정.. 천국에서 이젠 아프지 마시길 바랍니다..,1년 전
5,  한여름,너무 늦었지만 고인의 명복을 빕니다..지금쯤 좋은곳에서  어머니와 함께 있으시리라 믿습니다..,1년 전
6,  seungyeop Yu,금메달이 원망스럽다고 생각했을거같다..그럼에도 집에서 가장 잘보이는 곳에 걸려있던 금메달..무슨생각을 했을까 원망스러워도 그대의 자랑이어라고인의 명복을 빕니다.그 죽을것같았던 노력과 땀이 인정받는 세상에서 다시 만나길 기원합니다. 고생 많으셨습니다.,3년 전
7,  Mk H,추석인데 어떻게 하다보니 알고리즘 타고 영상을 보게 되었습니다. 참 마음이 많이 안타깝습니다. 세상에 알려졌다라면 따뜻한 사람의 후원이라도 받으셨을텐데... 늦었지만 고인의 명복을 빕니다,2년 전
8,  군만두는 맛있어,김병찬 선수님을 잊지 말라는 듯이 알고리즘은 매년 이 슬픈 소식을 가져온다시간이 지나도 여전히 마음 깊숙이 아픈 소식이다ㅏ,1년 전
9,  기쁨,대한민국 전체를 위해 흘리신 땀방울.가치를 책정할 수 없을 만큼 귀합니다.6년 1개월이 지난 지금도 김병찬 선수님의 명복을 빌겠습니다.,9개월 전
10,  칼리토,"눈감는 순간 ,   건강하구 행복했던 운동하던 시절의 자신의 모습이 스쳐지나갔을것 같네요 삼가 고인의 명복을 빕니다",2년 전
11,  A . v . A . t . A,금메달 연금은 수입에서 제외시켜야지. 그건 헌신한 선수의 수고에 대한 보너스 개념인데 그걸 기본급여로 보냐? 미친 나라야…,1년 전(수정됨)
12,  김민권,잘 모르시는 분들이 많으셔서그런데 역도선수이셨던 고인 김병찬님은 1996년에 오토바이를 주행하시다가 불의의 사고로 머리를 다쳐 하반신이 마비 되어 선수생활을 은퇴하셨고 어머니와 단둘이 메달리스트 급여 52만 5천원만으로 힘겹게 생을 이어가시던 중 2013년 어머니마저 돌아가시고 국민 기초생활 보장법의 수급자로 선정되셨지만 당시 법률상으로는 49만 9천원 이하의 소득의 있는 분만 보호가 되어 겨우 3만원 더 받는다고 제외되시고 생활고에 시달리시다가 고독사 하셨습니다수상 기록1989포트로더데일 주니어세계선수권 대회 동메달1990부다페스트 세계선수권 대회 동메달1990베이징 아시안게임 금메달1991도나우에싱겐 세계선수권 대회 동메달1991가미스 아시아선수권대회 금메달1992푸저우 아시아선수권대회 금메달총 메달: 동3 금3,2년 전(수정됨)
13,  SENSUALIST TV,5년이나 지난 지금이지만..추석 명절에 이 뉴스를 보니너무 너무 가슴이 아프네요..특히나 고인이 생을 달리하기 몇 달 전어머니께서도 떠나셨으니하루 하루가 얼마나 괴롭고가슴이 아팠을까요..부디 코로나도 없는하늘나라에서 부모님과 함께따뜻한 명절 보내셨으면 합니다.그리고 올림픽에서 한국을 빛내주셔서정말 감사드립니다..,2년 전
14,  나지금울뻔했어요,"경기를 할 때만큼은 세상 누구보다 즐거웠을텐데하반신을 못 써 운동이라는걸 멈추게 되었을 때  ..얼마나 슬펐을까 ,, 자신이 하던일을 못 하게 된것이단순히 쉬는것이 아니라 의도 없이 못하게 되는것에얼마나 답답하고 모든게 원망이었을지..부디 편히 지내셨으면 .",2년 전(수정됨)
15,  정명규,"우리 나라의 자랑인 금메달리스트가 저렇게 허무하게 죽다니 너무 가슴아프네요. 이런 일이 다시는 없었으면 하고, 삼가 고인의 명복을 빕니다. 무디 행복하세요. 화이팅입니다.",1년 전
16,  B-U12 E,저렇게 건강하던 분이 사고로 하반신을 잃었을때도 모든걸 잃는 기분이었겠죠..  온몸에 근육도 빠지면서 무기력해져가고 지원도 안나오고.. 그곳에서는 행복하게 사시길 바랍니다..,2년 전
17,  cherish,부디 어딘가에서 행복하게 역도를 하고 계시길. 늦게 알아서 죄송합니다 빛났던 그대가 행복하시길 뒤늦게서나마 응원합니다 고맙습니다,1년 전
