,아이디,댓글 내용,댓글 시간
0,  @user-mq4de3ec7z,"아마존에나 살던 피라냐가 강원도에서 잡혔다니 정말 놀랍네요. 저수지의 물을 다 빼서 잡으셨다니 많은 분들이 고생하셨을 겁니다. 몰래 방사했다면 정말 나쁜 사람이고, 피해입으신 분들은 정말 어떤 위로의 말씀을 드려야할 지 모르겠습니다. 단순한 물고기 한마리가 아니라 사람들의 안전과 재산을 위협하는 행동이니 경각심이 필요합니다.",1년 전
1,  @kwakbottle7196,아저씨 진짜 침착하게 말하시네 착잡하실텐데......,6년 전
2,  @user-dd5ql6vi2x,작업하신분들 수고하셨습니다,4년 전
3,  @roflg4615,저수지에 식인종 피라니아를 방사한사람 당장 체포해서징역및 벌금 물어내야합니다,2년 전(수정됨)
4,  @user-up9xd6mz9s,누구였는지 몰라도 한 사람의  무분별한  행동으로 인해 많은 인력과 손실이 따랐네요 그래도 나중을 생각하고  미리 손을 써신 거 정말 잘 하셨습니다 그 노고에 박스를 보냅니다^^,1년 전
5,  @user-lu9pu3qd3e,두번다시 이런 일이 없도록해야 한다.보완하고 완벽 방어태세 하라!,7개월 전
6,  @user-dp7cs4yn9x,외래 어류에 대해 피해를 입으신 농민분들과 국내 어류들에게 유감을 표합니다...,3년 전
7,  @user-wc9yw4op3p,피라니아 방사한 사람 진짜 발견하면 엄중한 처벌 필요하다고 본다. 저 저수지는 농사하시는 분들께 중요한 공간이고 그것도 식인종인데 농사할 때도 많은 피해를 끼치고 잘 못하다간 사람들이 다칠 수 있음,2년 전
8,  @user-td8yc7dt5i,"요즘에 가뭄이 너무심해서 최근 기사인줄 알았는데 6년전이라 첫번째 놀랐고,, 물을 다빼고 외래종을 소탕한 노고에 놀랍고,,,6년전에 노력에도 불구하고,,  더 나아지지않은 현실에 3번 놀랍니다ㅠ",5개월 전
9,  @deejayswan,와...이건 진짜 처벌해야지....대박이다 진짜 미쳤다;;;,2년 전
10,  @hje2515,빠르게 막아서 다행이네요. 이번 처치만큼은 잘했다고 생각합니다.외래종을 파는것이 문제라기 보단 그걸 방출하지 못하도록 하는 제도를 찾아야할듯,3년 전
11,  @user-wd1pm9eq8d,외래종에 대한 엄격한 관리 및 처벌이 필요해 보입니다.,1년 전
12,  @user-wo3wp8ps4t,"아이고... 고생하셨었네요 3년이나 지난 지금이지만 대응 잘했고, 덕분에 외래종 급속하게 퍼지는거 막을 수 있어서 다행입니다. 하지만 아직도 법이 강화되지 않은게 안타깝네요",4년 전
13,  @zandiOwO,그래도 피라니아가 더는 발견되지 않아서 다행이네요. 가뭄이라 농부분들이 엄청 힘드실텐데 걱정됩니다. 그래도 힘 내세요. 화이팅!,2년 전
14,  @user-dv7rd8qj8w,인간의 이기심은 정말 끝이없다,4년 전
15,  @user-fj1kk3jl4v,정말 위험하고 미친 짓거리라 생각합니다!,2년 전
16,  @zezzr,여기 우리 선산 앞에 있는 저수지인데 저때 벌초하러 갔더니 진짜 물 바닥까지 싹 빠져가지고 너무 안타까웠음..,1년 전
17,  @user-po9ui4lg6t,몰지각한 일부 사람들 때문에 손실이얼마인가! 법이 없다면 시급히 마련해서 또다시 저런 일이 발생하지않도록 해야 합니다!,1년 전
18,  @user-uu3tu8bo8g,무분별한 외래어종들의 수입을 규제하고 방사하는것도 아무거나 방사해서 여러가지 문제점들이 생기는데~ 방사하는것의 범위도 제한 시켜서 해야... 그리고 방사는 왜? 하는지... 생활속에서 본인이 양심것 잘 살아야지...,5년 전
19,  @jhk1356,해외종 어종이든 파충류등 입국과정에서 그 사람들이 들여온걸 다 데이터로 남겨놔야한다 .,1년 전
20,  @thinkingperson4557,증말 고생하셨습니다 ㅜㅜ,1년 전
21,  @infj4869,처벌을 받아야되 ㅠㅠ 이젠 물이 귀하다고 이렇게 피해를 민폐를 줘선 안됩니다,5개월 전
22,  @825Insect,"중요한 것은 ""식인어종 피라냐""가 아닙니다. 실제로 야생 피라냐는 동물 사체를 뜯어 먹거나 작은 동물을 잡아 먹긴 해도 사람을 사냥하지 않습니다. 더 중요한 것은 외래종이 무분별하게 자연에 방생되고 있다는 사실입니다. 피라냐라서가 아니라, 실제로 방류되고 있는 모든 외래종들과 토종 생태계를 지키는 일에 더 관심을 기울여야 합니다.",1년 전
23,  @user-dg9su4hf3t,농민분들 이러면 힘드실텐데ㅠㅠ,2년 전
24,  @popcoconut9489,"호주처럼 해야한다.  저런 외래종 수입금지시키고, 수입발견시 파산시킬 정도의 고액벌금을 내려야 한다.",4년 전
25,  @canadiananglerslife6911,피라냐 직접 낚아 봤는데 정말 괴물처럼 무섭게 생겼어요.ㅎㄷㄷ,2년 전(수정됨)
26,  @user-qs4ci9yi9h,아마존 또한 환국의 영토였다는것이 분명하군요.,5개월 전
27,  @soonchulshin4942,소탕이 잘 되었길 바랍니다. 이런 짓 하시는 분들은 무슨 속샘이 있었던 것인지 ㅠ,5개월 전
28,  @sgp7845,누가 방사했는지 알 수가 없으니 외래어종에 경우 등록제를 이용해서 어디서 어떻게 거래가 됐는지 확인하고 출산 및 사망할 경우 기록에 남기도록 해야합니다.,2년 전
29,  @user-wk9zd6wv1i,외래종 들여 오지 못하게 철저히 감시하고 통제합시다,1년 전
30,  @7042silver,늦지않게 물을 빼서 다행입니다더 퍼지기전에 어렵지만 현명한 선택이었습니다,2년 전
31,  @user-st3jl7xl5p,피라냐도 종류가 달라서...피라냐중 약한 측에 속한 나테리 같은 경우가 대표적인 예죠,6년 전
32,  @user-yz1tp3vx3t,저수지 낚시 금지 구역 많던데  저런 무분별한 사례를 원천적으로 차단하려면 낚시 금지 시키는게 최고인듯하네.,5년 전
33,  @perseus3362,피라냐 방사한 사람.. 피라냐 수십마리 풀어논 수조에 통째로 24시간 넣어두는 처벌 해야 함,2년 전
34,  @user-ww3it3ss8w,이때마스크안끼고있다는게 너무 부럽다,1년 전
35,  @user-wu7rr1pe2z,정말 법의 빈틈이 너무나도 많다,1년 전
36,  @sweetbanana7606,사회에 불만을 갖는 자들이 해로운 외래종을 풀거나 산불을 일으킵니다.반드시 잡아 중벌로 다스려야 합니다.,1년 전
37,  @kimeunzzangg,5년전...돌아가고싶다,1년 전
38,  @user-zd4vo9lb2x,아니 방사한 인간 정신머리에도 놀랐지만 피라냐 적응력에 놀람 ㄷㄷ 열대물고기가 우리나라 강의 서늘한 수온에서 살수있다고???,1년 전
39,  @halieuskang9718,도대체 어떤 인간들이 이런 어이 없는 짓을 하는거지?,2년 전
40,  @mussekoreacastnet3932,피라니아 보기만해도 무섭넹저런잡식성 잡을수있게투망던질수있는곳 알려주는곳있으면좋겠네요..,2년 전
