,아이디,댓글 내용,댓글 시간
0,  짱리,"그래야 나쁜짓을 젊은 사람들이 안하게 되겠죠.악인이 잘되면,젊은이가 나쁜 짓 하는 걸 어떻게 막겠습니까?끝까지 악인은 잡아들여야 합니다.",3개월 전
1,  김용하,조폭두목이든 최고 권력자든 재벌총수든 늙으면 초라한 마귀로 변하는게 인생이다 인간이 늙는다는 자체가 세월무상 이며 또한 인생무상이니 모두가 좋은일 하다가 세상을 떠납시다 이것이 행복하게 떠나는 길이다,3년 전
2,  Bud weiser,김복준 반장님 ㅋ 진짜 정말정말정말 말 가려하시는것도 없이 정확하게 말씀해주셔셔 재미있게 잘 봤습니다 ㅎㅎ,4개월 전
3,  지천금,엄마들이 자식 낳을때 이럴라고 낳았읠까 왜 정신 못차리고 나쁜짓 만 하고 살았을까 참담 하고 답답 하다 이세상 끝 아니다라고 믿는다 착해게 살아야지,2년 전
4,  도쓰님,김복준 과장님 너무 좋네요 정말 엄청난 자부심과 재미를 가지고 계신게 느껴집니다 ㅎㅎ 자주 나와주세요!,3개월 전
5,  planc,젊음이 영원할줄 알았겠지....  늙으면 잘난사람 못난사람 다 똑같이 주름지고 병들고 아픈거다,2년 전
6,  달리나봄,조폭이고 뭐고 나발이고 잡으면 다 사형시켜라.세금으로 빵에서 먹여주고 재워주는것도 아깝다.,6년 전
7,  불백이,양은이형 영화  어렸을딱 참 멋있게 생각하고 봤는데 커서 생각해보니깐..그냥 양아치도 이런쌩양아치가 없지...,3년 전
8,  블랙쉐도우,김복준님 조폭 뒷얘기 넘 재밋어요^^,1년 전
9,  문법없이 배우는 한국어,"남 괴롭히며 즐겁게 살았으니, 말년은 그에 대한 댓가를 받아야 겠지.",2년 전
10,  JM TV,앵커 한숨소리 때문데에 땅 꺼지것네...진행 매너 정말...,2년 전(수정됨)
11,  김짱,저것도 인생이라고....양아치죠...주먹이 아니고...저런 사기꾼 인생을 동경하는 젊은이들도 정신차려야하는데..남 뒤통수치고 자기들은 잘먹고 잘살줄알고...교도소에서 세금으로 먹여주고 잠자게 해주지도 말아야하는데...,2년 전
12,  金,무기징역 때려라. 절대 사회에 나와서는 안되는 암덩어리다.,6년 전
13,  조남구,작은자는 언어를쓸수없고  큰자는 언어를많이쓴다 문제는 긍정이아닌 부정으로쓴다. 그 결과 그는현재의 아픔을 갓는  것이다.,2년 전
14,  천사,아 조폭 두목인게 화려한 거구나....,5년 전
15,  현민,남의 눈에 피눈물 흘리게 한 자.그 피 눈물들이 자기에게말년에 반드시 되돌아 온다.,2년 전
16,  Chae Sin,진짜로 남자다운 자는평소에 점잖고 성실하고효자이며 나라가 위험에처했을때 용감히 나선다,1년 전
17,  조청운,폭력은 어떠한이유든하지 말아야 됩니다사랑의 매니  어쩌니 하면서가정과 학교 에서  폭력을쓰는데 맞고 자란아이 꼭남을 때립니다 . 비폭력과사랑으로 다스려야지 ...,1년 전
18,  bulbob100,조폭들이 결국 다 그렇지 그 끝이 란게 다 그렇다. 뿌린대로 거둔다고 저렇게 살았는데 그 끝이 좋을리가 있겠냐 저걸 멋있다고 미화해 댔으니 한국영화계도 쓰레기들이지,6년 전
19,  나가리,"잔혹한 무서운걸로 치면 군인이고, 격투기 1:1맞짱등 무서운걸로 치면 mma나 종합격투기 선수고, 일방적 집단린치나 다굴등 무서운걸로 치면 조폭괜히 조직을 이룬 폭력배라고 ...",1년 전(수정됨)
20,  Juan Garcia,이런 직업군에서 제명대로 생존한다는게 드문거 아닌가요?,5년 전
21,  영ᄒᄉ지훈간신서ᄌᄒ,마음아프다,3년 전
22,  우재,이런거 보면 과거 전두환 노태우 군사정권시절 삼청교육대를 운영한것으로 많은 조폭을 때려잡아 해외 마피아나 야쿠자같은 범죄조직이 완전히 뿌리내리지 못하게 한것이 정말 잘한일이다.,2년 전
23,  니면상빵야,사람은 변하지 않는다,1년 전
24,  Aaron,영화가 문제야. 조폭이 뭐 대단히 멋있는 것처럼 매번 만들어 생각없는 놈들 홀리고. 실제는 진짜 조폭처럼 찌질한 놈들도 없는데. ㅉㅉ,6년 전
25,  천사,아 젊어서 조폭이 화려한거야?  대단한 제목이다.,6년 전
26,  불꽃심장,지금 까지 안죽고 살아있으면 성공한거 아님?,6년 전
27,  나트륨핑퐁,5억... 60세70세까지 일해야 벌수 있는돈이라는게... 맴아프네 ㅠ,1년 전
28,  정동수,주먹이아니고 칼잡이 깡패죠,1년 전
29,  김멸공,조폭들에 영화에서 보면화려하게 보여도 그안을 알고보면 거지도 저런거지들이 없다 노숙자보다 못한 인간들조폭생활 알고보면 불쌍한인간들이다,2년 전(수정됨)
30,  조청운,어떤이유로폭력배와 인연이 되었겠지만 그렇지 않는사람이인내와 자비와 사랑으로 품어야지만 그나마이땅에 폭력이 줄어들지요...,1년 전
31,  김성훈,신학ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짴ㅋㅋㅋㅋㅋㅋㅋ대단하다ㅜ대단해,3년 전
32,  Phong You,이한총검으러  베ㅈ를 가르는 모든 주문을 완벽히 수행해 주었다  살육에 대한 대응조차 그대로 이행해 주었다 모든 사건을 진지하게  응답해주어 깊은  감사를 드립니다,11일 전
33,  Sky 74,"법개정이 시급하다...살인,마약,성폭행,강력범죄 조폭연루시 사형-무기징역이 기본이여야 한다.",3년 전
34,  북망산저승사자,나도 한때에는 1급살인청부업자가 꿈이었고 해결사가 직업이었지만 이젠 조용히 (懺悔)와 (悔改)를 하면서 뉘우치며살아가고 있습니다.  저같이 못된 짓 하던 사람은 죽어서도 좋은 곳에 못가요.꿈에서 저승사자님들과 조상님들이 나타나서  너 죽으면 저승사자 된다고 준비하고 있어라고 하시네요.나역시 그렇게 준비하고 있답니다.  여러분들도 착하게 사세요.,2년 전
35,  나미시엘,남을 괴롭힌 인간들.말년이 좋으면 이상한 거지,2년 전
36,  상남자,대한민국의 모든 폭력조직을 뿌리뽑고 다시는 생기지않도록.새싹들도 없애버려야한다. 그조직들의 돈을먹고 그들을 숼드쳐주는 공무원들도 모두 갈아버려야한다,5년 전
37,  박영근,칠성  읻 사이다,1년 전
38,  칭따오,으니형 골로갔네 ㄴㅋㅋ 소실적 형 출소때 세단 한줄로 존너 길게있엇던건 옛날 말이야 ㅋㅋㅋ,1년 전
39,  두둠칫,공개처형이 답이다.,3년 전
40,  son hi,회칼로 떳으면회칼맞고 가야 그림이돼는건데...,4년 전
41,  유달산,조폭은 손에 무기를 드는순간 그땐 양아치다 조폭은 싸움은 할줄모른다 그저 떼거리로 사시미칼들고 ...,2년 전
