,아이디,댓글 내용,댓글 시간
0,  준트와필라테스 Junt Pilates,0:24 목돌리기2:20 흉쇄유돌근 마사지5:08 소흉근 마사지8:00 전거근 마사지11:06 경추가동술 운동13:09 턱당기기 운동17:47 빡빡이형 얼굴,3년 전
1,  Wooky Park,0:40 목돌리기 각 20초씩 2세트3:30 흉쇄유돌근 마사지 각 8초씩 3세트6:07 소흉근 마사지 각 40초씩 1세트9:20 전거근 마사지 8개 2세트11:45 경추가동술 운동 각 30초씩 2세트14:51 턱당기기 운동 8개 2세트,5개월 전
2,  Homtic_healthy,너무 좋은내용이네요!!!운동도 좋은데 운동전 스트레칭도 아주 중요하죠!거북목 운동인데 왜 앞으로 미냐는 궁금증도 보였는데견겁거근은 상부와 하부로 나눠서 살펴야 되며해부학적으론 꼬여서올라가죠..스트레칭과 운동은 겸해서 자주 하시면 좋고 가정에서 쉬실 땐 인증된 의료기기를 사용해주셔도 좋습니다.네이버 와이즈모먼트 목견인기나 오프라인 넥해먹도 괜찮더군요.재택근무나 홈스쿨링으로 거북목 진단을 많이 보시더라구요~,7일 전
3,  꿈꾸는소설가,형 진짜 최근에 없던 현기증과 원인모를 두통 (뒷통수를 콕콕찌르는듯한?) 그리고 뒷목 깊숙한 곳에서  시작되는것 같은 통증때문에 며칠 너무 힘들었는데 형 덕분에 살것 같아ㅠ.ㅠ형은 정말 최고야 아프지 말고 계속 이런 유익한 영상 만들어 줘그리고 형도 더 이상 아프지 말구2021년 새해 행복하게 보내길 바래!!,1년 전
4,  Kaya Kim,"거의 매일 아침마다 두통에 시달리고 등이 뻐근했는데, 영상 보고 따라하니까 목 주변이 엄청 가벼워졌어요!! 좋은 영상 올려주셔서 감사합니다 ️",3년 전
5,  Crooked,와 진짜 하루 10시간 넘게 앉아있는다고 목아파 죽겠어서 집중도 안되고 턱괴고 있고 했었는데 날아갈것 같이 시원해요ㅠㅠ 감사합니다 매일 매일 해야겠어요 그냥 재미있고 운동잘하시는 분들인줄 알았는데 완전 초초전문가분들이셨네요 정말정말 감사합니다ㅠㅠ,3년 전
6,  Kyungmo Ku,Wooky Park3 months ago0:40 목돌리기 각 20초씩 2세트3:30 흉쇄유돌근 마사지 각 8초씩 3세트6:07 소흉근 마사지 각 40초씩 1세트9:20 전거근 마사지 8개 2세트11:45 경추가동술 운동 각 30초씩 2세트14:51 턱당기기 운동 8개 2세트,2개월 전
7,  최현율,0:24 목 돌리기 20초  2세트11:06 경추가동술 30초 2세트14:33 턱당기기 운동 3초 8개 2세트,2년 전(수정됨)
8,  하프타임,목돌리기 20초 2세트 0:38흉쇄유돌근 8초 3세트소흉근 40초 1세트 6:04 7:07전거근 8개 2세트경추가동술 30초 2세트 11:39,2년 전(수정됨)
9,  ohk1130,와 두통이랑 목뒤쪽 어깨 견갑골사이통증 매일 달고 사는데 한번만 따라해도 효과 짱이네요ㅋㅋㅋ 끝까지 따라할 수 잇게 구령넣어주는것도 조아요!! 고퀄영상 감사합니다,3년 전
10,  각톡톡,개인 루틴0:39 목돌리기3:33 목꼬집기6:08 겨드랑이9:08 날개뼈11:40 경추가동술14:49 윗목당기기,1년 전
11,  한승훈 유튜브,설명 빼고 시작 시간0:37 목돌리기3:30 흉쇄유돌근 마사지6:05 소흉근 마사지9:10 전거근 마사지11:40 경추 가동술 운동14:50 턱당기기 운동,3년 전
12,  너굴맨,개정판 생겨서 너무 좋아여!!! 전에 여러개 있어서 뭐해야하나 궁금 했는데 ㅠㅠㅠㅠ 감사합니다 다른 운동도 개정판 해주세요 ヾ(◍´▿`◍)ﾉﾞ,3년 전
13,  소호soho tv,진심.. 대박 몇달째 왼쪽 목이랑 어깨 너무 답답하고 틀어져 있는 느낌이 계속있었는데.. 이거 집중해서 한번만 했을뿐인데 너무너무 시원하고 어깨 답답했던것도 풀어짐!!!! 다른 영상도 보고 열심히 따라해 볼게요,3년 전
14,  Xmdiesk,설명 건너뛰고 운동 바로 시작0:38 목돌리기4:26 흉쇄유돌근9:20 전거근마사지11:44경추가동술16:45턱당기기 운동,2년 전(수정됨)
15,  ㅇ,0:29 목돌리기 시작 10초전3:21 흉쇄유돌근 마사지 시작 10초전5:56 소흉근 마사지 시작 10초전9:10 전거근 마사지 시작 10초전11:33 경추가동술 운동 시작 10초전14:40 턱당기기 운동 시작 10초전,1년 전(수정됨)
16,  루브릭,마지막 운동은 진짜 해봤는데 효과 만점이네요. 너무 시원하고 좋아요,3년 전
17,  Derick Kim,목에 통증이 있어서 정형외과에 갔더니 역c 라는 진단을 받고 어떻게 해야 하나 고민 하던중에 진짜 좋은 영상 만들어주셔서 따라 해봅니다 매일 같이 따라해서 다시 정상목이 되길 바래 봅니다. ㅎㅎ,1년 전
18,  밤양갱,갑상선 수술 후 목도 뻣뻣해지고 거북목이 심해져서 피지컬갤러리 유튜브를 보고 한달 동안 매일 해왔더니 이제는 목의 뻣뻣함도 사라지고 뭉친등도 괜찮아졌습니다 정말 좋은 스트레칭 알려주셔서 감사합니다,2년 전
19,  Eunjung Jang,0:38 웜업 (목돌리기 20s x 2)3:28 흉쇄유돌근 마사지 (목 꼬집기 8s x 3)6:05 소흉근 마사지 (찌찌 당기기 40s x1)9:05 전거근 운동 (우산 벽 8 reps x 2)11:39 경추가동술 운동 (수건 대각선 30s x 2)14:50 턱 당기기 운동 (수건 아래목 3s x 8 reps x 2),7개월 전(수정됨)
20,  Sound Horizon,감사합니다 덕분에 도움이 많이 된것같아요 항상 목이 피곤하고 힘들었었는데 이운동을 배운뒤로 한결 편해졌어요,2년 전
21,  팬시Fancy,진짜 너무 감사합니다 목이랑 뒷골이 너무 당겨서 머리도 아프고 오른쪽 목에는 인파선도 잡혀서 머리를 퉁퉁 쳐야 시원할 정도로 아팠는데 이거 한번했는데 진짜 괜찮았어요ㅠㅠ 계속 해볼게요,3년 전
22,  아이퐁,이거 효과 진짜 좋아요 ㅠㅠ 거북목 심한거 방치하고 있었다가 요거보고 오늘해봤는데 목돌리기부터 아파서 혼났네요.. 다하고나니까 즉각적으로 목도 어깨도 확펴지는게 보여요 강추.. 페이스요가랑 매일 같이 해줘야겠어요 영상감사합니다 ㅠㅠ,3년 전
23,  할미,와우 정말 시원해요...항상 누워도 목 앞에 흉쇄유돌근?쪽이 항상 불편했는데 이걸 하고 누우니 세상 편하게 누웠어요...기분이 날아갈거같아요 ㅠㅠ 감사합니다 빡튜브!,3년 전
24,  물파스,항상 좋은 운동방법 알려주셔서 감사합니다. 다른분들도 목건강에 주의를 기울이고 다 같이 건강하게 삽시다. 항상 고마운 정보 감사드려요!,1년 전
25,  양건모,독서실에서 공부하다가 따라해봤는데 효과 너무 좋아요!,3년 전
26,  해골에서 멸치되는 그날까지,"거북목이 소화불량에도 영향이 있다고 하네요 . 어제부터 시작했고 앞으로  빡빠기 아저찌의 거북목 교정 루틴 영상 2개를 매일 할려고 합니다.같이 매일 도전해요!! 한번씩 댓글로 기록할까 싶어서 말뚝박고 갑니닷 목이 끊어질것 같이 항상 느끼는 이 통증을 지우기 위해 노력해서 , 호전되는 댓글도 남길 수 있는 그날을 기대해봅니다. 2020/2/1 직장생활 10년째인데 어깨 목은 물론이고 소화나 복통은 없이 엄청 건강한 사람이었습니다만 직장생활 이삼년 이후부터 소화불량이 심각하고 , 목과 어깨에 통증이 갈수록 악화 되더군요.목의 통증은 일반운동과 자세 교정만으로는 안되는 걸 깨우치고 겨우 거북목에 도움이 되는 운동을 시작하려고 합니다.",2년 전(수정됨)
27,  kit su,그렇게 힘든 운동들도 아닌데 따라하고 나니까 확실히 목 아픈게 많이 사라졌어요,1년 전
28,  요와요와,와 다른동작은 안해보고 마지막 수건으로 하는거 따라하면서 팔에 힘을 최대한 빼라길래 대체 이게 뭔 효과가 있나 싶었는데 세트 다 따라하고 수건 치우는 순간...오!!! 하게됨 겁나 시원하네요 별 힘도 안들였는데 ㅠ 맬맬 해야겟음 감사함다!!!,2년 전
29,  나도래모나,두통 이 진짜 심했는데 이틀에한번씩해주고 난뒤로 두통이 사라졌어요 진짜 너무 마법같은영상 요즘은 그냥 꾸준히 해주고있어요 너무 감사해요,1년 전
30,  루아녹스,빡빡이아저씨. 예전에 올렸던 체형교정운동들 3개월째 따라하고 있어요. 운동도 겸허고있구요. 덕분에 체격도 좋아지고 잃었던 자존감도 찾고 삶이 달라졌습니다. 감사해요,3년 전
