,아이디,댓글 내용,댓글 시간
0,  PAIN LAB,"거북목에 의한 체형변화는 이로 인한 통증을 불러올 뿐 아니라, 생활 전반에도 영향을 미칩니다. 이 점을 인식하시고 고치려고 노력해보세요!",4년 전
1,  MisoJane미소제인,간단하고 효율적인 방법! 감사합니다,2년 전
2,  이경희,선생님 많은 도움이 됐습니다 감사합니다 ^^,4년 전
3,  caxiah,거북목때문에 뒷목이랑 어깨 날개쪽에 통증이 심해서 한의원이나 정형외과 물리치료만 2년정도 받고 있는데 통 호전이 안되더라구요.. 아예 근본적인 문제를 바로잡아야 할 것 같은데 이 영상 보고 열심히 따라해서 거북목 교정 성공하고 싶네요..!,2년 전
4,  EM House,의식하면 바로 앉으려 노력하는데..시간 지나면 어느새 거북목이 쑥~ㅠㅠ벽에 대고 자세교정 연습 수시로 해봐야겠습니다. 감사합니다^^,2년 전
5,  박봉애,거북목 일자목 운동방법 소개 강의 잘 들었습니다.평상시 관리가 중요하며 운동요법을 알게되었습니다.감사합니다.,1개월 전
6,  헤어이탈리아,거북목때문에 스트레스가 이만저만 아닙니다병원 치료도 그때뿐 잘안되더라구요 . .ㅠ 영상보고 꾸준히 따라해봐야겠어요 . .감사합니다!!^^,2년 전
7,  김이이,선생님 고맙습니다,2년 전
8,  윤공주,뒷목이 뻐근할때까지 억지로 아파도 투턱을만들면서 스트레칭을 햇엇는데 되려 안좋은건지는 처음 알앗네요ㅜㅜ감사합니다,2년 전
9,  성이름,뒷목뿐만 아니라 등 윗부분??까지 아픈 어마어마한 일자목입니다 ㅋㅋㅋㅠ 꾸준히 실천하겠습니다..ㅎㅎ,1년 전
10,  イチゴ.ゲーム🍓ICHIGOgames,감사합니다 선생님 ^^ 동영상 잘 봤어요,2년 전
11,  김하은,시원해서 놀랐습니다. 정말 감사합니다,2년 전
12,  DE,감사합니다 선생님.,1년 전
13,  donghyeoni75,하루에 얼마나해야되요?또턱당기면 목통증 있습니다.꾸준히 교정되나여?,3년 전
14,  KIM미남,이거 도움이 많이 되네요,2년 전
15,  새라뭉,제 거북목인생이 영상하나로 변화할 수 있을거 같습니다 더열심히 노력해서 긍정적인 변화를 가지고 오겠습니다 영상 감사합니다,2년 전
16,  bu.k,원장님설명 짱이시네요ㆍ,8개월 전
17,  핸크드림,너무 유용하네요 구독하고 가용,2년 전
18,  김기창,설명너무 좋네요 감사합니다외후두융기를 상방으로 올리라는 설명이 너무 김사합니다뒷통수 끈이딜려 당겨지는느낌은 어떤느낌인지 몰랐는데 무슨느낌인지 알았네요,4년 전
19,  매일사는여자 _가비 Everyday _Gabby,생각날 때마다 벽에 붙어서 자세 교정 연습해봐야겠어요!!,2년 전
20,  zuminnnn,컴퓨터만 하다보니 요즘 내내 고민했던부분인데. 지금부터 따라해봐야겠어요알고리즘 칭찬해...,2년 전
21,  채민아,일자목 거북목 영상중에 가장 도움됨. 이런건 돈주고들어도되겟다 감사합니다~,2년 전
22,  moosekiss,오 감사합니다. 진짜 괜찮은거 같아요,2년 전
