,아이디,댓글 내용,댓글 시간
0,  venus Y,"선생님,  이 운동을 하니 상부 흉추(견갑골)쪽으로 뻐근하니 운동이 되는 것 같습니다. 영상대로 따라하니 배를 집어넣고 둔근에 힘이들어가며 무엇보다 상부등(upper back)에 자극이 많이옵니다. 정상적인 정렬이라면 평상시 제대로 서있을 때 이런 느낌을 유지하는 게  맞는 것이지요? 예전엔 의식하지 않고 가만히 서있어도 복부와 엉덩이에 저절로 힘이 들어갔는데 지금은 그런 느낌이 사라졌습니다.운동시에 정렬느낌을 인지하여 평소에도 이런 느낌으로 유지하면 되는 것인지요?",1년 전
1,  아현,헐 저 진짜 평소에 편두통 엄청 심하고 며칠 전부터는 목 오른쪽이 너무 아팠는데 이거 하고 나니까 바로 괜찮아졌어요ㅜㅜㅜ 너무 감사합니다ㅠㅠ,2년 전
2,  김주혁,역c자 목을 가지고 있는데 목문제 때문인지 날개뼈 통증까지 동반해서 고생중인데 이 운동하니 많이 시원하네요. ㅋㅋ좋은 방법 알려주셔서 감사합니다.,2년 전(수정됨)
3,  Begin Again 강남세란의원 (Seran Clinic),"5~10초, 20회 / 턱은 정면을 보고 살짝 당기는 정도로 유지! 통증이 있으면 무리하지 않는 선에서 진행해주세욥!아래 운동들과 함께 해준다면 더욱더 바르고 곧은! 아름답고 건강한 몸으로 변화되실 수 있습니다! 다들 화이팅!!!어깨를 쉽게 펴주는 스트레칭, 말린 어깨 굽은등 교정 효과 즉방-일자목 운동 콤비 https://youtu.be/ndWUP9NMkKs 구부정한 자세를 만드는 말린 어깨 바르게 펴기https://youtu.be/HuDs_iratFU  진짜 시원한 일자목, 거북목, 굽은등, 말린 어깨 필수운동https://youtu.be/MnIBNlZLeZA",2년 전(수정됨)
4,  현,거북목때문에 여러 영상들 찾아봐도 목에 부담이 갈 것 같아서 걱정이었는데 효과 바로 느껴져요 너무 감사합니다! 매일 해야겠어요,3년 전
5,  땡땡땡,정말 감사합니다 ㅠㅠ 거북이 옆에 있어도 구별을 못할 정도로 거북목이 심했는데 한번 하니깐 너무 너무 시원하고 펴진 느낌이에요 ㅜㅜ 무료로 꿀팁을 알아가다니... 세상에... 복받으세요 ㅠㅠ 적게 일하고 많이 버세요 흑흑,2년 전
6,  이순욱,이거 하루 10분씩 한달했는데 정말 많이 좋아졌어요  거의 모든 유튜부에 있는 거북목윤동 다해봤는데 이게 효과 제일 좋았습니다,2년 전
7,  xxx vvv,최고임!!! 이 운동 한달 넘게 꾸준히 했는데요 통증 엄청 감소했습니다. 감사해요^^!,1개월 전
8,  뽀니,와 진짜 신기하네요. 2번 했는데 딱 펴지는 느낌이  나요. 너무 간단하고 좋아요. 수시로 해봐야겠어요.,4개월 전
9,  포스쳐갤러리 자세전문가PG,"영상 잘 보았습니다.추가로경장근 운동과 흉쇄유돌근 마사지, 상부승모근, 견갑거근 마사지, 스트레칭도 도움이 많이 됩니다^^",2년 전
10,  mirosey,간단하고 효과 좋습니다. 일상 틈틈이 할 수 있는 운동이어서 더욱 좋습니다.,4년 전(수정됨)
11,  선생님백,"다른 치료사들은 자기지식 10분짜리 영상으로 포장해서 파는데, 이분은 쉽게 알려주시네 아직 효과가 있는지 모르지만 매일 해볼게요.감사합니다.",3년 전
12,  Pp Llli,따라할때는 별 느낌 없었는데 진짜로 목이 펴졌어요..감사합니다.다른영상들은 다 길어서 보다 말았는데 여긴 짧고 간결해서 좋네요ㅋㄱ,2년 전
13,  이파란,진짜 거북목 운동 이것저것 해봤는데 간단한 동작이지만 이것만큼 효과 좋은건 없는거같아요 ! 좋은 영상 진짜 감사합니다,1년 전
14,  Ko Am,우리신랑이 거북목때문인지 엄청 목이랑 어깨가 아팠었는데  이거한번 따라하고 좋아졌어요 완전 놀랍네요  이영상이 효과가젤좋아요,2년 전
15,  김혜원,좋은 내용 올려주셔서 감사드립니다~,3년 전
16,  지원,오늘 한 번 해봤는데 딱히 시원한 느낌은 없었지만 하고 바로 거울 보니까 목이랑 어깨가 전보다 펴져있더라구요! 앞으로 꾸준히 할게요!11/11 ,1년 전
17,  Santosha,꾸준히 해봐야겠어요 영상 감사드립니다!!! 그런데 자세 취할 때 척추에 힘이 들어가는 것 같은데 뼈에는 무리가 없을까요? 조금 걱정이네요 특히 날개뼈 사이의 척추뼈에 힘이 많이 가는 것 같아요 제가 동작을 잘못하고 있는 건가요?,3년 전
18,  감귤,도수치료 받는데 목 뒷근육이 약해졌다고 해서 어떻게 키워야 할지 몰랐는데 이렇게 알려주셔서 감사합니다,3년 전
19,  끄끠,헐 대박신기해... 재수생이라 책상앞에 앉아서 공부하다보면 목 쭈우우욱 계속 나와서 운동 겸 찾아보고 방금 했는데 진짜 쏙들어감....,3년 전
20,  아진짜요,오오오오오오오 진짜 대박 목이 빳빳해졌어요 오오 신기해... 오오 아무리 목돌리고 스트레칭을 해도 목이 아프더니 이거 한번 하니까 완전 목이 빡 섰어요..... 오오 인체의 신비....!,3년 전
21,  정희윤,좋은정보 감사합니다!,1년 전
22,  진구의 헐리웃 생존기Hollywood Survival,와~~ 진짜 효과 바로 느껴지네요. 굿~~~,2년 전
23,  강다희,와 대박!!!!!!!!!!!!!!!!이 운동 진짜 대박이에요ㅠㅠㅠㅠㅠㅠㅠㅠ,2년 전
24,  리얼챔프퍼거슨,"거북목 관련 유튜브 영상들은 차고 넘치는데, 이렇게 짧고 포인트로 알려주는 건 진짜 한 개도 없어서 열받던 차였는데 좋은 영상 감사합니다",1년 전
