,아이디,댓글 내용,댓글 시간
0,  요가소년,"[공지] 요가소년 유튜브 홈화면&재생목록 업데이트기존의 ‘시간별 요가’와 ‘테마별 요가’는 수정 보완하였고, 오랜 고민 끝에 ‘난이도별 요가’를 구분하여 새로이 마련하였어요.모쪼록 지금 여러분에게 딱 필요한 요가 수련 안내 영상을 만나셨으면 합니다요가소년 추천 영상 바로가기‣ 난이도별 요가 | https://bit.ly/3sqtPgN‣ 시간별 요가 | https://bit.ly/3D4hVOL‣ 테마별 요가 | https://bit.ly/3gD8JJA",1개월 전
1,  krlch89,어깨와 목이 너무 뻐근했었는데 덕분에 시원해졌습니다. 편안하고 안정감있게 리드해주시는 영상 늘 감사하고 즐거웠습니다!️,2년 전
2,  Hye yeoni_9292,"진짜 요 시퀀스 하고 자면, 아침마다 있었던 승모근 등쪽통증이 훨씬 편안해져있어요 +_+ 감사합니다 ",2년 전
3,  a A,2021년 목표가 평일에 요가 및 스트레칭 하기인데 요가소녀님의 다양한 영상과 함께  해보려구요~! 이 영상은 특히 어깨가 약한 저에게 도움이 될 것 같아요! 감사합니다 ㅎㅎ,1년 전
4,  신호선,디스크 때문인지 뒷목부터 허리까지 찌릿찌릿 통증이 있었는데 이 영상보고 꾸준히 스트레칭 하니까 점점 나아지고 있어요! 감사합니다️,3년 전
5,  오늘하루맑음,이 수련 정말 좋습니다!! 10번 넘게 따라했는데 할 때마다 시원해요~ 감사합니다:D,1년 전(수정됨)
6,  이달해,공부한다고 하루종일 책 내려다 보고 있느라 목 아프고 필압도 강해서 어깨가 많이 뭉쳤있었는데 밤에 이거 해주니 너어무 시원하고 좋아요!아침요가도 가끔 따라 하는데 요가소년님 목소리도 나긋나긋 편안해서 잘 따라 가고 있습니다ㅎㅎ 늘 감사해요️,8개월 전
7,  이마을,"회사시간에 맞질 않아 요가하러 다닐 수가 없었는데, 요가소년님 강의는 진짜 요가선생님께 직접 배우는 느낌의 듭니다. 요가 혼자서 호흡 잘못하면서  막 하다가 담걸린 적도 있었는데, 진심 감사합니다. 아~ 시원해요",4년 전
8,  으아으아,"6/6 수련완료! 6월 초에 허리를 삐끗해서 6월 수련 달력은 잠시 쉬어가며 목, 허리, 골반 관련 요가를 하기로 했습니다 :)감사합니다 선생님!",1년 전
9,  seong,어깨 결려서 힘들었는데 아침부터 따라하니까 많이 완화되네요 요가의 매력에 다시금 빠지는 중입니당ㅎㅎ,2년 전
10,  boony Lee,어깨가 너무 아파서 침도 맞고 스트레칭 동영상 찾아보던 중에 우연히 알게 되었습니다. 따라하기도 쉽고 무엇보다 어깨통증이 사라지는 것 같아서 너무 좋네요. 감사합니다.^^,3년 전
11,  Sujin Lee,오늘도 하루 마무리를 요가소년과 함께 했습니다 목뒤쪽이 항상 뻐근한데 늦은 밤이지만 짧은 시간 부담없이 차근차근 따라하면 뒷목덜미가 훨씬 가벼워짐을 느낄수 있어요! 오늘도 요가소년 최고최고!!,2년 전
12,  서랍,아침에 따라하는데 목소리도 숨소리도 편안해서 같이 요가하면서 명상하는 기분이에요. 아침을 상쾌하게 시작할 수 있어서 너무 좋아요.,2년 전
13,  Yuri Baek,"진짜 이거 너무 좋아요... ㅜ 요즘 어깨 진짜아파서 이거 시간되는날에는 꼭하려고 하는데요, 통증이 조금씩 완화되는 느낌이 들어서 좋네요 ! 감사합니다 요가소년님 :)",3년 전
14,  희희,자기전에 매일 보고 따라하는중입니다! 덕분에 자세가 많이 좋아졌어요 감사합니다 :),2년 전
15,  고닻별,요즘 몸뚱이가 찌뿌둥하고 뻣뻣했는데 아침에 간단히 요가수련하고 하루를 시작하니 너무 상쾌하고 몸도 부드러워요 감사합니다 :),1년 전
16,  장민아,"너무 아팠는데 효과 진짜 좋아요,,,감사합니다",1개월 전
17,  Kim Sophia,따라하고 어깨 통증이 사라져서 정말 많이 도움 받고 있습니다. 감사합니다!!,2년 전
18,  H J,며칠 너무 무리해서 했더니 허리에 통증이 와서 허리통증완화요가 하고 바로 이어져 나오는 이 영상까지 마쳤네요. 정신이 맑아지는 이 느낌 너무 좋습니다ㅠㅠ 오늘도 감사합니다!,3년 전
19,  붕꿀이,목 어깨 통증 있으신 분들 이 영상 보고 꼭 따라하세요!!!요가소년님 q&a 영상에도 댓글 달았었지만 저는 1년 동안 목 어깨 통증으로 진짜 고생했었는데 이 영상 보고 필라테스 해도 안 낫던 통증이 없어졌습니다이 영상 스트레칭 꾸준히 하세요꾸준히가 중요합니다!!,3년 전
20,  소이라떼,진짜 너무 시원해요ㅠㅠㅠㅠ 감사합니다️️️,1년 전
21,  오늘도 소담하개,요가소년 최고!ㅎㅎ 요즘 요가클래스도 못가고 집에서 몸이 뻣뻣해져가는데.. 조용한 목소리에 자세 제대로 잡을수 있게 도와주는 멘트까지! 완전 취저예요~ 오래오래 해주셔요,2년 전
22,  강민아,와 진짜... ㅜㅜ 오늘 몇 년만에 수영해서 어깨 뭉치고 아파서 잠도 못 자고 있었는데 이거 하니까 바로 풀렸어요 진짜 시원해요! 몸 숙이는 자세에서 핸드폰 보고 하기가 힘든데 영상 안 봐도 설명이 너무 이해하기 쉽고 포인트가 딱딱 잡혀서 또 자세 잡기도 좋구요... 정말 요가소년님 당신은 그저 빛... 진짜 감사합니다,2년 전
23,  겨울아이,매일 아침에 하는 데 상쾌하게 아침을 시작할 수 있어서 좋아요  감사합니다︎,2년 전
24,  최은희,요즘 3차 코로나주사 맞고 어깨 목 통증으로 진통제 먹으며 20일쯤 고생했어요우연히 보게 된 요가쌤 따라하면서 삼일됐는데   넘 좋아졌어요 예전에 요가 다니던거 생각도 나고 열심히 따라합니다고맙다는말 전합니다고맙습니다 ~♡,10개월 전
25,  곰이다,지금 공시생인데 요가소년님 요가로 하루시작 마무리함께하고있습니다. 너무 좋아요 고맙습니다. 건강하세요!,4년 전
26,  요요,"요가 소년 덕에 요가 시작해서 지금은 요가원 다니면서 매일 요가 하고 있는 요즘입니다. 또, 요가 소년 영상으로 꾸준히 매트 위에 올라서서 수련하는 중 입니다.  몸도 마음도 건강해 지는 걸 느낍니다. 감사해요 !",2년 전
27,  유하영,따라하기가 넘 좋아요!! 숨 어떻게 쉬어야하는지도 알려주시구 좋은 영상 감사합니다 ,1년 전
28,  푸우,너무너무 감사드려요 ㅠㅠ 요가돈내고 다닌적있는데 집에서 유튜브로 요가를 배우다니 .. 그것도 최고의 요가선생님이세요 !!!! 잘 따라하면서 아픈거 극복중입니다 감사드려용 !!!,3년 전
29,  JP,가슴을 열어 줍니다. 목과 귀는 멀어 집니다. 꼬리뼈는 바닥 깊이 심어줍니다 등등 요가의 중요한 포인트들을 계속 말씀해 주셔서 넘 좋아요! 몇주전에 요가를 스튜디오 가서 처음 배우기 시작한 사람 입니다 :) 유투브로 요가 소년님 알게 되어 넘 반가워요! 감사하고 응원 드립니다,2년 전
30,  여유롭고 평온한_사랑,너무 감사합니다! 요가소년으로 요가를 꾸준히 하고 있습니다,2년 전
31,  ssso_heeeeS2,일을 다시 시작해서 목과 날개뼈 부근이 매우 아팠는데 너무 은혜로운 수련영상 감사합니다매우 만족해요,4년 전
32,  거지같은사회생활,어깨 너무 아파서 따라해봤는데 정말 시원하네요감사합니다,1년 전
33,  서영 주,8/26 출석체크! 어제 운동할 때 어깨가 많이 뭉쳐서 아침에 이 영상으로 수련했습니다 :) 이렇게 좋은 동작들을 따라할 수 있음에 감사합니다!!!!!!,1년 전
34,  시리어스염 운동치료사,"꾸준한 수련이 영상에 충분히 녹아나네요, 발성에도 요기의 에너지가 느껴져 아주 편안합니다. 늘 요가를 수련하는 사람으로서 존경과 관심 그리고 오늘 하루 따뜻한 마무리 하게 되었습니다. 감사합니다",3년 전
35,  벨라뽀 bbobella,"요가원에 오래 다니다 이사하면서 쉰지 몇년이 되었어요. 그동안 혼자 방에서 이런 저런 영상 찾아보며 연습을 했었는데, 선생님 영상을 보고 따라하니 요가원 현장에 있는듯한 기분에 정말 오랜만에 수련하는 기분이 들어서 편안하고 좋았어요. 목소리가 정말 따뜻하시네요. 좋은 영상 올려주셔서 감사합니다. 앞으로도 수련하러 자주 올게요! :)",2년 전
36,  Romi Jung,15분 했는데도 통증이 많이 없어졌네요 ㅠ !! 길지도 않아서 초보자도 따라하기 쉬운것 같아요. 좋은 영상 감사합니다!,11개월 전
37,  장윤정,"영상을 보고 따라하니 확실히 목,어깨 근육이 시원해지고 가벼워진것같아요. 감사합니다 :-)",4년 전
38,  그러다갑자기뿍,오랜만에 요가 하는데도 큰 힘 안 들고 목이랑 어깨 통증을 조금 풀 수 있었네요. 늘 감사합니다!,4개월 전
39,  BetterLifeSelf,"정말 완벽한 시퀀스네요...무리하지 않고 적당한  시간동안 하루동안 뭉친 목, 어깨 풀기 성공했습니다. 감사합니다. 요가소년~",2년 전
40,  HYE,와 진짜 좋네요! 요가는 진짜 잘 모르는데 어깨 통증 너무 심해서 찾아보게 되었는데잘 모르는데도 영상 눈으로 보지 않고 동작 하면서 소리로만 들어도 다 이해될정도로설명이 너무 와닿게 잘 해주셔서 동작 전부 따라할수 있었어요! 앞으로 영상 많이 찾아볼것 같네용!,3년 전
41,  햇님,요즘 홈트를 시작하고나서 지속적인 오른쪽 승모근이 뭉쳐서 고생했는데 이 동작 따라하고나니까 한겹 벗은기분 드네요 ㅎㅎ 시원해요! 특히 팔을 옆으로 두고 다리를 뒤로 넘기는 동착? 거기서 다 풀리는 기분 들었어용 ㅠㅠ 감사합니다!,1년 전
42,  shine sun__,"정말 너무좋아요!! 목소리도 편안하고 , 따라하고나니 통증이 많이 사라져서 좋아요",3년 전
43,  dhoye g,일자목과 어깨뭉침으로 두통까지 심하게 와서 정형외과 한의원 다 다녀봤지만 효과 못 봤는데 이 영상으로 꾸준히 풀어주니 훨씬 좋아졌어요. 진심으로 감사합니다 ㅠㅠ,1년 전
44,  pattern art,정말 시원해요 ~ 잠이 안와서 요가하고 자려고 영상봤는데 도움 많이 되요. 감사합니다:),2년 전
45,  책읽는 댕댕이 엄마,너무 좋아요  허리통증도 다른 요가영상보다 시원하게 잘 풀려요  목소리도 마음을 편안하게 하네용~^^,1년 전
46,  루테인과비타민,항상 승모근이 아파서 고민이였는데너무나 시원하네요 ㅜ 다른영상도 꾸준히 보면서 수련배우겠습니다 좋은 영상 감사합니다:),3년 전
47,  Sieun 싀은,따라하기 너무 좋아요 ㅠㅠ 편안한 목소리 + 집어주시는 포인트들 다 너무 좋네요! 감사해요~~~,2년 전
48,  magnolia,대략 2주정도 쉬다가 2일전 부터 다시 시작 했어요! 요가소년으로 요가한지 90일 정도 되었어요! 오늘도 몸을 잘 돌보며 살겠습니다!,2년 전
49,  달방앗간 : Dalbangatgan,"약 일년 전부터 ㅋㅋㅋ 이 영상에 매일 조회수 1을 늘리고 있습니다. 그리고 매일 아침 감사노트에  ""요가소년""이라 쓰고 있는 것도 고백 ㅎㅎㅎ고마운 마음을 표현하고 싶어서 이렇게 댓글 남깁니다.늘 고맙습니다!!",2년 전(수정됨)
