,아이디,댓글 내용,댓글 시간
0,  ㅣㅣㅣㅣ,한달 후기* 귀차니즘 말기라 하루에 한번씩만 했고 식이조절 하나도 안하고 먹고 싶은거 다 먹으면서 함(전 먹보라 식이조절은 꿈도 못꿨지만 하면 당연히 훠얼씬 효과 좋겠죠???)1) 일단 말그대로 승모근이 엄청 많이 사라짐거의 직각 어깨가 됨 라인이 진짜 예뻐짐2) 쇄골이 생김... 예쁘게 도드라져보임 워후!3) 얼굴이 커보임...ㅋㅋㄱㅋ 어깨가 전체적으로 전보다 작아지고 여리여리해지니까 얼굴이 커보임ㅋㄱㄱㅋ 그래서 얼굴 작아지는 운동도 병행했더니 효과 대박 꼭 얼굴 운동도 병행하세요 쩔어요4) 뭔가 턱살도 줄어든 느낌..? 리프팅 된거같음얼굴 운동 같이 해서 그런가5) 무엇보다 자신감이 쭉쭉 올라감 이번 여름에 오프숄더 입을 생각하니까 기분이 겁나 좋음매일매일하는게 귀찮고 힘들겠지만 그 잠깐의 귀찮음을 참으면 엄청난 행복이 뒤따라옵니다ㅠ땅끄부부님 감사해요 계신 방향으로 절올립니다,1년 전(수정됨)
1,  gh0621 _,공부하다가 어깨 아프고 승모근 때문에 신경 쓰였는데 5분동안 따라해보니 너무 시원한걸요..! 시간 날때마다 가볍게 스트레칭 가능해서 더 좋고요!!,9개월 전
2,  행복한71억,11월 승모근 운동 기록!!생각보다 많이 못해서 아쉽 ㅠㅠ 12월은 꾸준히 하기!! 00:521주차11/1  두달 짬짬히 했는데 미세하게 어깨라인 정리된듯해서 꾸준히 하려고요2주차11/9 11/10 3주차11/17 4주차 11/22 5주차11/30 ,1개월 전(수정됨)
3,  Taniya Ghosh,"I did this after following two of your arm workouts. It's very relaxing! My arms, neck, and shoulders were completely relaxed after this. :D",11개월 전
4,  바니박BanniePark,"요즘 땅끄부부님 스트레칭으로 아침을 시작하는데 이 좋은 영상을 지금 발견했다니…!!!! 앉아서 일하는 직업이라 목과 어깨가 늘 아픈데 이 루틴도 매일 아침, 자기 전 해야겠어요 방금 한 번 해봤는데 진짜 너무 개운하네요! 감사합니다",1년 전
5,  밍지,이 운동 아침 저녁으로 한지 4일차 밖에 안됐는데 어깨 통증도 눈에 띄게 줄어들고 근육 뭉친것도 많이 풀린것 같아요! 너무 감사해요 ㅜㅜ,1년 전
6,  바니박BanniePark,이제 매일 매일 안하면 찝찝한 승모근 스트레칭 자기 전에 너무 상쾌하게 풀어주고 잠들 수 있어서 좋아요,9개월 전
7,  이주영,"평소 올바른 자세를 하려고 노력하는 편인데도공부하는 자세가 시간이 가면서 틀어지고 핸드폰,노트북 사용도 꽤 있다보니 목, 어깨 부분이  잘 뭉치는데 필요한 영상을 올려주셔서 너무 감사드려요 :)방금 상체운동을 하고 바로 와서인지 더욱 효과만점인 것 같아요ㅎㅎ땅끄부부님께서 올려주신 좋은 영상들이 많아서 지금 하고 있는 운동 말고도더 하고 싶은데,, 개강하고나서 일정이 바빠지니 자는시간도 부족해지더라구요 ㅠㅠ비록 운동을 많이하는 것은 아니지만 하고 있는 것이라도 꾸준히 해보려고 열심히 노력해볼게용!!  운동이 어렵다면 취침 전 스트레칭으로 건강한 몸 만들어볼게욥!!오프닝이 올려주실 때마다 달라지니 ""이번엔 어떻게 하실까?"" 호기심 반 기대 반으로 들어오게 되는 것 같아요~ ㅎㅎ어렵지 않고 즐겁고 유익한 영상 올려주셔서 정말 감사합니다!!(이번 영상 오드리님 너무 귀여우셔서 얼굴에서 미소가 떠나지 않고 계속 운동했네용♡)",4년 전(수정됨)
8,  성은,진짜 효과 짱이에요승모근이 슬슬 사라지는 것도 기분 좋은데어깨가 가벼워진 느낌이고 영상에서 나오는 스트레칭이 너무 시원해서 너무 좋아요오ㅠㅠㅠㅠㅠ,1년 전
9,  홍진영,효과가 너무 좋아요 어깨랑 목아픈게 싹 없어졌습니당 !!정말 감사합니다 ️,1년 전
10,  행복한71억,12월 기록!! 00:5212/1 ,4시간 전
11,  qwer,"2km걷기 , 엉밑살운동 , 마무리로 승모근했어요~~~딱  좋네요^^안힘든거 같은데 땀은 또 쭈욱 납니다땅끄님들 운동은 종류가 많아서 다양하게 조합해서 하다보면 지루할 틈이 없어서 너무나 좋습니다~~~♡오늘도 감사합니대이",1년 전
12,  그적그재,상체 운동 후에 하러 왔는데 어깨가 확실히 풀리는 게 느껴져요. 여러 유튜버들의 홈트 영상을 보고 있지만 땅끄부부 영상은 너무 좋아서 자주 찾아오게 됩니다:),10개월 전
13,  gajami,그냥 운동으로도 너무 좋은데 운동 후에 하는 스트레칭으로도 너무 좋아요!!!! 풀어지는 느낌,1년 전
14,  YoonA Lee,제가 일자목 때문에 목이랑 어깨가 아파서 도수치료도 받는데 오늘 영상 처음 해 봤는데 진짜 너무 너무 시원해요!! 목 움직이는것도 도수 끝났을 때 느낌 처럼 근육이 풀린느낌 ㅎㅎㅎㅎ 너무 좋네요 잘 따라 하겠습니다 !!...2021/11/16 1일차 성공,1년 전(수정됨)
15,  찍어먹는너구리,오른쪽으로 고개를 돌리면 목 뒤에 통증이 와서 얼굴을 찌푸렸었는데 땅끄부부님이 올려주신 어깨와 하체 스트레칭을 병행하니 통증이 없어졌어요 ㅠㅠ좋은 영상 감사합니다! 여러가지 영상을 보며 따라하고 있는데 몸이 훨씬 가벼워지고 체력도 붙고 삶의 질이 올라갔어요~!! 이해하기도 너무 쉽고 어려웠던 운동이 편해지고 좋아지고 있어요 아직 꾸준히 하기는 힘들지만 ㅎㅎㅎㅎ건강하시고 좋은 일만 가득하세요 ,1년 전
16,  흑임자초코,긴장성 두통 때문에 신경과 갔었는데 거기서 의사선생님이 알려주신 스트레칭이랑 비슷해요!!스트레칭 동작이 기억 안났는데 이 영상 보면서 시간 날 때마다 해줘야겠어요!! 감사합니다,1년 전
17,  초희의 choice,안녕하세요! 승모근 스트레칭을 하루에 3번정도는 꾸준히 해왔었어요. 해온지 2주정도 된 것 같은데 정말 어깨가 이뻐지는게 티가 나더라구요. 효과 최고에요!!! 감사합니다 땅끄부부님 앞으로도 꾸준히 열심히 하겠습니다! 항상 감사합니다,1년 전
18,  소윤,이 운동은 진짜 학생분들한테 완전 추천해요!!저도 학생인데 항상 공부하느라 책상 앞에 앉아서 장시간 고개를 숙이고 있다보니까 승모근이 엄청 뭉쳐서 머리가 너무 아프더라구요 이게 승모근이랑 어깨쪽이 뭉치면 신경을 눌러서 두통이 생기는거라 저도 맨날 두통 달고 살았는데 이거 하고나서 정말 많이 줄었어요! 뭉친 근육들을 풀어주니까 아프지도 않고 승모근이 들어가서 어깨 라인도 예뻐졌어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자기전에 하루를 마무리하는 느낌으로 하고잤는데 정말 학생분들께 너무너무 추천하고싶은 운동이에요!! 특히 고개를 양 옆으로 지그시 눌러주는 동작 이거 효과 짱이에요!!! 꼭 학생분들이 아니더라도 어깨랑 승모근이 뭉치는분들 이때문에 두통있으신 분들 모두에게 추천해요️️,11개월 전(수정됨)
19,  치피,아 어제부터 하루 2번씩 하는데 너무 시원해옄ㅋㅋㅋ 이거 한번하고 자리 앉으면 일이 더 잘됨. 새벽에 출근하고 저녁늦게 퇴근하면서 피곤하다고 매일 웅크려만 있었는데 스트레칭 하니까 활력이 생기는거 같아요 어깨도 덜아프고!땅끄부부님 오늘 하루도 즐겁게 보내세요 ~~♡,2년 전(수정됨)
20,  Rachel,일지는 체크 안하고 있지만 매일매일 들어와서승모근 풀어주니까 너무 시원해요️,1년 전
21,  김호두,평소에 앉아서 생활해서 그런지 어깨가 말려있고 통증이 있었는데 영상따라하니까 엄청 시원하고 좋아요!!동작도 간편해서 만보걷기한 후에 승모근운동 하려구요 ㅎㅎ,1년 전
22,  두얼간이,진짜 다리 얇아지기 운동 보고 아 아거도 힘들겠구나 했는데 와 진짜 하나도 안힘들고 아침 점심 저녁 이렇게 하면 너무 시원할 것 같아요 ㅠㅠ 감사합니다!,1년 전
23,  두둥탁,진짜 한 2주 넘게 이 동작 꾸준히 틈날 때마다 했는데 ㄹㅇ 효과가 미쳤어요,1년 전
24,  밤식빵,어깨통증때문에 필라테스 승모근 보톡스 한의원 등등 다 해봤지만 일시적이었는데 꾸준히 이 스트레칭 해주니까 어깨가 너무 편안해요 ㅠㅠ 자기전에 꼭 하고 자요 감사합니다!,8개월 전
25,  김민아,몇개월 따라했는데 무의식적으로 거울을 보면 거북목도 없어지고 어깨도 펴져있어서 넘 뿌듯해용ㅠㅠㅠ 감사합니다( ˘ ³˘)ㅠㅠㅠ,2년 전
26,  하가은,ㄹㅇ 20일동안했습니다 그중에 알바를 해서 생기기도했지만 그걸감안하고도 꾸준히해주니깐 라인이 살은게 느껴졌습니다 전 평생하려구요 느낌도 상쾌해지고 정말 좋았어요 감사합니다 !!!,1년 전
27,  먗,2주동안 시간날때마다 틈틈히했는데 어께가 조금 넓어진느낌이에요! 굽어있던게 펴진 것같은데 파묻혀있던 어께끝으로 이어지는 라인도 생겼어요ㅎㅎ 아직 승모근은 다 풀리지는 않았지만 계속 꾸준히하면 금방사라질것같아요!! (저는 폼롤러 운동도 따로하긴했어요) 영상올려주셔서 진짜 감사합니다ㅠㅠㅠ,1년 전(수정됨)
28,  Skfkr,상체 운동 후 항상 같이 해주고 있어요!! 좋은 영상 감사합니다 :),10개월 전
29,  채솔이,"진짜 이 채널을 알게되서 너무 다행이에요 ㅠㅠ제가 골반도 틀어지고 거북목에다가 승모근 까지 있어서 한의원  추나요법 받으면서 치료 했었는데 다시 원상태로 돌아와서 ,, 다시 다녀야 하나 고민했는데 이 영상 보고서 오늘부터 열심히 운동 해야겠어요 ! 저처럼 의지 약한 사람도 이 채널보면서 많은 힘을 얻고 열심히 하고 있어요!",1년 전
30,  김웅앵,"3일 후기- 홈트는 지겨워해서 링피트 하루에 최소 30분- 요 영상이랑 얼굴 붓기까지 같이있는거 했어요링피트 하고 난 후 이거랑 붓기영상 한번씩 세트로 했는데 진짜 짧은 시간이지만 많이 좋아졌어요 !! 거의 .. 승모근때문에 U넥을 잘 못입었는데 경사면이 많이 갈렸습니다!!! 언덕이 있는 것 같은 제 승모근의 은인 입니다.. 여러분 진짜 휴가가실 때 끈원피스 입고싶으시거나 오프숄더 입으실 분들, 근데 승모근이 좀 걱정인데 며칠 안남았다 !! 하시면 틈틈히 이거 해주세요.. 진짜 최고..",4개월 전
