,아이디,댓글 내용,댓글 시간
0,  Juno,더블류를 외쳐야 하는줄 알고 계속 따라했네요..,3년 전
1,  정블럭,1:06 가슴근육스트레칭 20초 1:55 상지근막 신경 20초 3세트2:57 관절 가동술 5개씩 4세트4:00 흉추스트레칭 20초씩 3세트5:00 w운동 10개씩 4세트5:50 스탠딩 w운동 10개씩 4세트,3일 전
2,  음음,근데 진짜 내가 얼마나 구부러진 사람인지 알게되는 듯 허리가 뜨지 않도록 하라는데 절대 벽에 허리가 안붙여짐 ㅋㅋㅋㅋㅋㅋㅋㅋ,3년 전
3,  e versac,어깨가 심각하게 안으로 굽어서 시작하고 이제 3일차인데..소흉근이 근육통온것처럼 씨게땡겨서 스트레칭도 못하겠는데 정상인가요 ㅜㅜ?,2년 전
4,  Friedrich Bahk,근데 어깨롤렸다가 내리는 건 어떤 느낌이 어디에서 느껴져야해여? 잘 감리 안오네여,4년 전
5,  경민규,,2년 전
6,  ᄀᄅᄋ,골반 비틀어 진거 교정도 가르쳐주세요,4년 전
7,  Yoi,나 역c자 목이라서 목교정 스트레칭 보다가 라운드숄더 있으면 같이 해줘야 한대서 이거 보러 왔는데 목교정 스트레칭보다 이게 더 어렵다,2년 전
8,  Heesun Kwan,말투 너무 웃김 ㅋㅋㅋㅋ 왠지 오래된 티비시리즈 성우 같아요,3년 전
9,  소라,이거 허리디스크 환자가 해도 되나요?,2년 전
10,  mustard gim,1:02 모서리 스트레칭 20초 1:55 상지근막과 신경 스트레칭 20초씩 3세트2:54  관절가동술 5개씩 4세트 3:56 흉추 스트레칭 20초씩 3세트4:50 W운동 10개씩 4세트 5:48 스탠딩 W운동 10개씩 4세트틈틈이 해보려고 타임라인 남겨봅니다... 좋은 영상 감사합니다!ㅠㅠ,4년 전
11,  루시의 일상,까치발 교정법은 없나용?,3년 전
12,  사는게 재밌나?,나의 생각 저 같은 경우는 골반이 틀어져의자에 앉아도 왼쪽으로 가라 앉고누워도 왼쪽으로 가라 앉는데 아파서잠잘때 좌우로 번갈아 옆으로 잡니다 그럼 어깨가 말려요,3년 전
