,아이디,댓글 내용,댓글 시간
0,  diony,설명을 진짜 쉽고 상세하게 이해가 잘 가도록 해주시네요...! 왜 이제서야 알았는지ㅜㅠㅜㅜ 지피티님꺼는  간편하면서 중요한 것만 정확히 알 수 있어서 너무 좋네요 앞으로도 좋은 영상 부탁드려요,4년 전
1,  김설하,"영상 잘 봤어요! 완전 시원하고 도움 너무 많이 되네요!!! 평소에  자세가 안좋아서 목부터 허리까지 좋지 않아서 꾸준히 운동, 스트레칭, 물리치료 하면서 자세교정 중인데 오래 앉아  있을때마다  너무 몸이 무겁더라구요 자세에 도움 될만한거 알아보다가 친척이 추천해  줘서 새로 알게된 허리큐 자세교정 의자 로 바꾼 후부터는 하루가 다르게 몸이 가볍고 편하더라구요  허리큐 자세교정 의자 에 있는 여러가지 기능중에 팔걸이 기능이 자세 유지시켜 주는데 완전 신세계더라구요 허리큐 자세교정 의자 도움도 받으면서 운동 도 같이  해주면 효과가 두배는 빠르게 좋아지더라구요 !!! 특히 스트레칭 꾸준히 해주는것두 자세교정 하는데 너무 중요하더라구요!",1년 전
2,  유니TV,우와 진짜 간편하고 누구나 어디서나 할 수 있는 운동이네요 감사합니당,4년 전
3,  JH K,흉추후만이 심해서 고민이었는데 이렇게 간단한 스트레칭이 있었다니 잘 보고 갑니다~,4년 전
4,  qjksufjek,지피티님 영상보고 삼주째 매일매일 따라하고있는데요 거북목과 라운드숄더때문에 생긴 심한 두통과 어깨결림이 정말 많이 좋아졌어요 감사합니다ㅠㅠ 간단하지만 설명을 잘해주셔서 혼자서 잘따라할수있었어요ㅠㅠ 정말 감사해요 앞으로도 응원하겠습니다^^,4년 전
5,  원딜러무빙장인,이런게 진짜 집에서 할 수 있는 운동이지 감사합미다!!!,4년 전
6,  k k,너무 시원해서 중독될 것 같아요ㅋㅋ 감사합니다 꾸준히 해야겠네요,4년 전
7,  이호성,와 진짜 꿀팁들 많아요. 항상 잘보고 있습니다. 좋아요!!,4년 전
8,  Hojae Chung,여러 방법 써봤는데 이거 진짜 효과 있네요. 감사합니다!,4년 전
9,  구운몽,스트레칭 방법은 아주 좋습니다.다만 동작에 어깨의 가동성이 필요로하여해당 동작에 어깨 통증이 유발되거나 스트레칭 느낌보다 기타 다른 불편한 느낌이 나는 분들은 다른 방법을 추천드리는게 좋을것도 같아요 ^^잘 봤습니다!,4년 전
10,  김영준Young jun,와 상상도 못했던...  배우고갑니다,4년 전
11,  선한영향력,정말 좋은 내용 감사합니다,4년 전
12,  정우현,말이 직설적이어고 간단명료해서 듣기 너무 좋아요,4년 전
13,  게으른채셔,수많은 스트레칭을 해봤는데 라운드숄더는 특히 이게 제일 좋은듯 개 시원함 ㅇㅇ,3년 전
14,  kyo kim,아주 유용한 영상이네요 감사해요 오늘부터 매일 해야겠어요,3년 전
15,  김상훈,따라해보면 엄청 시원함 개꿀!,4년 전
16,  문영재,싫어요 없는거 넘나 좋은것~~!!좋은 꿀팁 감사합니다 몸 정말 좋으세요^-^!,4년 전
17,  Motion Head,댓글 하나하나 답글 달아주시는 정성에 감동했습니다. 구독합니다. 크게 되실거 같아요,4년 전
18,  먕뀨먕,정장입는데 제가 말린 등 ?? 이라서 보기에도 안좋고 자신감도 떨어져서 좋은 방법 알려주셔서 감사합니다 !! 하도 운동을 안해서 좀 아프기도 하고 시원하네용 틈틈히 하면 등이 좀 펴지겠죠??,4년 전(수정됨)
19,  최Kevin,안녕하세요 우연히 영상을 보고 새벽내내 감탄하면서 채널을 돌아봤네요. 저는 흔히들 거북목이라하는 목에서 더 악화가 된 역c형 상태입니다. 그래서 헬스를 하면 목근육과 상체근육이 심하게 뭉쳐 제대로 진행을 못해주고있습니다. 저와 같은 경우는 (ex. 등운동과 하체운동 위주로해라. 당기는 운동위주로해라) 같은 팁이 있을까요? 지피티님께 피티를 받을수 있다면 받고싶습니다.혹은 전문기관에서 다뤄야할 정도라면 전문기관같은 곳 추천가능한가요? 집근처 대학병원은 아무정보도 안주네요. 전 정말 인생이 걸린 중요한 문제라 비용걱정은 하지않고있습니다.,4년 전(수정됨)
20,  김머슬베이비,꿀팁 감솨합니다~!,4년 전
21,  강민석,지피디님 제가 수험생인데 어깨랑 목이 너무 굽어서 공부할때 마다 불편해서 이 영상대로 조금씩 따라 할려고하는데 이걸로 거북목하고 어깨 굽은게 다 고쳐지나요?? 아니면 수능끝나고 전문적으로 병원다녀야 할까요?,4년 전
22,  이진혁,정말정말 감사해요 ㅠㅠ 이채널 흥해라~~~,3년 전
23,  왕왕,나 이거 항상 스트레칭으로 방 문에서 항상 하던건데 잘하고있었네 ㅋㅋ,4년 전
24,  나그네,1번째 동작에서 혹시 몸을 밀때 턱은 당겨야하나요?,1년 전
25,  오준택,크 몸이 정말 머지신데 말도 잘하시네요! 부럽습니다 ㅎㅎ 저도 지금 되게 마른편인데 영상 구독하면서 열심히 운동해야겠어요! 혹시 운동하실때 피티받으시거나 같이 운동하는 파트너가 있으셨나요?,4년 전
26,  Jay,오 동영상 짧아서 봤는 데 유용한 팁까지 오른쪽 어깨가 살짝 라운드 숄더인데 감사해요~,4년 전
27,  수민,개꿀팁!! 굿~,4년 전
28,  국민의썩창렬,"라운드 숄더가 있는데, 수영 벤치 풀업 등,., 운동을 해도 괜찮은지 궁금해요.. 스트레칭만 우선 별도로 해야할까요??.. 라운드 숄더가 심각한 편이에요",3년 전(수정됨)
29,  안진우,이거 스트레칭 하고 풀업 딥스 팔굽혀펴기정도 하는데요. 풀업은 패러럴그립이랑 와이드그립중에 어떤그립이 좋나요? 딥스는 라운드숄더에 효과 있나요??,3년 전
30,  용준박,와.. 이거 내가 지티피 첫 영접영상이다 ㅋㅋㅋ 지금 다시보니 감회가 새롭군,1년 전
31,  상훈,이야 진짜로해봤는데 대박이네요 감사합니다,4년 전
32,  홀나,이거 회전근개다치신분들정형외과 가면알려주는데 정말 좋습니다 저리신분들 문제있는거에요 다들 부상조심ㅎㅎ,4년 전
33,  육깡수,네이버에서 골반스트레칭보고 알았습니다 여기서도 꿀팁 감사해요~,3년 전
34,  바빠빠빠바빠바빠,시원해요,4년 전
35,  Aarokk,형님 라운드 숄더에 스트레칭 말고 운동은 어떤게 도움이 되는지 궁금합니다!,3년 전
36,  ㅔㅔ,영상 잘 봤습니당궁금한게 있는데 라운드숄더를 가지고있는데 평소에 생활할때 견갑골을 접은채 생활하면 교정에 도움되나요?,3년 전
37,  소나무,시원하네요,3년 전
38,  오동현,모서리 운동에서 몸 앞으로 당길때 목 자세는 어떻게 해야하나요???,4년 전(수정됨)
39,  주성훈 위력,혹시 댓글 보실지모르겠지만 라운드숄더인상태에서 푸쉬업을 하면 어깨쪽에 무리가갈수있나요? 더 나아가 회전근개에 염증이 생길수가있나요? 제가 지금 이런상태라서요,3년 전
40,  일남,캬 잘하시네요 구독 추천 박고갑니다,4년 전
41,  잔댜김ㅁ,몇번정도하는게 좋나요? 뒤에꺼따라하다가 쇄골쪽에서 뽀드득소리가ㅠ,4년 전
42,  상상,감사합니당,4년 전
43,  최종인,그 요즘 굽은어깨 보정상품으로 나오는 보정제품들쓰면 효과있을까요?밴드제품으루 착용하면 어깨 뒤루 당겨주는,4년 전
44,  이경희,고마워요.,4년 전
45,  시원,어깨피는거 따라했는데 1달 반만에 정상어깨 됐습니다!,4년 전
46,  김용완,피티형 이거 너무 시원해~,4년 전
47,  다매다매이주헌,이것만 해도 라운드 숄더 거북목 많이 교정 되나요?,1년 전
48,  bluue,턱걸이가 일자목이나 거북목 교정에 도움될까요?,2년 전
49,  윤현,시원 하네요ㅋㅋ,4년 전
50,  이학주,혹시 척추 등 교정 밴드 어떻게 생각하시나요효과 있을까요?,3년 전
51,  꽃거지,맨몸운동해서 등이 굽은사람도 등운동하나요?대부분이 등이 저절로 굽게되던데요..새벽반님도 이준명님도.. 맨몸운동하는사람도 포함인가요?,4년 전
52,  한승철,라운드숄더에도움이많이되는거죠?거북목에도도움이되나요??그리고이걸하루에몇번씩해주면좋은가요?좋은내용감사합니다,4년 전
53,  이강식,매일 했을때기간은 어느정도 하면 라운드숄더가 교정될수있나요,4년 전
54,  서기원,지피티님 오늘 헬스장에서 무료로 피티를 받았는데 트레이너가 제가 라운드숄더라고 이런 스트레칭만으로는 라운드숄더를 고칠수 없다고 했습니다. 그러면서 피티해주실때 지피티님이 말씀하신 가슴근육을 마사지하면서 풀어줬는데 이렇게 하면서 운동해줘야 라운드숄더를 고칠수 있다고 저한테 꼭 피티를 받으라고 하더라고요... 저는 제 몸이 걱정이돼서 진짜 해야되나?? 이런 생각이 들던데 이게 진짜인가요?? 이런 방법만으로는 라운드숄더를 고치는데 한계가 있나요?? 헬스장이 꽤 유명한 헬스장인데 트레이너가 이런말을 하니까 그 사람말이 맞는 것 같기도 하고.. 궁금합니다!! 이상 헬린이였습니다 지피티님 답변 부탁드려요,4년 전
55,  ejdjejejdjd,소흉근 마사지볼로 스트레칭하는거도 괜찮나요?,4년 전
56,  김종민,몇회씩 몇세트를 하는게 좋은걸까요?,4년 전
57,  DeBruyne Kevin,거북목이랑 라운드숄돠둘다있었는데 감사합니다,4년 전
58,  김동식,라운드숄더는 등운동으로 교정안됩니다광배근의 발달이 라운드숄더의원인이 되기도합니다그리고 척추후만은 상체스트레칭으로효과가 미미할뿐골반교정이 동반되어야하고특히 장요근의교정이 우선되어야합니다,4년 전(수정됨)
59,  Ezekiel Perez,2번째 자세를 했는데 왼쪽 등근육만 더 땡긴다고해야될까요? 그건 허리에 무슨문제가 있는걸까요??,4년 전
