,아이디,댓글 내용,댓글 시간
0,  s eun,빡빡이아조씨다~ㅋㅋㅋ 너무 자연스러워서 처음엔 그거 쓰신지 몰랐어요ㅋㅋ 노력하는 아조씨 이제 보니 몸도 좋으시네요 멋집니다ㅎㅎ 제가 등도 굽고 거북목에 어깨도 안좋고 무릎도 안좋은 걸어다니는 종합병원인데 도움 많이 받습니다ㅎㅎ 더 많이 좋은 영상 만들어주세요~,4년 전
1,  뿌우,"좋은 영상 감사드립니다!혹시 스트레칭 할 때 계속 좌 우로 움직여주는게 좋은지, 아니면 정면 좌 우를 각각 시간 나눠서 하는게 좋은지(1분을 한다 치면 정면 20초, 좌 20초 우 20초 이런식으로) 답변 주시면 정말 감사드리겠습니다!",4년 전
2,  안돼그라믄,재밌게 유익한 정보를 제공하려고 정말 노력하시는 것이 보이네요.ㅋㅋㅋ 너무 재밌게 잘 보고 있습니다. 앞으로도 채널이 더욱 많은 사람들에게 사랑받길 바라겠습니다. 고맙습니다.ㅎㅎ,4년 전
3,  SC,"혹시 앉아서 저 동작을 따라해도 괜찮을까요? (왼쪽을 늘려주고싶을때 허리를 오른쪽으로 해서 왼쪽 팔을 오른쪽 팔로 당겨주는듯한..)  제가 한 쪽 광배근이 많이 짧아져서 견갑골이 한쪽이 너무 내려가있어서   스트레칭 & 운동을 해야해서 위의 스트레칭을 혼자서 하는데, 허리에 문제가 생기지 않을지 걱정이 되더라구요.",4년 전(수정됨)
4,  Stage Clear,뭔가 썰렁한거 같은데 느낌이 좋다~유튭도 성공하실듯 화이팅,4년 전
5,  Jason Yn,고급 정보 감사합니다~,4년 전
6,  푸딩햄짱,아 댓글 왠만하면 안다는데 너무 웃겨서 답니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ옛날빡빡이보다 이게 더 좋은거같아요. 이해도 더 잘되고 재밌음 ㅋㅋㅋ진짜 기발해요,4년 전(수정됨)
7,  김형모,혹시 견갑 비대칭에관한 운동도 알려주실수 있나요? 교통사고 이후로 라운드숄더랑 견갑비대칭 같이와서 너무 힘드네요 ㅠㅠ,4년 전
8,  up muscle,철봉에 메달리는거랑 스트레칭효과가 다를까요?,4년 전
9,  김범준,철봉에 매달려 있으면 비슷한 효과 나오는 건가요??,4년 전
10,  꼬부기,"굿! 저는 라운드숄더가 너무 심해서 단순히 팔을 뒤로만 넘겨도, 백스쾃할 때 렉 자세만 취해도 팔이 저릿저릿해요. 근래 들어 교정에 힘쓰고 있었는데, 이거 꼭 해봐야겠네요!좋은 자료 만들어주셔서 감사해요~(이전에 더빙 자료도 좋았지만 직접 찍어주시니 더 착붙이네요~)",4년 전
11,  SEEART,"턱관절 장애가 있는데 거북목, 굽은등 둘다 있는데 교정해주면 턱관절도 괜찮아질까요?",4년 전
12,  전립선검사,컨셉 ㄹㅇ ㅆㅅㅌㅊ  ㅋㅋㅋㅋ 개좋아,4년 전
13,  하이빔,철봉에서 메달려도 동일한 효과를 볼수있나요??,4년 전
14,  인공,철봉에 매달려도 비슷한 효과를 볼 수 있나요?,3년 전
15,  홍감독,시련을 함께 했기에 더 끈끈하다 이런모습으로 돌아와주실줄이야 감동..,4년 전
16,  박스뎅,아니 ㅋㅋㅋㅋㅋㅋㅋㅋ영상 막히니까 직접출연하시네 이거 진짜 레전드다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4년 전
17,  mag_grimmer_j,맨바닥 매트위에서도할수있을까요? 바지허리말고 어딜잡아야하나요 ㅎ,4년 전
18,  Damdeok Go,정말 존잼! 그런데 혼자 할 수 있는 방법은 없나요? ㅠㅠ,4년 전
19,  혜지니,철봉에 매달려도 이거랑 비슷한 효과 있나요??,4년 전
20,  중중이,철봉에 메달려있어도 같은효과인가요?,3년 전
21,  존보글,형님.......슬랩 수술 후 하면 좋을 재활 운동좀 알려주세요 꼭..ㅠㅠ 부탁드려요,3년 전
22,  강태용,재밌고 유용해서 구독하고 갑니다!!,4년 전
23,  이똘똘,안면비대칭 교정스트레칭도있나요?,4년 전
24,  흑당,아니ㅋㅋㅋ 좋아요와 구독을 안누를수없다ㅋㅋㅋ 컨셉 완전웃겨요!ㅋㅋㅋㅋㅋㅋ 마지막에 교회간다는거랑 해골에서 뿜음ㅋㅋㅋ,4년 전
25,  나무,재밌고 유익해요~^^,4년 전
26,  Operation Kim,혼자할수있는 스트레칭은 뭐가있을까요??,4년 전
27,  줄리아타김,덕분에 거북목 많이 완화됐으요,4년 전
28,  쵸코네코,처음 봤는데 깜짝 얼굴 가면이 너무 자연스러우셔서 ㅋㅋㅋ 구독 하고 앞으로 많이 배우고 가겠습니다~!,4년 전
29,  ha ni,와 이거했는데 어깨시원해졌어여,4년 전
30,  새우깡깡깡,직접 찍으시다닠ㅋㅋㅋㅋ 더좋아욬ㅋㅋ,4년 전
31,  sia jin,좋은 스트레칭입니다 ~,4년 전
32,  DY H,영상 너무 유익해요 ㅎㅎ 어디서 저런 가면을 구하셨대요 ㅎㅎ,4년 전
33,  대구 초빼이리쌍,철봉에 매달려서 힘빼고 있으면 시원해지던데 비슷한 원리인가요??,3년 전
34,  카밀,ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 머리가 그런줄 알고 잘 보고있다가 뒷목주름보고 깜짝놀랬엌ㅋㅋㅋㅋㅋ,4년 전
35,  백종민,허리가 역s자가 아니라 그냥1자여서 너무 아픈데 이런건 어떻게 교정하나요?,4년 전
36,  양말녀,어디서부터 어디까지가 가면인거야?명확한 발음과 다르게 입술입술이 소극적이야아! 목까지 뒤집어쓴거구나,4년 전
37,  박상민,막으니 직접제작ㅋㅋㅋㅋㅋ 열정에 감사드립니다 ㅋㅋㅋ,4년 전
38,  몽몽몽,"안녕하세요! 라운드숄더가 광배근이 타이트해서 유발되는게 맞나요? 제가 배우기로는 소흉근이 짧아지고, 광배근이 늘어져있는(약해져)상태라서 어깨가 앞으로 말리는걸로 알고 있는데 제가 잘못알고 있는건가요?",4년 전
39,  강완이,매일할수있는 전신 스트레칭 루틴도 알려주세요,3년 전
40,  퍼퍼퍼펑,컨셉 개잘잡았네ㅋㅋㅋㅋ 볼 때 마다 웃음,4년 전
41,  소주열잔,구독 좋와요 눌렀어요~~~저도 굽은 등이라 당장 해봐야 되겠네요~,4년 전
42,  엘렌,한명 더 필요없이 팔 한쪽씩 위로 올려서 벽에 대고 꾹꾹 늘리면 똑같아욤ㅋㅋㅋㅋㅋ,4년 전
43,  조미원,패트와 매트 컨셉이신감좋은 정보는 감사합니다,4년 전
44,  박그라제,매번 즐겁게 보고 갑니다. ㅎㅎㅎ,4년 전
45,  nantanet,보기만해도 시원하다,4년 전
46,  흙인노예,스스로 빡빡이 아저씨가 되시다니.....업로더분 열정에 감동받았습니다 ㅠ,4년 전
47,  크루제,혼자는 철봉에 매달리면 되나요?,3년 전
48,  Kim킴,와 진짜다 진짜가 나타났당!,4년 전
49,  Bruno,직접 빡빡이 아조시가 되시다니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ와 컨텐츠 정말 대단하십니다 존경스러워요.....,4년 전
50,  Broccoli Brooklyn,허리디스크에 좋은 운동법도 알려주세영거북목 스트레칭 영상 보고왔는데 한번 했는데도 엄청 시원하네용 ㅎㅎㅎㅎㅎ,3년 전(수정됨)
51,  심영의어머니,이형 넘모 멋있다,4년 전
52,  정진수,ㅋㅋㅋㅋㅋ너무흥이넘치신다ㅋㅋㅋ이런거너무좋아,4년 전
53,  연승학,빡형님 삼두근건염은 어떠캐해야되나요...,4년 전
