,아이디,댓글 내용,댓글 시간
0,  이루다,감사합니다ㅜㅜ 한번만 해도 굽어있던 어깨가 되살아 났어요ㅠㅠㅠ 하루에 한번씩 해야겠네요 감사합니다ㅜㅜㅜ,11개월 전
1,  윤새날,"평소에 어깨통증이 심했어서 고민이 많았는데, 이 스트레칭 하고 나니까 많이 개운해졌어요! 특히 반활자세가 정말 시원한 것 같아요.. 항상 도움되는 운동이나 스트레칭 영상 올려주셔서 감사합니다 선생님 덕분에 삶의 질이 많이 좋아지고 있어요..ㅎㅎ",2년 전
2,  도비는 공짜예요,틀어진 어깨 교정하려고 매일 이 스트레칭을 하고 있는데 신기하게 진짜 어깨랑 허리쪽 통증이 조금씩 줄어들고 있어요! 그전엔 움직이기만해도 만성통증처럼 항상 아파왔었는데 진짜 효과 많이 보고 있답니다. 감사해요!,2년 전
3,  박또동,처음엔 고양이자세가 너무너무 힘들었는데 딱 일주일 있으니까 이제 잘 할 수 있게 되었어요! 라운드숄더도 교정되고 있고 너무너무 좋아요골반교정도 매일 세트로 같이 하는데 역시 하나하나 모두 소중한 소미핏 ️,9개월 전
4,  MK heo,이 영상 진짜 최고에요!어깨좀 뭉친다싶을때 이거 한번 하고나면 진짜 풀린게 느껴져요~한번만 따라해도 어깨가 진짜 가벼워지는 느낌!반활자세는 진짜 최고!1번 어깨스트레칭은 회사에서도 자주 해주고 있는데 너무 좋아요이 영상 진짜 강추강추!,2년 전
5,  올리올리,이 스트레칭 진짜 대박이에요 !!!!! 어깨가 라운드숄더 그자체였어서 스트레칭 전에 어깨 쫙 펴려고하면 어색하고 불편했는데 지금은 어깨 제대로 핀 자세가 자연스럽게 나와서 너무 좋아요 ㅠ_ㅠ 삼일째부터 자세 달라진게 느껴져서 십년 넘게 어깨 포기하고 지내온게 후회됐어욬ㅋㅋㅋㅋ선생님꺼 다른 영상들도 매일 하고있는데 진짜 전부 다 효과 최고에요 감사해요 ㅠㅠㅠ,2년 전
6,  봄까치의 일꿈,"우와 짧지만 진짜 시원시원해요~~ 우연히 골반교정 하면서 내정근, 힙까지 진짜 최고입니다!! 매일매일 하고 있어요~~ 어깨스트레칭은 2틀째입니다!!",2년 전
7,  뿌뿌뿌,와.. 진짜 한 번 했다고 펴지네요. 앞으로 하루 두번씩 해야겠어요. 시작하자마자 바로 운동 시작하는 것도 좋고 8분이라는 짧은 시간도 좋아요. 그리고 차분하게 설명해주시고 개인의 유연성에 맞게 다른 방법을 알려주셔서 좋았어요! 감사합니다,2년 전
8,  김세영,4/16️미서원님 오늘도 폼롤러전신+어깨운동까지 마무리했네요 늘 감사해요 하루동안 뻐근했던몸 잘 풀어주고 가요 좋은하루보내세요️ 어깨 뒤에서 손잡는것도 처음엔 안됐는데 한달정도 하다보니 조금씩 할수 있네요 ㅎㅎ,2년 전
9,  설이,어깨가 너무 굽어서 등살도 찌고 자세도 이상해졌었는데 이 스트레칭 하고 나서 많이 좋아졌어요!! 당당하게 항상 어깨 피려고 노력하면서 이 스트레칭 꾸준히 해주니까 좋은 성과가 있네요 ㅎㅎ 앞으로도 매일매일 이 스트레칭하면서 어깨 펴줘야겠어요 ! 좋은 영상 감사합니다 !,1년 전
10,  여신모카,진짜 좋은거 같아요. 턱관절로 얼굴과 상체 골반 틀어짐이 있는데 이제 3일차 이지만 흉곽호흡도 하고 여러가지 도움받고 있습니다. 감사합니다,1개월 전
11,  Hawaii,두 번 따라하고 아픈 골반 교정 되었습니다. 정말 이럴 수도 있네요.. 사실 효과 기대도 안했었는데 너무 놀라서 감사인사 남깁니다. 군더더기 없는 진행과 핵심만 딱 알려주셔서 운동 시간도 너무 길지 않아서 매일 하게 될 것 같아요. 진심 최고!!!!!,1년 전
12,  안예진,와 진짜 할 때는 무슨 시원하지는 않고 왜케 아프냐 이 생각 하면서 했는데 하고 나니까 완전 어깨 돌리는데 확실히 가벼워진 느낌! 진짜 어깨쪽에 혈액이 도는 느낌이 들어요 대박이예요 앞으로 꾸준히 해야할 것 같아요 진짜 감사합니다:),2년 전
13,  이은희,"유튜브 보고 홈트 많이 하는데 어깨스트레칭 이게 갑이네요,, 진짜 너무 시원해서 소름ㅋㅋㅋㅋ 어깨 뭉친거 싹 풀렸어요 갓서원님️",4년 전
14,  마담쿠쿠다스,와... 정말 좋아요 ㅠㅠㅠ 어제 목어깨 뭉쳐서 새벽에 두통 메스꺼움에 잠에서 깼는데 ㅜㅜ 방금 하고 났더니 너무너무 좋네요!! 반활자세가 제일 시원하네요!ㅋㅋ 데일리 운동 루틴에 추가할게요 감사합니다!,2년 전(수정됨)
15,  parisnewyork,"정말 너무너무 시원하고 따라하기 어렵지도않고! 최고에요ㅠㅠㅠ감사합니다️️️거북목, 굽은어깨 고민이었는데 매일 따라하려구요!!",1년 전
16,  김보민,유튜브 댓글 거의 안 다는데 이건 진짜 너무 시원하네요. 온라인 수업때문에 계속 앉아 있어서 등이랑 어깨가 너무 아팠는데 이거 하고 나면 기적처럼 통증이 다 사라져요!!! 수업 사이 사이 쉬는 시간에 하는데 정말 몸이 너무 편해진 기분입니다 ㅜㅜㅜ 최고에요옹,1년 전
17,  Kyung suk Park,두달 가까이 이거랑 전신 스트레칭이랑 폼룰러 하는데 어깨랑 허리 아팠던 것도 없어지고 시원하니 너무 좋네요. 욕심 생겨서 하나씩 더 찾아서 하게 되네용 감사용,2년 전(수정됨)
18,  살구,어떤 어깨 스트레칭도 풀리는 느낌이 덜했는데 왜 이제야 봤나 싶을정도로 다하고 나니까 너무 시원하더라구요..!!! 특히 반활자세 최고로 시원합니다 어깨 뻐근한게 싹 가셨어욬ㅋㅋ진짜 스트레칭할때 꼭 넣어서 꾸준히 해야겠네요~!!,2년 전(수정됨)
19,  Moon Moon,진짜 시원하고 좋아요ㅠㅠㅠㅠㅠ골반 스트레칭 영상 보다가 추천영상에 같이 떠있길래 한번 해봤는데 반활자세 진짜 짱짱맨...이거 하루에 한 번 따라한지 이제 사흘밖에 안 됐는데 어깨 유연성이 확실히 달라진 게 느껴져요. 두번째 어깨 스트레칭 첫날 했을 때는 손끼리 닿질 않아서 낑낑대며 모양만 맞췄는데 오늘은 손끝에 불과하긴 해도 손끼리 닿네요ㅠㅠㅠㅠㅠ너무 신기하고 시원해요 고작 사흘이긴 해도 이젠 이거 안하면 괜히 더 찌뿌둥한 느낌이구 이 스트레칭으로 하루를 마무리하면 더 개운한 느낌이에요. 정말 고맙습니다ㅠㅠㅠㅠ,3년 전
20,  이예훈,아 요즘 어깨랑 목이 아파서 스트레칭 해야지 하다 발견했는데 너무 시원합니다 중둔근.? 운동하다 넘어왔는데 소미님 운동방법이 진짜 뭐랄까 제몸에 딱인것같아요 따라하기도 좋고 효과가 진짜 있는것같아서 계속하게되는것같습니다!,5개월 전
21,  two2,"Es muy buen estiramiento para después de hacer ejercicios de brazos y espalda, gracias :)",2년 전
22,  겨울,"이 영상 + 데일리스트레칭 + 다리 운동어제 같이 하고 오늘 일어났는데 진짜 어깨, 목 하나도 안 아프고아침마다 탱탱 부어있던 몸이 오늘은 진짜 가벼워요... 이런 후기 잘 안 남기는데너무 좋아서 남깁니다. ㅠㅠㅠㅠㅠ",2년 전
23,  Bitna Banjjak,"골반, 폼롤러 스트레칭도 항상 소미핏님 거만 보는데 이제 하나 더 늘었네요. 진짜 스트레칭은 소미핏님 따라올 자가 없는 듯 ㅠ 진짜 영상도 너무 보기 편하고 설명도 차분하고 정말 딱 필요한 액기스만 다뤄주시니 이렇게 좋을 수가 없어요. 좋은 영상 정말 감사합니다 ️",1년 전
24,  H.L.,유투브 영상에 댓글 처음 남겨봐요 그만큼 너무 좋았고 효과봐서예요!!!! 쌤 영상보며 따라한지 딱 15일째 되는 날인데 절대 안 닿을 것 같던 손끼리 닿아서 저도 모르게 대박! 이 육성으로 터져나오더라구요ㅠㅠ다른 후기들처럼 처음엔 차분하고 따라하기 쉬운 영상이라 따라했는데 효과를 보고 나니 왜 이렇게 구독자가 많은지 확 와닿았어요!! 좋은 영상 정말 감사하고 앞으로 더욱 더 번창하세요!!! 꾸준히 따라하며 응원할게요!!!!,2년 전
25,  찐이님,반활자세 진짜 최고에요.. 엄청 시원해요 ㅠㅠㅠ 어깨가 한결 가벼워졌어요!!!,3년 전
26,  ᄀᄋᄋᄀ,매번 할때마다 영상에 좋아요 누르고 싶은데 이미 눌러서 또 누를수가 없네요 너무 시원해요! 동작은 다른 전문가 분들도 다 아는걸수있지만 쓸데없는 얘기 안하고 빠르게 진행하셔서 너무 좋아요!!!,2년 전
27,  soyoung N,"굽은 어깨+일자목+목디스크 통증으로 고통받고 있는 사람입니다ㅠㅠ 미서원뿐만 아니라 다른 영상도 진짜 많이 보고 따라하고 좋다는 자세, 시원하다는 자세들 꾸준히 해봐도 그냥 그랬는데 반활자세 진짜 너무너무너무 시원해요!!첨엔 좀 당기고 아팠는데 지금은 그냥 너무 시원해서 더 오래하게 됩니당 고양이 자세는 첨에 목이 좀 아프구 팔에 힘빼는게 어려우면서 가슴이 땅에 잘 안닿았거든요. 3일 지나니 가슴을 땅에 박는 다는 기분 느끼며 하고 잇어요 ㅋㅋㅋ 하루에 한 번 이상은 꼭 따라하고 있습니당!!! 감사해요",1년 전
28,  Around You,"어깨, 등, 손목까지 아파서 고생 중인데 도움이 정말 많이 되네요~ 감사합니다!!! ^^",7개월 전
29,  Leanna,한달정도 했는데 올라간 말린어깨도 어느정도 펴지고 주변에서 올라간 어깨도 많이 내려갔다는 얘기도 들었어요!! 이제는 목소리만 듣고도 동작 잘따라 하게되네용~~~ 감사합니당♡ 꾸준히 할게용!,2년 전
30,  Stella Jin,어깨부터 팔꿈치 손가락까지 저려서 해봤는데 너무 편안해졌어요! 정말 감사합니다. 역시 짱이에용♡,2년 전
31,  박혜진,와 이거 효과 좋은거같아요! 얼마전에 미서원님 홈트영상보고 다 따라하고있는데 제가 지금까지 봤던 홈트영상중에 제일 효과도 좋고 체계적인거 같아요 ㅎㅎ 항상 좋은영상 감사드려요! ️,4년 전
32,  snow flakes,매일 아침저녁으로 따라한지 일주일쯤 되었는데 오늘 처음으로!! 고양이자세할 때 가슴이 바닥에 닿았어요!! 이게 될까 했는데 정말 되네요ㅎㅎㅎ 평소의 어깨결리고 등이 굽은 느낌도 많이 가셨어요. 앞으로도 매일 따라할게요. 정말 고맙습니다 선생님,2년 전
33,  Bong Bong,아니 말이 안나와요 너무 너어어어어무 시원해요 아프지만 살살 천천히 부위 느끼면서 운동하니 너무 좋아요 진짜 공유만 천번 했네 !!,2년 전
34,  묭묭,와 굽은 어깨 때문에 진짜 아무리 스트레칭해도 안 됐는데 이건 진짜 엄청 시원해요 ㅠㅠㅠ 너무 감사해요,2년 전
35,  star OreO,너무 시원해서 외울만큼 했어요! 진짜 한번만 해도 어깨가 펴진 느낌이 들었는데 일주일 정도 된 지금은 육안으로도 굽었던 어깨가 정말 많이 펴졌어요. 완전히 펴질 때까지 꾸준히 할게요감사합니다 소미님!,1년 전
36,  자몽,고관절스트레칭 3주째정도 매일 하고있는데 안되던 자세도 다 되고 얼굴 비대칭도 좋아져서 이 영상도 시도해봐요. 어깨가 안좋아서 가동범위가 엄청 좁고 뚜둑 소리나는데 오늘부터 매일 해보겠습니다~,1일 전
37,  ziu yu,이틀 따라하구....거울보니 놀랍네요. 무의식중에 오른손을 많이 사용한 세월만큼 틀어지고  비대칭이 심했던 어깨선이 균형을 많이 찾았어요. ㅎㅎ 너무너무 감사해요. 미서원님 복 많이많이 받으실거예요.♡♡♡♡♡♡,3년 전
38,  Piece 1,"너무너무 좋습니다평소 등, 고관절, 골반, 목, 햄스트링 등교정운동 하루 1~2회씩 하는데이 어깨 루틴도 포함 시켜야 겠네요!",5개월 전
39,  다슬,초반에 했다가 앉아서 업무를 보는 일땜에 어깨랑 목 아프고 그랬는데 오늘부터 다시 스트레칭 시작합니다.️확실히 몸이 시원해진거 같아여,5개월 전(수정됨)
40,  리채,애기낳고 처음 홈트하는데 운동후 골반푸는거랑 이거하니 진짜 시원하고 최고예요배경음악까지 완전 제취향입니다ㅎㅎ감사해요,2년 전
41,  한은재,너무 시원하고 좋아요 ㅜㅜ 매번 잘하셨다고 좋은 목소리로 말씀해주시는것도 너무 좋아요,2년 전
