,아이디,댓글 내용,댓글 시간
0,  @jiggylee1,"정말 신기한게 이거 하고나서 바르지 않은자세를 하면 통증이와요. 그전엔 항상 꾸부정하게 있으면 더 편했는데 이젠 반대로 꾸부정하게 앉으니 아파서 저절로 등, 어깨가 펴집니다. 신기",2년 전
1,  @user-cl7th6jm3q,면접 보기전 꾸부정한거 조금이라도 없어보이려고 따라했는데 1회만 해도 효과가 있는 것 같아요 !!  앞으로도 쭉 헤야겠어요,1일 전
2,  @myungjulee9705,22.11.20,13일 전
3,  @user-iq9qc8dd7i,목스트레칭이랑 같이 세트로 하고 잇는데 눈에 띄게 승모근이 많이 좋아졌어용!!! 감사합니다 ㅎㅎ,4주 전
4,  @user-jq7ht4bj1h,8/20  ㅇㄹ 8/21  ㅇㄹ 9/7 ㅇㄹ 9/8 ㅇㄹ 9/10 ㅇㄹ 9/12 ㅇㄹ 9/20 ㅇㄹ 9/21 ㅇㄹ.9/22 ㅇㄹ 9/24 ㅇㄹ 9/25 ㅇㄹ 9/27 ㅇㄹ 10/3 ㅇㄹ 10/11 ㅇㄹ 11/12 ㅇㄹ 11/14 ㅇㄹ 12/2 ㅇㄹ,3개월 전(수정됨)
5,  @user-wk4iq8mv7c,아니... 효과 미쳤다고요.... 물결치던 어깨 돌아왔다고요~~~!!!,3개월 전
6,  @user-ff5xe9rz4n,1:30 운동시작,4개월 전
7,  @klee1040,제가 목 상부승모근 힘들어가는 운동을 하면 목통증이 있는데요 ㅠㅠㅠ 운동중.  목이 더아파서요 ㅠㅠ 어흐찌해야될지 ㅜ,4개월 전
8,  @user-vk5ux7og5u,1운동,4개월 전
9,  @user-cn4hz7hn5r,1:30,4개월 전
10,  @user-sg6pf6bb1g,고양이자세 따라했다가 어깨근육이 한동안 아팠어요. 당연한 얘기겠지만 무리하면서 따라하면 안 될 것 같아요~~,4개월 전
11,  @user-qt5po9fk7k,1:30,4개월 전
12,  @user-pf4oe1ry1d,2:35,5개월 전
13,  @toyong9016,1:30,5개월 전
14,  @user-bl7wt6sh5v,와 어깨 아팠는데 이거 하고 나니까 겁나 시원해요 어깨가 다 풀린 거 같아요,5개월 전
15,  @hesiya1885,화 7,5개월 전(수정됨)
