,아이디,댓글 내용,댓글 시간
0,  @yogaboyofficial,"[공지] 요가소년 유튜브 홈화면&재생목록 업데이트기존의 ‘시간별 요가’와 ‘테마별 요가’는 수정 보완하였고, 오랜 고민 끝에 ‘난이도별 요가’를 구분하여 새로이 마련하였어요.모쪼록 지금 여러분에게 딱 필요한 요가 수련 안내 영상을 만나셨으면 합니다요가소년 추천 영상 바로가기‣ 난이도별 요가 | https://bit.ly/3sqtPgN‣ 시간별 요가 | https://bit.ly/3D4hVOL‣ 테마별 요가 | https://bit.ly/3gD8JJA",1개월 전
1,  @gyeongripark9228,이 시퀀스 너무 좋아요. 허리 시술받고 다른 운동은 아직 조심스러워서 다시 요가를 시작했는데 매일 이 요가 한 후에 허리가 시원해요. 하체까지 늘려줘서 더욱더 좋습니다. 요가소년님의 요가영상들 중 제일 좋아하는 요가에요. 길이도 가장 적당해서 바쁜 일상 속에서도 부담없이 할 수 있습니다.,3년 전
2,  @user-rt8ub3ug8n,"평소 평평한 바닥에 누우면 통증을 느끼곤 하는데, 수련을 마치고 나면 통증없이 누울 수 있다는게 너무 좋습니다. 감사합니다 ",2년 전
3,  @park6998,꾸준히 못하고 있어서 걱정했는데 이번 영상으로 두려움이 가라앉고 편안한 수련이 되었어요!! 너무 감사합니다,5개월 전
4,  @nataliehan2278,너무 어렵지도 않고 따라하기 쉽고 너무 시원하고 목소리도 좋고 마지막 음악도 너무 잘어울리고 그냥 다 좋은 영상이에요!  감사합니다️,2년 전
5,  @user-jo8hn6fm4j,직업병으로 허리가 많이 안 좋아졌는데 매일밤 이 프로그램 따라하고나면 허리통증이 싹 사라지고 진짜 시원해요! 물론 다음날 일하고 오면 또 아파서 꾸준히 계속 하고 있어요 감사합니다,2년 전
6,  @user-pf4mv8go2e,몇 년이 지나도 매일 이거만 하구 있습니당ㅎㅎㅎ너무 시원하고 허리 통증이 많이 사라졌습니다!,1년 전
7,  @user-ct3co8ws7c,정말 신기해요... 오래 서있어서 허리가 정말 찌릿찌릿 아팠는데이거하고 일어났더니 말끔히 사라졌어요..진짜 최고다,1년 전
8,  @_mayongyong_,허리 통증 완화와 이 요가 시퀀스를 연달아 해주고 나니 하루종일 아프던 허리가 부드러워지며 통증이 사라졌어요!! 부담스럽지 않으면서도 너무 시원하고 좋네요- 허리 아플 때마다 종종 해주려구요. 늘 좋은 영상 감사 드립니다! 나마스떼!,3년 전
9,  @retropub6121,선생님 이번 요가편 정말 좋아서 사일 째 반복중에 있습니다. 연구직에 종사하다보니 앉아있는 시간이 많아 허리가 아팠는데 놀랍게도 벌써 허리가 한결 편해지고 앉아있는 데도 큰 무리가 없습니다. 정말정말 감사합니다ㅎㅎ메리 크리스마스^^,2년 전(수정됨)
10,  @gyeongripark9228,이 요가하면 허리 파스붙인것처럼 시원해져요. 요가 소년님의 다른 요가와 함께 이 시퀀스는 일년 넘게 꾸준히 하고 있습니다! 너무 좋아요!,2년 전
11,  @user-ms4os1xx7n,며칠만에 수련이라 더 좋았어요. 오늘도 시원하고 편안하게 수련했습니다. 다양한 수련 프로그램이 있어서 골고루 할 수 있어서 좋네요. 고맙습니다.,2년 전
12,  @anseongtangmyeon1350,와아..진짜 허리 통증이 나아졌어요ㅎㅎ 예전에도 댓글 남겼었지만 하면서 제 호흡의 길이가 짧아서 요가소년님의 호흡에 맞추기가 힘든 적도 있었는데 요즘엔 꽤 잘 맞네요ㅎㅎㅎ 혹시 기회가 된다면 요가 호흡법 영상도 기대해볼께요ㅎㅎ 나마스떼~,4년 전
13,  @user-og4nc2jj8d,허리가 늘 불편하고 힘들었는데   이 영상 너무 유익합니다 진심 감사합니다 ^^,3개월 전
14,  @user-se7zy4wd3t,"벌써 2월 챌린지도 20일째네요! 온몸이 무거워서 침대에서 일어나기 싫었는데, 수련하고나니 조금 가뿐해진 것 같아요.오늘도 감사히 수련했습니다",1년 전
15,  @kaylaahn9862,허리를 다친 뒤로 통증이 종종 와서 고민이었는데 오늘 따라해보니 허리가 너무 시원해요! 앞으로도 꾸준히 이 시퀀스를 해봐야겠어요ㅎㅎ감사합니다!,1년 전
16,  @user-nf3lj5hv6x,허리가 너무 아팠는데 따라했더니 너무 시원해요~~ 매일 조금씩 시간내서 따라해보려구요! 감사합니다 :),3년 전
17,  @user-zs7gv6wl9n,"오늘도 좋은 수련 감사합니다. 요가를 하면서 자연스레 바른 자세에 신경을 쓰게되고, 또 꾸준히 수련하면서 어느 순간 늘 불편했던 허리통증이 서서히 완화되었습니다. 요가 수련을 통해 몸건강 마음건강 더욱 노력하려구요..감사합니다.",1년 전
18,  @choijoy2668,"요가원에서 배우는거랑 구성이 똑같아서 좋네요 ㅎㅎ 다른 영상은 요가를 운동으로 대해서 별로였는데 이 영상은 요가를 수련, 명상으로 대하고 영상에 명상하는 시간이 들어가 있는점이 좋네요^^",3년 전
19,  @minkyung1602,댓글 처음 달아요! 허리가 안 좋아서 수험기간동안 이 영상 거의 매일 따라헀어요 ㅎㅎ 이제는 동작 순서까지 다 외워버렸을 정도로 출석체크하듯 보고 있는 영상입니다 :) 덕분에 좋은 결과 얻어서 이제는 직장인이 되어 또 허리 통증을 느끼면서 매일 보고 있네요 ㅋㅋ 좋은 영상 정말정말 감사해요! 허리통증이나 목/어깨통증 영상 꾸준히 올려주세요 오늘도 나마스떼 :D,1년 전
20,  @user-bx4sk2fb6s,하루도 안 빠지고 벌써 두달째 수련하고 있습니다 달라지는 몸의 변화를 보면서 날마다 감사하고 있습니다!!  감사합니다 ^^ ,6개월 전
21,  @user-un5kd4vv3s,평소에 좌우 골반이 비대칭이고 고관절이 많이 안 좋은데 이 영상 따라하고 나니까 마지막에 좌우 균형이 잡히고 통증이 훨씬 완화되는 게 느껴졌어요! 좋은 콘텐츠 감사합니다.,2년 전
22,  @user-uw9yf6ye6y,발음 속도 녹음 상태 너무 안정적이어서 수련에 큰 도움이 됩니다 좋은 목소리는 덤으로 더욱 좋고요. 옆에서 보고 해주는 듯한 코칭까지 최곱니다.요가 유튜브중 초보가 천천히 따라하기에 제일 편하고 좋은 것 같아요. 좋은 컨텐츠 감사합니다. ㅎㅎ,2년 전(수정됨)
23,  @user-nj6cr2rc3o,"거북목, 굽은등으로 수련시작했어요! 요가소년님 영상으로 매일 저녁 수련중입니다 ;) 좋은영상 감사합니다",4년 전
24,  @user-zs7gv6wl9n,허리가 불편할 때면 생각나는 좋은 수련 영상이예요. 늘 감사합니다,1년 전
25,  @stellajang2455,오늘도 요가소년과 함께 두가지 코스로 행복한 아침 루틴 잘 마쳤습니다 늘 감사할따름입니다~~♡,11개월 전
26,  @user-lh4bv1xh4f,5/3 출석체크! 초반에 팔 다리 왔다갔다 할때 엄청 뻐근하더라구요! 하고나니 골반이 엄청 시원해요 ㅎㅎㅎ 감사합니다 선생님 :),1년 전
27,  @nowisreal,일주일째 꾸준히 하고 있는데 처음 할때보다 코어에 힘이 더 생긴걸 느낍니다. 밤에 하고 자는데 숙면에도 도움이 되구요. 항상 감사드립니다. ,2년 전
28,  @user-gw2jz2nf5h,요즘 앉아서 일하는 시간이 많아져허리가 아픈데 이 요가 영상 따라하고 매우 좋아졌습니다. 아직 어려운 동작도 있지만요. 좋은 영상 감사합니다!,2년 전
29,  @user-lh4bv1xh4f,2/20 수련 끝! 다양한 동작들을 해볼 수 있게 해주셔서 감사합니다 (),1년 전
30,  @jisunc6253,"좌골신경통 진단받고 이틀째 하는중인데 확실히 하고나면 허리가 부드럽고 시원한 느낌이에요! 다른 영상은 1분동안유지하기 20번 동작반복하기 이런식으로 목표설정식이라 횟수와 시간에 집착하게되는데, 요가소년님 영상은 호흡 근육의 움직임에 집중하게 해줘서 수련하는 느낌이 들어 더  좋은거같아요!",1년 전
31,  @jeanlee28,꾸준히 이 영상의 수련을 따라하며 요통이나 골반통도 많이 개선되어감을 느낍니다. 늘 감사드립니다.,4년 전
32,  @user-xg1yh5wg2x,선생님 정말 힐링되는 요가같아요... 오늘 첨 해봤는데 기분도 편안해지고 감사합니다 ,2년 전
33,  @user-yz8qd3qy3y,좋은 영상 감사합니다. 회사일때문에 스트레스가 넘 심했는데 요가를 따라하니 해소되는것 같아요. 감사합니다.,2년 전
34,  @dragonrainpark8747,오늘은 허리와 우골신경통 완화를 위해 2번 했어요. 시원하게 나아지는 기분이 좋아요. 나마스텥!!,1년 전
35,  @jszhang1012,운동후 스트레칭겸 해주었어요. 몸이 편해지는 느낌이 좋아 내일 다시 또 해보려구요. 요즘 새로운 영상들이 올라오니 좋아요 항상 감사합니다!^^,4년 전
36,  @joungahyi5385,이 보다 더 완벽 simple 요가 영상은 없을듯요,2년 전
