,아이디,댓글 내용,댓글 시간
0,  김설하,"영상 잘 봤어요! 완전 시원하고 도움 너무 많이 되네요!!! 평소에 자세가 좋지 않아서 꾸준히 운동, 스트레칭, 하면서  자세교정  중인데  .......오래 앉아 있을때마다 너무 몸이 무겁더라구요 자세에 도움 될만한거 알아보다가 친척이 추천해 줘서 새로 알게된 허리큐 자세교정 의자 로 바꾼 후 ...부터는 하루가 다르게 몸이 가볍고 편하더라구요!!허리큐 자세교정 의자 에 있는 여러가지 기능중에 특히 "" 어깨 팔걸이 기능이 ""자세 유지시켜 주는데 완전 신세계더라구요!! 특히 스트레칭 꾸준히 해주는것두 자세교정 하는데 너무 중요하더라구요 !!!",1년 전
1,  숨멍TV,자기 전에 이거 따라하였는데 골반통 요통이 없어지고 너무 편안해져서 푹 잘 잤어요. 감사합니다. 아침에 일어나서 쌤꺼 다른 영상 찾아보는 중이에요.  피디님도 쫌 짱인듯~^^,5년 전
2,  채린 김,"영상 잘 봤어요!! 완전 시원하고 도움 많이 되네요!!! 평소 어깨, 허리가 아파서 운동 하면서 자세교정 중인데... 허리큐 자세교정 의자 를 쓰고 난후 부터는 오래 앉아 있어도 몸이 편하더라구요!!특히 어깨 팔걸이 기능이 자세 교정 할수있게 유지 하는데 완전 신세계더라구요...!!!",1년 전
3,  ferret I,아 이 영상은 최고다 진짜. 근본적인 것 부터 알려주시네. 이제껏 근력 운동만 해오다 최근에   유연성 운동중인데 선생님 정말 최고네요,4년 전
4,  moonn Moon,골반교정 스트레칭중에 최고에요 정말 최고!! 너무 친절하세요 w자세안되서  고통스럽고 걱정했는데 쿠션놓고 해도 된다고 하셔서 열심히 따라하고 있어요 그리고 무릎이랑 발꿈치 맞아야 된다고 친절히 가르펴주셔서 확실히 알았네요,4년 전
5,  광수조하,ㄹ자형으로 하는 스트레칭 할때 골반이 너무 아픈데 하고나면 시원해요 진짜 이게 골반 운동 되는거 같아요 짱 좋아요!!! 다른 골반운동보다 더 잘 되는거같아요ㅎㅎ,5년 전
6,  SEOJIN LEE,진짜 시원해졌어요ㅠㅠ 매일 따라할래요️,4년 전
7,  김love,이 스트레칭법은 처음봤어요 강사님 신뢰도가 높아지네요 앞으로도 교정운동 많이 부탁드립니다,5년 전
8,  최영숙,일반 영상처럼 딱딱하지 않고 직접 옆에서 배우면서 하는거 같은 느낌이 들어서 맘에들에요 w자세가 안되서 열심히 기초w자세 하고있는데 열심히 해볼라구요 ♡,5년 전
9,  Gyujin Yang,진짜 골반교정 스트레칭 영상중에 역대급으로 진짜 제일 좋은데 (1년째 하는중이에여) 편집도 진짜 역대급으로 운동하기 힘들게 예능처럼 편집된영상이에요. 진짜 안타까움,3년 전
10,  Rachel,진짜 선생님이 자세 딱 잡아주는 느낌이에여^^ 자세가 넘 시원해요. 진지하게만 되면 정말 좋을것같은데ㅜㅜ 구독 누르구가용,4년 전
11,  김유수,완트레이너님에게 푹 빠져서 헤어나오질 못하겠네요 ㅋㅋ진짜최고!!!! 제일최고!!! 선생님 하시는거 보고 쉽게하시길래 혹시나 싶어 따라해봤더니 역시나 선생님만 쉬운거였어요!!!!!! 그래도 완트레이너님 동영상 디 따라하니까 골반도 풀리는것같고 온몸 전신스레칭 되는것깉아 좋아요!!! 진짜최고!!,4년 전
12,  초승달Crescent,감사합니다. 초보자분들은 마지막에 주의할점이 특히 도움이 될거에요~힘을 빼고 숨을 내쉬면서 천천히 더 내려가기~~^^,4년 전
13,  춘쌤쓰,지금까지 따라해본 골반교정 스트레칭 중에 제일 시원해요 ! 와..,4년 전
14,  솜솜ᄒ,와...다른 유투버의 스트레칭이랑은 달라서 너무 좋았어요. 골반스트레칭 너무 좋네요. 구독하기 눌렀습니다 ㅎㅎㅎ,5년 전
15,  Alex,댓글 또 남기고 가요 이거만한 스트레칭이 없어요ㅠ 진짜 효과 직빵ㅜㅜ 완쌤 감사해요,4년 전
16,  룰루랄라,쉬울줄 알았는데..... 너무 아파.... 저렇게 편안하게 하시다니... 속았....... ㅎㅎㅎㅎ 매일 하면 쌤 처럼 되겠죠!!!,5년 전
