,아이디,댓글 내용,댓글 시간
0,  @user-jv1bb2sy1b,"땅끄,오드리 선생님 안녕하세요! 저는 직장에서 사무직으로 일해왔었고, 최근 수개월간 수험생활을 하면서 하루종일 삐딱한 자세로 앉아있다 보니 허리가 많이 안좋아졌습니다ㅠㅠ 병원에 가서 물리치료도 받아보고 약도 먹어봤지만 일시적으로 통증을 가라앉혀줄 뿐 근본적인 해결책이 아니라는 생각이 들었습니다. 의사선생님도 제가 계속 같은 통증으로 병원에 오니까 도수치료를 받아보는게 어떻겠냐고 하셨는데 수험생활을 하면서 1회에 7-8만원씩 하는 도수치료 비용을 감당하기가 힘들것같았어요ㅠㅠ 게다가 도수치료를 해도 운동을 하지 않으면 소용이 없다는 말을 들었고 간단히 스트레칭이라도 해보자는 마음에 허리스트레칭 영상을 따라하게 되었슴니다! 솔직히 그 전에 다이어트 한다고 칼소폭이나 걸쭉빠, 댄스다이어트 등 여러 운동을 따라했지만 꾸준히 하지를 못했었는데..ㅎㅎㅠㅠ 허리는 제 일상생활에 중요한 영향을 미치다 보니 매일 하려고 노력했습니다. 그렇게 약 한달정도 꾸준히 하다 보니 더이상 허리가 아파서 못앉아있겠다는 생각은 들지 않았습니다! 지금은 허리스트레칭 영상을 따라한지 3~4개월정도 됐고(사실 요즘은 매일은 못하고 일주일에 두번정도 해용ㅠㅠ), 지난 주말 학원에 가서 아침부터 저녁까지 점심시간이나 화장실 가는 시간을 빼고 계속 앉아있었는데도 예전처럼 허리가 뽀개질거같다는 생각이 전혀 안들었어요ㅠㅠㅠ 감동 받아 이렇게 댓글 남깁니다ㅠㅠㅠㅠ 다른 사람들이 들으면 핑계라고 생각하겠지만 허리가 너무 아파 공부하는데 방해?가 많이 됐었어요ㅠㅠ 근데 이제 덕분에 오래 앉아있습니다ㅠㅠ 감사합니다! 앞으로는 땅끄선생님들 믿고 다른 운동도 꾸준히 따라하겠습니다ㅠㅠㅠㅠㅠ 들숨에 건강을 얻고 날숨에 돈을 얻으시길 바랄게요!",3년 전(수정됨)
1,  @user-lh8kj5gs3j,"고3이라 공부하다보면 허리가 자주 아픈데 작년에 이 영상을 처음 따라해보고 효과가 너무 좋아서 그 뒤로 아플때마다 해요 !!! 운동이 복잡하지도, 길지도 않아서 너무 좋아요 친구들이랑 가족들한테도 추천했어요 ㅎㅎㅎㅎ 늘 좋은 영상 올려주시고 선한 영향력 주셔서 감사합니다  오늘 하루도 행복하세요 ",2년 전
2,  @ohell9767,"몇개월전부터 헬스 시작했는데 기구운동을 잘못했는지 허리통증이 또 생겨서 오랜만에 스트레칭하러 왔어요! 업로드해주신 영상들로 여전히 도움받고 있습니다, 소식이 없으셔서 걱정되는 마음도 있지만 어디서든 두분 잘 지내실거라고 믿어요 :) 언젠가 꼭 다시 영상으로 뵐 수 있었으면 좋겠습니다. 늘 건강하시길️",1개월 전
3,  @user-kh8qo2fj4c,며칠동안 안좋은자세로 생활했더니 허리가 아팠는데 이거 한번 따라하니까 통증이 바로  없어졌어요!!앞으로는 항상 바른자세 유지하면서 꾸준히 스트레칭도 해주면 허리건강에 정말 좋을것같아요!!,2년 전
4,  @slow_eye,"할 때마다 느끼는거지만 허리스트레칭에는 이 영상이 최고인 것 같아요! 하기 전후 차이가 확실히 느껴집니다~~ 특히 마지막 동작은 허리가 시원해지는 킬링포인트네요! 항상 감사드려요, 땅끄부부님",2년 전
5,  @user-pc1gt9nc5u,"요즘 집에서 수업 들으면서 하루 일과를 계속 같은 곳에 앉아 지내다 보니까 허리가 아프고 그랬는데, 어제부터 영상 한 번씩 따라하니깐 금세 허리 컨디션이 다시 복귀되는 느낌을 받았어요 앞으로 제 일과에 이 영상이 맨날 함께할 것 같아요 좋은 영상 올려주셔서 감사합니다",2년 전
6,  @user-yh7nt1wi2f,9일차 동작이 많은 운동은 하기 힘들어서 이틀째 스트레칭 위주로 하는데 진짜 너무 좋아요 ! 허리 힐링 하고갑니당 :),2년 전
7,  @user-wc4ji9ty1l,뻐근했던 허리가 시원하게 다 풀렸어요~ 진짜 좋아요 운동할때마다 땅끄선생님 부부께 감사드려요,3년 전
8,  @user-iu4po4dj8e,땅끄부부 운동 다시 시작한 지 1주일이 됐습니다. 어떤 운동을 하던 마무리는 허리 스트레칭이나 전신 스트레칭으로 끝냈는데 정말 부담이 안 가면서 몸이 노곤해지는 스트레칭 같아요! 진짜 영상 잘 보고 있습니다~ 땅끄부부님들 보면서 하루 마무리 합니다~ 고맙습니다^^!,2년 전
9,  @ItemHazard,This video helped my back pain; thank you! ♡,1년 전
