,아이디,댓글 내용,댓글 시간
0,  @sym8540,상당히 디테일하시고 운동을 처음접하는 사람들의 상황을 딱잡아주시네요  좋아요!,5년 전
1,  @user-zd1zv4vo9d,언니언니 덕분에 허리통증이 나아졌어요! 제가 허리 근육이 없어서 허리가 자주 휘었었 거든요.무료로 좋은일 해주셔서 집에서 완치할 운동을 할수 있었어요...정말 감사해요..앞으로도 좋은 동영상 올려주세요!!사랑해용용,5년 전
2,  @user-ub2ho5zv8x,정말 설명 자세히 잘 해주시네요.저의 잘못된 점을 또 알게 됐습니다.  이제라도 선생님 동영상 접하게 되어 감사한 맘입니다.하나씩 다 보면서 저의 잘못된 동작을 고쳐나가다보면 허리도 좋아져서 일상생활 할 수 있겠죠!!♡,5년 전
3,  @user-tx7vm7iv3v,2년 넘게 운동을 해오면서 첨으로 허리가 아파졌어요. 마사지를 받으러 갔더니 고관절을 많이 써서 그렇다고 해서 고관절을 안쓰고 할 수 있는 운동을 찾고 있었는데 이번 영상은 너무너무 도움이 많이 되었습니다. 감사합니다!,5년 전
4,  @user-ct6ij2fi9r,"고민수 선생님 영상보며 운동 열씨미 따라하고 있습니다. 허리가 많이 아팠는데 올려주신 영상을 보고 따라하다보니 허리통증이 개선되고 있음을 느끼고 있습니다. 역시나 코어가 약해서 허리통증이 있었던것 같은데, 운동을 하다보니 제 몸에 유독 복근이 약하고 지방이 많다는것을 깨달았습니다. 저처럼 코어가 약해서 허리통증 있는 사람은 운동할수있는 방법이 이 두가지 운동밖에 없는건가요? 다른 운동법도 있다면 추가 영상 부탁드리겠습니다. 열정적인 영상 늘 감사합니다^^",4년 전
5,  @user-sb3el1th6k,너무나도  상세하게 설명해주시니  이해가되며배우게 되니 너무 좋와요감사합니다,4년 전
6,  @chaeyeonkang1695,감사합니다 ㅠㅠ 제대로 운동하는 법을 선생님 덕분에 배워갑니당 ㅎㅎ,4년 전
7,  @patklisa8882,진짜 설명 잘해 주시네요감사 합니다...♡♡♡,5년 전
8,  @parkyj9566,"와,, 오늘 처음봤는데 너무너무 좋으네요,, 운동할때 많은 도움받고 따라할게요",4년 전
9,  @user-xk7ww6bo5f,정말 저에게 도움이 많이 되는 영상이에요~ 감사합니다 ㅎㅎ,5년 전
10,  @user-tq3je2nd8o,아 복근운동할때 고관절개입이 최대한적게 되어야 하는군요유익한 동영상 감사합니다,5년 전
11,  @i52572718,어쩐지 허리가아프며 배 근육이 땡긴다는 느낌이 있었는데 이때동안 올라오는거에 기준을 둬서 그랬네요 ㅜㅜ 좋은 정보 너무감사해요!,5년 전
12,  @user-ic7rx5xt6y,멋지다 진심 요새 자고나면 허리가많이아픈데 감사합니다♡,5년 전
13,  @CHOI8990319,제대로 이해하고 갑니다 잘봤습니다!,5년 전
14,  @user-br6fx2vt3x,오우~~깨알같은 정보 감사합니다 그냥 지나칠수도 있는 사실인데... 새롭네요^^집중해서 해볼게요^^ 아자자!!,5년 전
15,  @jwsblue15,강사님 굿 도움 많이되요 감사해요,5년 전
16,  @sip425,복근운동할때 최대한 고관절 개입안하고 복근에 힘주고 올라와야하나요?,3년 전
17,  @1ooog51,잘보았습니다~ 날씨가 점점 따뜻해지네요. 환절기 감기 조심하시고 화이팅~,5년 전
18,  @user-xz7ms1bb6k,감사해요~허리 아팠는데 이렇게하니 허리가 안아파요^^,4년 전
19,  @corex3385,고민수 트레이너님 영상 너무 많은 도움됩니다 ^^,5년 전
20,  @olwaysbe1,어느정도 효과를 보기위해선 각각 몇세트씩 혹은 몇분 정도가 적당할까요?,5년 전
21,  @user-ff4cs2bg8u,오른쪽 날개쭉지가 넘 아파요도움돼는 동작 알려주세요꾸준히 따라하고 있어요많은 도움이 돼요 고맙습니다,4년 전
22,  @moseshan6313,많이 도움이되네요 운동방법을 잘몰라 고관절이 pain이 있었는데 이 방법이 좋은것 같읍니다감사합니다,5년 전
23,  @user-yd4du7tc7h,쌤 저는 올해 47살인데요 민수쌤 구독하면서 쌤몸매가 너무 건강해 보이고 예뻐보여서  저도 헬스클럽2번을 개인 PT를 받고 진짜 몸이 많이 예뻐진거예요 근데 이번 휴가때 장시간 왕복(26)시간를 불편하게 비행기안에서 무리한탓인지 휴가 다녀와서 허리가 아프더니 엉덩이까지 통증이 내려오더라구요ㅠ 그래서 정형외과 가서 먼저 엑스레이를 찍으니 정상이라고는 하시는데 증상은 디스크초기 증상으로 MR을 찍어 봐야지만 정확하게 알수 있다고 하시면서 당분간 운동도 하지마라고 하시더라구요ᆢㅠ이제 헬스에 적응해서 3번째도 끊어놓은 상태거든요.몸만들어 놓은거 다 숲으로 돌아가나 싶고 중요한건 운동을 못할까봐 너무 우울해요이럴땐 어떻게 해야되는지 민수쌤의 견해를 듣고 싶네요ᆢ 쌤 창팅방에 들어가서 인사도 하고싶은데 하며서 몸만드는데 한참 푹 빠져 있는데 허리디스크초기라고 하면서 운동을 못하게 해요 ᆢㅠ 너무 슬퍼서 우울해요ᆢ2번 PT 끊고 다시 헬쓰3개월 다시 끊은지도 얼마안됐는데 ᆢ이럴땐 의사말대로 운동을 하지말아야 될까요 아님 트레이닝선생님께서는 더 근력을 키우라고 하시고 어떻게 해야될까요.민수쌤 보고 헬쓰시작했는데 몸이 너무 예뻐지는거예요. 그런데 갑자기 허리디스크초기라해서 어떻게 해야될지 몰라서 여쭙습니다. 이런 사례가 있거나 좋은 견해 부탁드립니다.참 쌤 한번씩 막 단체톡할때 어떻게 들어간지는 몰라서 그냥 구독 좋아요만 누르고 있는 폰맹이라ㅜㅜ 쌤의 이름부르면서 하이하이 듣고 싶어도 구경만 해지고ㅠ 좋은 말씀 부탁드립니다,3년 전(수정됨)
24,  @user-ur9eh2sz2v,크런치할때 하복부 자극이 덜되는데 하복근 운동이 되는건가요?? 아니면 고관절 개입 없이 하복운동하려면 두번째 운동을 해야하는 건가여?,3년 전
25,  @yonglimlee,레이즈나 코어 운동할 때마다 고관절 쪽에서 소리가 나서 찝찝했는데... 드디어 의문이 풀렸어요!,4년 전
26,  @user-jt4tp2vg4w,와우~~진짜구체적으로 갈켜주시네요 완짱이네요,5년 전
27,  @user-io7kv4lz4y,말씀도 이뿌게하시고 귀에 속속 들어오네요 땡큐입니다!,4년 전
28,  @user-qe2kj2rv3z,민수쌤 진짜 딱맞아요,4년 전
29,  @jhk1932,알려주신 동작할때 목뒤가 힘이 많이 들어가서 무리가 가지 않나 싶은데 어떻게 해야하나요. 손으로 지지하거나 수건사용도 했습니다. ,5년 전
30,  @user-jl4qo6iv4e,"허리가 완전히 들려지지 않아도 된다...영상 유심히 잘봤어요!!선생님 근데 궁금한게, 체지방이 아직 많은상태에서 근력운동을하면근육이 더 펌핑되어서 체지방이 더욱 안빠진다는데 사실인가요? 유산소로 완전히 날씬한 몸매를 만든 이후에 웨이트를 해줘야하는지요? 궁금해요!",5년 전
31,  @user-my3lx9mr7z,스쿼트가 허리협착증에 어떤영향을 주나요^^,3년 전
32,  @user-pi7uv5gx4d,도움이 되는 영상이네요,5년 전
33,  @lea63jeung20,척추협착이라서 시술도 받았는데요어떤 운동이 적합한지추천해주세요,4년 전
34,  @user-sq5wf6dj5k,정말 감사합니다,2년 전
35,  @jaesuan6763,짱이십니다.!!!,5년 전
36,  @agada1746,괜히 전문가가 아니네요. 감사합니다,4년 전
37,  @user-ss4ed3pd6k,잘 봤습니다. 감사합니다. 윗몸 일으키기도 걍 하면 되는게 아니네요.,5년 전
38,  @user-ml1ek8qi3m,이 운동이 척추교정에도도움이되나요??,4년 전
39,  @user-pt9de5my6w,잘못된 운동법 설명이 너무  유용합니다,5년 전
40,  @user-pg4vg1ub8j,의사분만큼 설명을 잘해주십니다~~,5년 전
41,  @user-fn3xz5is3k,좋은정보감사들입니다,5년 전
42,  @user-co5pi3gh5w,목뒤로 깍지 끼는건 안좋은거로 알고 있습니다.힘 쓰다보면 목 경추를 당길수 있어서 목디스크의 위험이 있다는거 알고 있습니다.민수님도 당기시는 영상인듯해서 이게 맞는건지 궁금하네요.,4년 전
43,  @user-cb7xh8ez9h,감사합니다,5년 전
44,  @user-jc1bt3ou5q,74세 이고요 수영도 한20년 했고요. 무릎강화를 위해핼스시작 10개월됬고요1. 헌데다리올리는거2. 다리벌리는거3. 다리 미는거이 3가지 주로 집중적으로 합니다헌데 허리에 무리가 가는지안가는지 궁금합니다이3가지 ~1일~ 20회 를 6셋트씩  합니다감사합니다,5년 전
45,  @user-wv9jo7og3e,유연성 이라곤 1도 없는 사람입니다.  일어서서 바닥에 손끝도 안닷는데요. 이런사람도 유연성이 좋아질수 있나요?,5년 전
46,  @user-dm2yy3ur8k,아놀드홍 이후로 어마무시한 채널을 찾앗다..몇년만이니,5년 전
47,  @user-cb7xh8ez9h,꼬리뼈가 튀어나와서 복근근 누워하는데 불편해요 그래도 저한테맞는 영상보고 할께요,5년 전
48,  @user-ld2qw8ob3x,마이크 있으니까 잘 들리고 정말 좋아요!ㅎ 그런데 크런치 할때 허리를 붙이라는데 허리가 안 붙는데 어떡하나여ㅠㅠ,5년 전
49,  @user-dl5jg2ix9n,멋지세요 ^^,5년 전
50,  @user-tl1bu5lx7u,고맙습니다 그래서 아펐네요 감사합니다,5년 전
51,  @user-qj7ur2bg2b,혹시 허리 아픈 사람이 해도 되나요?,2년 전
52,  @user-cz9kh2do5q,허리디스크 환자가 해도되나요?,2년 전
53,  @Snlee1006,_많은 도움이,5년 전
54,  @user-bg4wc8js4j,역류성식도염에좋은운동혹시있나요,5년 전
55,  @user-iw9hl9pf8o,레그레이즈 하루 200개씩 했더니 몇달 했더니 허리가 아프던데 그래서 그렇군요.,5년 전
56,  @user-fn3xz5is3k,허리않좋은데   감사합니다,5년 전
57,  @user-rl5kw4xn6h,그래도 아픈데여 ㅠㅠ 다른 진짜 안아픈운동없나요 허리가 좀않좋은거같아요 살려주세요,3년 전
58,  @user-qg2wi5ju6s,내장지방빼는 운동법좀요.,5년 전
59,  @user-ky1vn8my2b,오오  오우!!!!,5년 전
60,  @k-idolk-followerlife2070,저는 어깨와 목 쪽이 더 아픈데 어떡하죠?,5년 전
61,  @territan7839,could you put english subtitle,5년 전
62,  @p23225815,좋아요.,5년 전
63,  @user-rw1pb8jf9s,밴드가 없는데 어떻하죠?,5년 전
64,  @user-ge2cj3bg2m,좋아요,5년 전
65,  @pgh020719,ㄳ합니다,5년 전
66,  @user-pm9rg3ql1i,서서 해도 되나요 무릅이 좋지 못하는 사람은 무릅을 못 꿇잖아요,4년 전
67,  @gade2020,남자가 해도 되는 운동일까요?,5년 전
68,  @user-em7iv9ey6l,남자들도해도되는스트레칭이겠죠...?,5년 전
69,  @RoniTadeuLiodete,good,5년 전
70,  @sometime7151,"2:27 wow, what a fit body, look at those arms.!!! So hot",3년 전
71,  @user-lz5ht3zs7w,허리 디스크 있는 사람에게는 오히려 악화시키는 운동이 아닐까요? 상체를 굽히는 복근운동은 디스크에 치명적입니다. 제목이 적절치 않다고 봅니다.,2년 전
72,  @user-op2kb5fp6g,이놈의 알고리즘이란;;,1년 전
73,  @MinsooGo,제 영상을시청해 주셔서 감사드려요!~ 궁금한 점은 언제든 댓글로!! 인스타그램은 minsoogo 입니다 ^^,5년 전
74,  @user-jp3hg2eh4w,바다 닮으셨당...,5년 전
75,  @dargusto6298,지난주 성수동 빵공장에 2층에서 빵드시던데 맞죠?,5년 전
76,  @yejilee6797,04:00,3년 전
77,  @user-re7df2rm6h,결혼하셨어요?넘 몸매도이쁘고 얼굴도이쁘고 목소리드좋으시고 전 멋진몸만들어서 고민수선수님같은처자만나서 꼭결혼하고싶네요 ㅜㅜ,5년 전
78,  @user-rs1lo3qt7z,니가 의사가,5년 전
79,  @user-jk9ot4yq3i,감사합니다,5년 전
80,  @user-rr6rf6ro2k,좋아요,5년 전
81,  @user-pp2dm4nx7e,좋아요,5년 전
82,  @user-cb9bd6pp9k,좋아요,5년 전
