date,interest
Jan-17,46
Feb-17,51
Mar-17,74
Apr-17,63
May-17,64
Jun-17,77
Jul-17,75
Aug-17,62
Sep-17,78
Oct-17,67
Nov-17,68
Dec-17,52
Jan-18,43
Feb-18,45
Mar-18,64
Apr-18,61
May-18,56
Jun-18,61
Jul-18,61
Aug-18,60
Sep-18,65
Oct-18,57
Nov-18,58
Dec-18,48
Jan-19,41
Feb-19,44
Mar-19,67
Apr-19,58
May-19,59
Jun-19,71
Jul-19,63
Aug-19,56
Sep-19,66
Oct-19,60
Nov-19,54
Dec-19,39
Jan-20,36
Feb-20,31
Mar-20,29
Apr-20,34
May-20,52
Jun-20,37
Jul-20,37
Aug-20,30
Sep-20,33
Oct-20,31
Nov-20,37
Dec-20,26
Jan-21,22
Feb-21,27
Mar-21,39
Apr-21,32
May-21,33
Jun-21,45
Jul-21,100
Aug-21,47
Sep-21,40
Oct-21,42
Nov-21,45
Dec-21,39
Jan-22,32
Feb-22,28
Mar-22,38
Apr-22,52
May-22,58
Jun-22,58
Jul-22,56
Aug-22,53
Sep-22,50
Oct-22,54
Nov-22,47
