date,interest
Jan-17,41
Feb-17,41
Mar-17,46
Apr-17,38
May-17,38
Jun-17,40
Jul-17,47
Aug-17,39
Sep-17,42
Oct-17,39
Nov-17,49
Dec-17,56
Jan-18,49
Feb-18,43
Mar-18,48
Apr-18,46
May-18,47
Jun-18,45
Jul-18,60
Aug-18,54
Sep-18,51
Oct-18,49
Nov-18,45
Dec-18,71
Jan-19,54
Feb-19,65
Mar-19,61
Apr-19,48
May-19,60
Jun-19,62
Jul-19,65
Aug-19,63
Sep-19,59
Oct-19,61
Nov-19,65
Dec-19,75
Jan-20,76
Feb-20,75
Mar-20,67
Apr-20,67
May-20,72
Jun-20,66
Jul-20,76
Aug-20,83
Sep-20,77
Oct-20,74
Nov-20,71
Dec-20,77
Jan-21,71
Feb-21,75
Mar-21,61
Apr-21,60
May-21,68
Jun-21,66
Jul-21,76
Aug-21,71
Sep-21,74
Oct-21,73
Nov-21,70
Dec-21,82
Jan-22,91
Feb-22,91
Mar-22,77
Apr-22,88
May-22,84
Jun-22,89
Jul-22,97
Aug-22,100
Sep-22,83
Oct-22,83
Nov-22,86
