date,interest
Jan-17,17
Feb-17,27
Mar-17,30
Apr-17,20
May-17,24
Jun-17,24
Jul-17,22
Aug-17,16
Sep-17,17
Oct-17,16
Nov-17,19
Dec-17,16
Jan-18,24
Feb-18,25
Mar-18,30
Apr-18,18
May-18,28
Jun-18,29
Jul-18,24
Aug-18,34
Sep-18,22
Oct-18,15
Nov-18,18
Dec-18,17
Jan-19,21
Feb-19,20
Mar-19,19
Apr-19,23
May-19,23
Jun-19,30
Jul-19,26
Aug-19,38
Sep-19,32
Oct-19,31
Nov-19,30
Dec-19,23
Jan-20,28
Feb-20,25
Mar-20,19
Apr-20,26
May-20,29
Jun-20,28
Jul-20,30
Aug-20,32
Sep-20,23
Oct-20,19
Nov-20,30
Dec-20,14
Jan-21,19
Feb-21,25
Mar-21,23
Apr-21,23
May-21,31
Jun-21,28
Jul-21,41
Aug-21,100
Sep-21,35
Oct-21,28
Nov-21,31
Dec-21,31
Jan-22,40
Feb-22,39
Mar-22,39
Apr-22,37
May-22,45
Jun-22,45
Jul-22,49
Aug-22,49
Sep-22,45
Oct-22,47
Nov-22,41
