date,interest
Jan-17,47
Feb-17,56
Mar-17,54
Apr-17,57
May-17,53
Jun-17,63
Jul-17,50
Aug-17,47
Sep-17,53
Oct-17,49
Nov-17,42
Dec-17,50
Jan-18,49
Feb-18,48
Mar-18,48
Apr-18,49
May-18,56
Jun-18,42
Jul-18,55
Aug-18,52
Sep-18,52
Oct-18,41
Nov-18,45
Dec-18,47
Jan-19,44
Feb-19,41
Mar-19,50
Apr-19,49
May-19,47
Jun-19,49
Jul-19,47
Aug-19,45
Sep-19,46
Oct-19,41
Nov-19,41
Dec-19,39
Jan-20,38
Feb-20,33
Mar-20,31
Apr-20,67
May-20,76
Jun-20,59
Jul-20,43
Aug-20,35
Sep-20,30
Oct-20,33
Nov-20,39
Dec-20,28
Jan-21,27
Feb-21,25
Mar-21,31
Apr-21,32
May-21,28
Jun-21,35
Jul-21,100
Aug-21,99
Sep-21,34
Oct-21,36
Nov-21,42
Dec-21,35
Jan-22,32
Feb-22,49
Mar-22,41
Apr-22,44
May-22,45
Jun-22,43
Jul-22,39
Aug-22,41
Sep-22,35
Oct-22,34
Nov-22,39
