date,interest
Jan-17,49
Feb-17,53
Mar-17,60
Apr-17,52
May-17,53
Jun-17,53
Jul-17,62
Aug-17,54
Sep-17,55
Oct-17,59
Nov-17,61
Dec-17,61
Jan-18,65
Feb-18,63
Mar-18,64
Apr-18,64
May-18,61
Jun-18,63
Jul-18,78
Aug-18,73
Sep-18,69
Oct-18,67
Nov-18,68
Dec-18,68
Jan-19,74
Feb-19,73
Mar-19,79
Apr-19,67
May-19,73
Jun-19,88
Jul-19,92
Aug-19,89
Sep-19,91
Oct-19,81
Nov-19,87
Dec-19,79
Jan-20,100
Feb-20,96
Mar-20,92
Apr-20,81
May-20,85
Jun-20,95
Jul-20,93
Aug-20,92
Sep-20,83
Oct-20,74
Nov-20,81
Dec-20,77
Jan-21,78
Feb-21,78
Mar-21,73
Apr-21,72
May-21,70
Jun-21,70
Jul-21,72
Aug-21,68
Sep-21,66
Oct-21,67
Nov-21,68
Dec-21,68
Jan-22,76
Feb-22,74
Mar-22,77
Apr-22,84
May-22,90
Jun-22,90
Jul-22,94
Aug-22,93
Sep-22,83
Oct-22,76
Nov-22,83
