date,interest
Jan-17,3
Feb-17,3
Mar-17,4
Apr-17,3
May-17,3
Jun-17,5
Jul-17,8
Aug-17,7
Sep-17,6
Oct-17,6
Nov-17,7
Dec-17,7
Jan-18,9
Feb-18,10
Mar-18,9
Apr-18,10
May-18,13
Jun-18,12
Jul-18,15
Aug-18,14
Sep-18,15
Oct-18,14
Nov-18,17
Dec-18,19
Jan-19,22
Feb-19,29
Mar-19,22
Apr-19,22
May-19,23
Jun-19,22
Jul-19,28
Aug-19,26
Sep-19,25
Oct-19,23
Nov-19,26
Dec-19,37
Jan-20,40
Feb-20,47
Mar-20,65
Apr-20,64
May-20,62
Jun-20,53
Jul-20,62
Aug-20,74
Sep-20,72
Oct-20,64
Nov-20,58
Dec-20,81
Jan-21,96
Feb-21,88
Mar-21,73
Apr-21,67
May-21,67
Jun-21,64
Jul-21,78
Aug-21,66
Sep-21,87
Oct-21,80
Nov-21,96
Dec-21,96
Jan-22,100
Feb-22,96
Mar-22,78
Apr-22,67
May-22,62
Jun-22,62
Jul-22,86
Aug-22,76
Sep-22,66
Oct-22,62
Nov-22,55
