date,interest
Jan-17,64
Feb-17,58
Mar-17,59
Apr-17,51
May-17,72
Jun-17,63
Jul-17,58
Aug-17,65
Sep-17,70
Oct-17,64
Nov-17,70
Dec-17,62
Jan-18,67
Feb-18,62
Mar-18,68
Apr-18,72
May-18,65
Jun-18,58
Jul-18,63
Aug-18,57
Sep-18,60
Oct-18,58
Nov-18,65
Dec-18,66
Jan-19,64
Feb-19,76
Mar-19,74
Apr-19,66
May-19,67
Jun-19,64
Jul-19,68
Aug-19,66
Sep-19,65
Oct-19,66
Nov-19,73
Dec-19,93
Jan-20,67
Feb-20,69
Mar-20,63
Apr-20,63
May-20,57
Jun-20,65
Jul-20,60
Aug-20,71
Sep-20,67
Oct-20,79
Nov-20,87
Dec-20,78
Jan-21,84
Feb-21,87
Mar-21,71
Apr-21,61
May-21,68
Jun-21,69
Jul-21,73
Aug-21,70
Sep-21,75
Oct-21,81
Nov-21,88
Dec-21,87
Jan-22,88
Feb-22,84
Mar-22,74
Apr-22,71
May-22,69
Jun-22,71
Jul-22,82
Aug-22,83
Sep-22,80
Oct-22,81
Nov-22,100

