date,interest
Jan-17,34
Feb-17,34
Mar-17,31
Apr-17,33
May-17,33
Jun-17,44
Jul-17,39
Aug-17,36
Sep-17,42
Oct-17,46
Nov-17,46
Dec-17,52
Jan-18,54
Feb-18,57
Mar-18,42
Apr-18,36
May-18,39
Jun-18,50
Jul-18,44
Aug-18,46
Sep-18,41
Oct-18,39
Nov-18,40
Dec-18,42
Jan-19,39
Feb-19,51
Mar-19,38
Apr-19,33
May-19,36
Jun-19,40
Jul-19,35
Aug-19,37
Sep-19,43
Oct-19,45
Nov-19,51
Dec-19,69
Jan-20,63
Feb-20,65
Mar-20,68
Apr-20,54
May-20,60
Jun-20,62
Jul-20,54
Aug-20,73
Sep-20,61
Oct-20,57
Nov-20,63
Dec-20,82
Jan-21,61
Feb-21,67
Mar-21,51
Apr-21,46
May-21,53
Jun-21,54
Jul-21,65
Aug-21,57
Sep-21,58
Oct-21,63
Nov-21,63
Dec-21,67
Jan-22,82
Feb-22,100
Mar-22,81
Apr-22,69
May-22,66
Jun-22,76
Jul-22,74
Aug-22,74
Sep-22,67
Oct-22,68
Nov-22,72
