date,interest
Jan-17,100
Feb-17,92
Mar-17,68
Apr-17,82
May-17,81
Jun-17,67
Jul-17,74
Aug-17,77
Sep-17,62
Oct-17,66
Nov-17,60
Dec-17,72
Jan-18,78
Feb-18,80
Mar-18,65
Apr-18,71
May-18,63
Jun-18,62
Jul-18,71
Aug-18,67
Sep-18,66
Oct-18,70
Nov-18,80
Dec-18,71
Jan-19,82
Feb-19,76
Mar-19,57
Apr-19,58
May-19,67
Jun-19,69
Jul-19,70
Aug-19,63
Sep-19,57
Oct-19,60
Nov-19,65
Dec-19,66
Jan-20,77
Feb-20,78
Mar-20,72
Apr-20,76
May-20,70
Jun-20,58
Jul-20,66
Aug-20,85
Sep-20,70
Oct-20,65
Nov-20,62
Dec-20,66
Jan-21,90
Feb-21,91
Mar-21,76
Apr-21,75
May-21,68
Jun-21,61
Jul-21,75
Aug-21,76
Sep-21,65
Oct-21,69
Nov-21,64
Dec-21,72
Jan-22,78
Feb-22,82
Mar-22,65
Apr-22,70
May-22,64
Jun-22,57
Jul-22,66
Aug-22,71
Sep-22,62
Oct-22,68
Nov-22,71
