date,interest
Jan-17,37
Feb-17,40
Mar-17,35
Apr-17,32
May-17,37
Jun-17,38
Jul-17,37
Aug-17,31
Sep-17,33
Oct-17,36
Nov-17,37
Dec-17,38
Jan-18,35
Feb-18,36
Mar-18,36
Apr-18,49
May-18,45
Jun-18,34
Jul-18,32
Aug-18,43
Sep-18,41
Oct-18,38
Nov-18,50
Dec-18,47
Jan-19,45
Feb-19,51
Mar-19,34
Apr-19,39
May-19,42
Jun-19,53
Jul-19,72
Aug-19,48
Sep-19,38
Oct-19,48
Nov-19,49
Dec-19,59
Jan-20,58
Feb-20,55
Mar-20,55
Apr-20,58
May-20,90
Jun-20,86
Jul-20,81
Aug-20,100
Sep-20,96
Oct-20,60
Nov-20,42
Dec-20,48
Jan-21,43
Feb-21,52
Mar-21,43
Apr-21,47
May-21,65
Jun-21,83
Jul-21,63
Aug-21,44
Sep-21,40
Oct-21,49
Nov-21,50
Dec-21,41
Jan-22,48
Feb-22,43
Mar-22,43
Apr-22,50
May-22,42
Jun-22,43
Jul-22,43
Aug-22,41
Sep-22,42
Oct-22,49
Nov-22,59
