date,interest
Jan-17,36
Feb-17,33
Mar-17,36
Apr-17,43
May-17,53
Jun-17,39
Jul-17,45
Aug-17,44
Sep-17,37
Oct-17,47
Nov-17,46
Dec-17,48
Jan-18,27
Feb-18,30
Mar-18,45
Apr-18,37
May-18,57
Jun-18,41
Jul-18,41
Aug-18,43
Sep-18,46
Oct-18,46
Nov-18,41
Dec-18,45
Jan-19,31
Feb-19,45
Mar-19,51
Apr-19,42
May-19,58
Jun-19,49
Jul-19,57
Aug-19,56
Sep-19,48
Oct-19,54
Nov-19,43
Dec-19,40
Jan-20,54
Feb-20,36
Mar-20,39
Apr-20,38
May-20,65
Jun-20,43
Jul-20,40
Aug-20,39
Sep-20,37
Oct-20,45
Nov-20,45
Dec-20,40
Jan-21,42
Feb-21,36
Mar-21,47
Apr-21,52
May-21,49
Jun-21,60
Jul-21,55
Aug-21,61
Sep-21,60
Oct-21,73
Nov-21,63
Dec-21,49
Jan-22,62
Feb-22,74
Mar-22,70
Apr-22,87
May-22,100
Jun-22,82
Jul-22,68
Aug-22,63
Sep-22,78
Oct-22,88
Nov-22,97

