date,interest
Jan-17,70
Feb-17,67
Mar-17,70
Apr-17,70
May-17,75
Jun-17,77
Jul-17,64
Aug-17,68
Sep-17,73
Oct-17,81
Nov-17,74
Dec-17,80
Jan-18,79
Feb-18,79
Mar-18,76
Apr-18,76
May-18,78
Jun-18,77
Jul-18,71
Aug-18,76
Sep-18,82
Oct-18,74
Nov-18,73
Dec-18,77
Jan-19,81
Feb-19,86
Mar-19,84
Apr-19,79
May-19,86
Jun-19,86
Jul-19,86
Aug-19,81
Sep-19,93
Oct-19,81
Nov-19,88
Dec-19,85
Jan-20,86
Feb-20,96
Mar-20,70
Apr-20,73
May-20,79
Jun-20,75
Jul-20,77
Aug-20,75
Sep-20,71
Oct-20,75
Nov-20,74
Dec-20,70
Jan-21,73
Feb-21,78
Mar-21,68
Apr-21,68
May-21,72
Jun-21,75
Jul-21,73
Aug-21,74
Sep-21,73
Oct-21,73
Nov-21,88
Dec-21,83
Jan-22,98
Feb-22,89
Mar-22,87
Apr-22,100
May-22,96
Jun-22,92
Jul-22,93
Aug-22,97
Sep-22,100
Oct-22,96
Nov-22,98
