date,interest
Jan-17,15
Feb-17,16
Mar-17,24
Apr-17,79
May-17,89
Jun-17,94
Jul-17,95
Aug-17,94
Sep-17,100
Oct-17,78
Nov-17,31
Dec-17,23
Jan-18,21
Feb-18,23
Mar-18,34
Apr-18,77
May-18,86
Jun-18,88
Jul-18,70
Aug-18,70
Sep-18,75
Oct-18,68
Nov-18,33
Dec-18,21
Jan-19,19
Feb-19,20
Mar-19,35
Apr-19,65
May-19,71
Jun-19,70
Jul-19,53
Aug-19,60
Sep-19,49
Oct-19,38
Nov-19,31
Dec-19,18
Jan-20,20
Feb-20,19
Mar-20,17
Apr-20,18
May-20,51
Jun-20,56
Jul-20,59
Aug-20,60
Sep-20,56
Oct-20,57
Nov-20,29
Dec-20,20
Jan-21,18
Feb-21,23
Mar-21,19
Apr-21,52
May-21,55
Jun-21,58
Jul-21,48
Aug-21,72
Sep-21,50
Oct-21,56
Nov-21,29
Dec-21,18
Jan-22,16
Feb-22,17
Mar-22,21
Apr-22,51
May-22,58
Jun-22,58
Jul-22,50
Aug-22,55
Sep-22,57
Oct-22,48
Nov-22,31
