date,interest
Jan-17,15
Feb-17,16
Mar-17,25
Apr-17,19
May-17,31
Jun-17,21
Jul-17,18
Aug-17,25
Sep-17,29
Oct-17,29
Nov-17,24
Dec-17,27
Jan-18,23
Feb-18,21
Mar-18,22
Apr-18,20
May-18,21
Jun-18,100
Jul-18,41
Aug-18,93
Sep-18,67
Oct-18,34
Nov-18,29
Dec-18,40
Jan-19,80
Feb-19,32
Mar-19,35
Apr-19,30
May-19,32
Jun-19,99
Jul-19,29
Aug-19,32
Sep-19,36
Oct-19,43
Nov-19,46
Dec-19,45
Jan-20,46
Feb-20,27
Mar-20,22
Apr-20,14
May-20,17
Jun-20,21
Jul-20,26
Aug-20,24
Sep-20,37
Oct-20,39
Nov-20,43
Dec-20,41
Jan-21,35
Feb-21,38
Mar-21,39
Apr-21,41
May-21,32
Jun-21,52
Jul-21,69
Aug-21,47
Sep-21,58
Oct-21,62
Nov-21,55
Dec-21,37
Jan-22,41
Feb-22,47
Mar-22,54
Apr-22,49
May-22,56
Jun-22,73
Jul-22,47
Aug-22,56
Sep-22,62
Oct-22,58
Nov-22,91
