date,interest
Jan-17,31
Feb-17,26
Mar-17,53
Apr-17,80
May-17,79
Jun-17,39
Jul-17,46
Aug-17,44
Sep-17,88
Oct-17,89
Nov-17,37
Dec-17,32
Jan-18,32
Feb-18,25
Mar-18,52
Apr-18,67
May-18,64
Jun-18,35
Jul-18,43
Aug-18,36
Sep-18,65
Oct-18,97
Nov-18,36
Dec-18,31
Jan-19,34
Feb-19,26
Mar-19,58
Apr-19,73
May-19,76
Jun-19,45
Jul-19,39
Aug-19,41
Sep-19,68
Oct-19,89
Nov-19,41
Dec-19,33
Jan-20,28
Feb-20,22
Mar-20,18
Apr-20,19
May-20,19
Jun-20,19
Jul-20,17
Aug-20,15
Sep-20,17
Oct-20,27
Nov-20,20
Dec-20,15
Jan-21,11
Feb-21,13
Mar-21,17
Apr-21,18
May-21,18
Jun-21,16
Jul-21,14
Aug-21,13
Sep-21,18
Oct-21,27
Nov-21,26
Dec-21,15
Jan-22,14
Feb-22,15
Mar-22,20
Apr-22,34
May-22,50
Jun-22,30
Jul-22,34
Aug-22,33
Sep-22,66
Oct-22,100
Nov-22,34
