date,interest
Jan-17,88
Feb-17,82
Mar-17,78
Apr-17,84
May-17,83
Jun-17,84
Jul-17,99
Aug-17,92
Sep-17,77
Oct-17,82
Nov-17,73
Dec-17,85
Jan-18,86
Feb-18,71
Mar-18,75
Apr-18,75
May-18,79
Jun-18,89
Jul-18,100
Aug-18,85
Sep-18,72
Oct-18,74
Nov-18,70
Dec-18,80
Jan-19,86
Feb-19,89
Mar-19,69
Apr-19,74
May-19,91
Jun-19,89
Jul-19,98
Aug-19,88
Sep-19,75
Oct-19,74
Nov-19,74
Dec-19,76
Jan-20,83
Feb-20,46
Mar-20,33
Apr-20,31
May-20,32
Jun-20,33
Jul-20,40
Aug-20,69
Sep-20,41
Oct-20,39
Nov-20,35
Dec-20,33
Jan-21,30
Feb-21,31
Mar-21,30
Apr-21,30
May-21,33
Jun-21,35
Jul-21,34
Aug-21,33
Sep-21,35
Oct-21,42
Nov-21,39
Dec-21,33
Jan-22,33
Feb-22,36
Mar-22,39
Apr-22,50
May-22,57
Jun-22,58
Jul-22,59
Aug-22,56
Sep-22,59
Oct-22,61
Nov-22,62
