date,interest
Jan-17,43
Feb-17,48
Mar-17,62
Apr-17,68
May-17,80
Jun-17,65
Jul-17,65
Aug-17,63
Sep-17,61
Oct-17,54
Nov-17,50
Dec-17,38
Jan-18,45
Feb-18,57
Mar-18,53
Apr-18,70
May-18,59
Jun-18,66
Jul-18,65
Aug-18,66
Sep-18,62
Oct-18,56
Nov-18,53
Dec-18,48
Jan-19,43
Feb-19,35
Mar-19,40
Apr-19,57
May-19,70
Jun-19,61
Jul-19,65
Aug-19,66
Sep-19,61
Oct-19,62
Nov-19,56
Dec-19,51
Jan-20,56
Feb-20,51
Mar-20,74
Apr-20,68
May-20,74
Jun-20,69
Jul-20,73
Aug-20,71
Sep-20,76
Oct-20,76
Nov-20,56
Dec-20,50
Jan-21,53
Feb-21,60
Mar-21,88
Apr-21,100
May-21,88
Jun-21,82
Jul-21,91
Aug-21,89
Sep-21,79
Oct-21,63
Nov-21,48
Dec-21,57
Jan-22,67
Feb-22,73
Mar-22,70
Apr-22,68
May-22,80
Jun-22,73
Jul-22,71
Aug-22,65
Sep-22,63
Oct-22,58
Nov-22,50
