date,interest
Jan-17,62
Feb-17,63
Mar-17,73
Apr-17,64
May-17,67
Jun-17,64
Jul-17,62
Aug-17,60
Sep-17,69
Oct-17,69
Nov-17,75
Dec-17,62
Jan-18,63
Feb-18,64
Mar-18,77
Apr-18,75
May-18,70
Jun-18,65
Jul-18,69
Aug-18,76
Sep-18,81
Oct-18,80
Nov-18,72
Dec-18,64
Jan-19,61
Feb-19,65
Mar-19,77
Apr-19,84
May-19,83
Jun-19,82
Jul-19,74
Aug-19,80
Sep-19,80
Oct-19,90
Nov-19,85
Dec-19,67
Jan-20,67
Feb-20,51
Mar-20,36
Apr-20,37
May-20,39
Jun-20,47
Jul-20,53
Aug-20,45
Sep-20,36
Oct-20,58
Nov-20,61
Dec-20,40
Jan-21,32
Feb-21,40
Mar-21,49
Apr-21,48
May-21,69
Jun-21,61
Jul-21,53
Aug-21,53
Sep-21,58
Oct-21,76
Nov-21,72
Dec-21,58
Jan-22,70
Feb-22,73
Mar-22,82
Apr-22,88
May-22,98
Jun-22,83
Jul-22,91
Aug-22,85
Sep-22,84
Oct-22,81
Nov-22,100
