date,interest
Jan-17,50
Feb-17,56
Mar-17,54
Apr-17,65
May-17,59
Jun-17,59
Jul-17,73
Aug-17,67
Sep-17,62
Oct-17,57
Nov-17,51
Dec-17,51
Jan-18,46
Feb-18,57
Mar-18,47
Apr-18,75
May-18,62
Jun-18,70
Jul-18,54
Aug-18,62
Sep-18,58
Oct-18,59
Nov-18,54
Dec-18,47
Jan-19,48
Feb-19,54
Mar-19,55
Apr-19,63
May-19,76
Jun-19,64
Jul-19,67
Aug-19,64
Sep-19,58
Oct-19,66
Nov-19,62
Dec-19,52
Jan-20,58
Feb-20,48
Mar-20,64
Apr-20,68
May-20,92
Jun-20,83
Jul-20,81
Aug-20,68
Sep-20,75
Oct-20,66
Nov-20,60
Dec-20,63
Jan-21,50
Feb-21,58
Mar-21,74
Apr-21,77
May-21,64
Jun-21,73
Jul-21,74
Aug-21,62
Sep-21,100
Oct-21,86
Nov-21,73
Dec-21,59
Jan-22,88
Feb-22,80
Mar-22,68
Apr-22,83
May-22,89
Jun-22,78
Jul-22,78
Aug-22,69
Sep-22,65
Oct-22,61
Nov-22,72
