date,interest
Jan-17,17
Feb-17,19
Mar-17,27
Apr-17,44
May-17,50
Jun-17,58
Jul-17,59
Aug-17,55
Sep-17,49
Oct-17,36
Nov-17,22
Dec-17,15
Jan-18,15
Feb-18,17
Mar-18,24
Apr-18,35
May-18,48
Jun-18,47
Jul-18,61
Aug-18,42
Sep-18,33
Oct-18,30
Nov-18,21
Dec-18,18
Jan-19,16
Feb-19,19
Mar-19,24
Apr-19,32
May-19,47
Jun-19,52
Jul-19,100
Aug-19,96
Sep-19,77
Oct-19,48
Nov-19,27
Dec-19,23
Jan-20,22
Feb-20,23
Mar-20,31
Apr-20,66
May-20,76
Jun-20,81
Jul-20,89
Aug-20,67
Sep-20,65
Oct-20,76
Nov-20,48
Dec-20,37
Jan-21,32
Feb-21,37
Mar-21,46
Apr-21,58
May-21,68
Jun-21,73
Jul-21,71
Aug-21,68
Sep-21,68
Oct-21,68
Nov-21,47
Dec-21,36
Jan-22,37
Feb-22,39
Mar-22,49
Apr-22,65
May-22,74
Jun-22,67
Jul-22,69
Aug-22,68
Sep-22,70
Oct-22,66
Nov-22,43
