date,interest
Jan-17,46
Feb-17,55
Mar-17,50
Apr-17,49
May-17,52
Jun-17,49
Jul-17,51
Aug-17,52
Sep-17,58
Oct-17,57
Nov-17,53
Dec-17,58
Jan-18,58
Feb-18,57
Mar-18,58
Apr-18,60
May-18,60
Jun-18,58
Jul-18,56
Aug-18,53
Sep-18,55
Oct-18,56
Nov-18,57
Dec-18,57
Jan-19,57
Feb-19,60
Mar-19,54
Apr-19,60
May-19,59
Jun-19,59
Jul-19,63
Aug-19,64
Sep-19,63
Oct-19,66
Nov-19,62
Dec-19,63
Jan-20,61
Feb-20,67
Mar-20,77
Apr-20,78
May-20,81
Jun-20,77
Jul-20,84
Aug-20,83
Sep-20,88
Oct-20,92
Nov-20,88
Dec-20,96
Jan-21,93
Feb-21,92
Mar-21,88
Apr-21,84
May-21,87
Jun-21,88
Jul-21,84
Aug-21,83
Sep-21,88
Oct-21,89
Nov-21,96
Dec-21,100
Jan-22,97
Feb-22,97
Mar-22,96
Apr-22,85
May-22,89
Jun-22,84
Jul-22,80
Aug-22,91
Sep-22,84
Oct-22,83
Nov-22,85
